query	reference	ani	ani_uniform	af_query	af_reference	std_err
NCJK01000001.1	DCGZ01000113.1	NaN	NaN	0.0000	0.0000	NaN
PWQF01000298.1	PEWQ01000122.1	NaN	NaN	0.0000	0.0000	NaN
JABWCP010000032.1	PEWQ01000122.1	NaN	NaN	0.0000	0.0000	NaN
NZ_SOBG01000001.1	PEWQ01000122.1	NaN	NaN	0.0000	0.0000	NaN
VMTH01000161.1	PEWQ01000122.1	NaN	NaN	0.0000	0.0000	NaN
PMZC01000177.1	JAGVUJ010000292.1	NaN	NaN	0.0000	0.0000	NaN
JAADIA010000029.1	RFFU01000109.1	NaN	NaN	0.0000	0.0000	NaN
JAFGIT010000282.1	RFFU01000109.1	NaN	NaN	0.0000	0.0000	NaN
PWGJ01000001.1	RFFU01000109.1	NaN	NaN	0.0000	0.0000	NaN
JAFGSM010000189.1	RFFU01000109.1	NaN	NaN	0.0000	0.0000	NaN
PASF01000001.1	RFFU01000109.1	NaN	NaN	0.0000	0.0000	NaN
SUTP01000101.1	SHZF01000069.1	NaN	NaN	0.0000	0.0000	NaN
QCHR01000001.1	JAFGDN010000067.1	NaN	NaN	0.0000	0.0000	NaN
WQZB01000001.1	JAGBJQ010000022.1	NaN	NaN	0.0000	0.0000	NaN
MDLB01000001.1	QMNJ01000001.1	NaN	NaN	0.0000	0.0000	NaN
JADJOY010000001.1	QMNJ01000001.1	NaN	NaN	0.0000	0.0000	NaN
QHSP01000015.1	QMNJ01000001.1	NaN	NaN	0.0000	0.0000	NaN
JAHJQN010000003.1	CAILLA010000001.1	NaN	NaN	0.0000	0.0000	NaN
PWHN01000097.1	NZ_CP018099.1	NaN	NaN	0.0000	0.0000	NaN
PWXJ01000051.1	RGUK01000001.1	NaN	NaN	0.0000	0.0000	NaN
JADHWK010000001.1	RGUK01000001.1	NaN	NaN	0.0000	0.0000	NaN
DBWD01000038.1	NZ_JACBZH010000001.1	NaN	NaN	0.0000	0.0000	NaN
JAGCBE010000171.1	MFAF01000001.1	NaN	NaN	0.0000	0.0000	NaN
NJER01000001.1	JAGXTJ010000001.1	NaN	NaN	0.0000	0.0000	NaN
DIVR01000004.1	QMPZ01000001.1	NaN	NaN	0.0000	0.0000	NaN
JACPWU010000053.1	QMPZ01000001.1	NaN	NaN	0.0000	0.0000	NaN
JAAYVF010000088.1	SISS01000004.1	NaN	NaN	0.0000	0.0000	NaN
QNCF01000001.1	JADLKI010000017.1	NaN	NaN	0.0000	0.0000	NaN
JACIXS010000001.1	MVCQ01000069.1	NaN	NaN	0.0000	0.0000	NaN
MWAK01000001.1	LR962863.1	NaN	NaN	0.0000	0.0000	NaN
QNVD01000001.1	JAAOXW010000035.1	NaN	NaN	0.0000	0.0000	NaN
QGVE01000021.1	JAAOXW010000035.1	NaN	NaN	0.0000	0.0000	NaN
KI932679.1	DRQG01000001.1	NaN	NaN	0.0000	0.0000	NaN
JAFEFQ010000100.1	DTLP01000055.1	NaN	NaN	0.0000	0.0000	NaN
PDSZ01000023.1	DTLP01000055.1	NaN	NaN	0.0000	0.0000	NaN
JAFGOL010000194.1	DTLP01000055.1	NaN	NaN	0.0000	0.0000	NaN
JACRBE010000021.1	DTLP01000055.1	NaN	NaN	0.0000	0.0000	NaN
NC_018649.1	NZ_SIXC01000001.1	NaN	NaN	0.0000	0.0000	NaN
CAIYYW010000001.1	JACPTH010000041.1	NaN	NaN	0.0000	0.0000	NaN
NZ_CP020921.1	JACOWJ010000001.1	NaN	NaN	0.0000	0.0000	NaN
CACWNW010000001.1	JACOWJ010000001.1	NaN	NaN	0.0000	0.0000	NaN
LKMP01000021.1	JACOWJ010000001.1	NaN	NaN	0.0000	0.0000	NaN
JAADIA010000029.1	JACOWJ010000001.1	NaN	NaN	0.0000	0.0000	NaN
DLCS01000257.1	CACZHK010000001.1	NaN	NaN	0.0000	0.0000	NaN
JABJAL010000094.1	LKMN01000023.1	NaN	NaN	0.0000	0.0000	NaN
CP036261.1	PWHN01000097.1	NaN	NaN	0.0000	0.0000	NaN
JABMQX010000017.1	PWHN01000097.1	NaN	NaN	0.0000	0.0000	NaN
NZ_SMGG01000003.1	PWHN01000097.1	NaN	NaN	0.0000	0.0000	NaN
MVCR01000067.1	PWHN01000097.1	NaN	NaN	0.0000	0.0000	NaN
CAJODU010000001.1	PWHN01000097.1	NaN	NaN	0.0000	0.0000	NaN
DSCS01000018.1	MCBC01000001.1	NaN	NaN	0.0000	0.0000	NaN
DSNQ01000035.1	CACOSI010000001.1	NaN	NaN	0.0000	0.0000	NaN
JADJOY010000001.1	PWXJ01000051.1	NaN	NaN	0.0000	0.0000	NaN
JAAYCL010000014.1	PWXJ01000051.1	NaN	NaN	0.0000	0.0000	NaN
NZ_JAENKV010000010.1	PWXJ01000051.1	NaN	NaN	0.0000	0.0000	NaN
CACYEP010000001.1	PWXJ01000051.1	NaN	NaN	0.0000	0.0000	NaN
JAHJDO010000064.1	PWXJ01000051.1	NaN	NaN	0.0000	0.0000	NaN
JACOUC010000036.1	PWXJ01000051.1	NaN	NaN	0.0000	0.0000	NaN
CAIYHG010000001.1	PWXJ01000051.1	NaN	NaN	0.0000	0.0000	NaN
PWGE01000411.1	PWXJ01000051.1	NaN	NaN	0.0000	0.0000	NaN
RFJE01000266.1	PWXJ01000051.1	NaN	NaN	0.0000	0.0000	NaN
JACQPZ010000060.1	NZ_CP053825.1	NaN	NaN	0.0000	0.0000	NaN
JACQZM010000001.1	SMWS01000007.1	NaN	NaN	0.0000	0.0000	NaN
DTMM01000082.1	DIPA01000055.1	NaN	NaN	0.0000	0.0000	NaN
DBRW01000025.1	PBKP01000001.1	NaN	NaN	0.0000	0.0000	NaN
JACOYG010000030.1	PBKP01000001.1	NaN	NaN	0.0000	0.0000	NaN
PFAI01000035.1	QCCS01000001.1	NaN	NaN	0.0000	0.0000	NaN
JACQZM010000001.1	JAFGBE010000140.1	NaN	NaN	0.0000	0.0000	NaN
JAGNLV010000005.1	JAFGBE010000140.1	NaN	NaN	0.0000	0.0000	NaN
MVCR01000067.1	JAFGBE010000140.1	NaN	NaN	0.0000	0.0000	NaN
CAIUMM010000001.1	JAFGBE010000140.1	NaN	NaN	0.0000	0.0000	NaN
KI932679.1	JAFGBE010000140.1	NaN	NaN	0.0000	0.0000	NaN
DKEK01000001.1	JAFGBE010000140.1	NaN	NaN	0.0000	0.0000	NaN
VXMR01000086.1	CP025544.1	NaN	NaN	0.0000	0.0000	NaN
PBLQ01000002.1	QMVG01000001.1	NaN	NaN	0.0000	0.0000	NaN
JAADIW010000070.1	QLTX01000001.1	NaN	NaN	0.0000	0.0000	NaN
JAFCEM010000008.1	QLTX01000001.1	NaN	NaN	0.0000	0.0000	NaN
DSAP01000090.1	QLTX01000001.1	NaN	NaN	0.0000	0.0000	NaN
QMPS01000001.1	QLTX01000001.1	NaN	NaN	0.0000	0.0000	NaN
RXIL01000054.1	QLTX01000001.1	NaN	NaN	0.0000	0.0000	NaN
JAGOPD010000007.1	MTOL01000232.1	NaN	NaN	0.0000	0.0000	NaN
NZFX01000050.1	MTOL01000232.1	NaN	NaN	0.0000	0.0000	NaN
NJEG01000023.1	MVAA01000049.1	NaN	NaN	0.0000	0.0000	NaN
JABFGF010000001.1	VGLH01000001.1	NaN	NaN	0.0000	0.0000	NaN
NZ_JABUMR010000010.1	PWGE01000411.1	NaN	NaN	0.0000	0.0000	NaN
SOJN01000024.1	PWGE01000411.1	NaN	NaN	0.0000	0.0000	NaN
DSSN01000052.1	PWGE01000411.1	NaN	NaN	0.0000	0.0000	NaN
NZ_SSMQ01000101.1	PWGE01000411.1	NaN	NaN	0.0000	0.0000	NaN
PUNT01000011.1	PWGE01000411.1	99.7719	99.7719	0.0011	0.0010	0.22817
NC_008025.1	PWGE01000411.1	NaN	NaN	0.0000	0.0000	NaN
NZ_CP036291.1	PWGE01000411.1	NaN	NaN	0.0000	0.0000	NaN
PMWA01000096.1	DTGL01000056.1	NaN	NaN	0.0000	0.0000	NaN
JAADEF010000024.1	JAFUCN010000002.1	NaN	NaN	0.0000	0.0000	NaN
DREG01000001.1	CAIJMQ010000001.1	NaN	NaN	0.0000	0.0000	NaN
PLPI01000033.1	CAIJMQ010000001.1	NaN	NaN	0.0000	0.0000	NaN
JACPSU010000010.1	CAIJMQ010000001.1	NaN	NaN	0.0000	0.0000	NaN
JACQQB010000033.1	CAIJMQ010000001.1	NaN	NaN	0.0000	0.0000	NaN
MFPR01000001.1	JAADFH010000001.1	NaN	NaN	0.0000	0.0000	NaN
JAEESZ010000011.1	DJVC01000124.1	NaN	NaN	0.0000	0.0000	NaN
JAAYVF010000088.1	DJVC01000124.1	NaN	NaN	0.0000	0.0000	NaN
NC_009635.1	DJVC01000124.1	NaN	NaN	0.0000	0.0000	NaN
NC_014225.1	CP003179.1	NaN	NaN	0.0000	0.0000	NaN
DRGV01000001.1	MNYI01000121.1	NaN	NaN	0.0000	0.0000	NaN
CAISIK010000001.1	JAADEW010000104.1	NaN	NaN	0.0000	0.0000	NaN
JACPUC010000003.1	JAADEW010000104.1	NaN	NaN	0.0000	0.0000	NaN
MGFH01000001.1	JAADEW010000104.1	NaN	NaN	0.0000	0.0000	NaN
JAADHR010000212.1	JAAZLO010000006.1	NaN	NaN	0.0000	0.0000	NaN
NYYY01000001.1	DNCM01000191.1	NaN	NaN	0.0000	0.0000	NaN
JAEOTD010000034.1	MFPR01000001.1	NaN	NaN	0.0000	0.0000	NaN
SOPS01000001.1	MFPR01000001.1	NaN	NaN	0.0000	0.0000	NaN
RFHX01000234.1	MHDQ01000001.1	NaN	NaN	0.0000	0.0000	NaN
URND01000001.1	MHDQ01000001.1	NaN	NaN	0.0000	0.0000	NaN
OMIW01000001.1	MHDQ01000001.1	NaN	NaN	0.0000	0.0000	NaN
NZXA02000014.1	MHDQ01000001.1	NaN	NaN	0.0000	0.0000	NaN
JADKHW010000001.1	JAGXLQ010000210.1	NaN	NaN	0.0000	0.0000	NaN
JADHWK010000001.1	SXXA01000016.1	NaN	NaN	0.0000	0.0000	NaN
DHPR01000015.1	DKGG01000018.1	NaN	NaN	0.0000	0.0000	NaN
NYYB01000008.1	CP064976.1	NaN	NaN	0.0000	0.0000	NaN
JACPMP010000021.1	DTJG01000058.1	NaN	NaN	0.0000	0.0000	NaN
PKTU01000140.1	DTJG01000058.1	NaN	NaN	0.0000	0.0000	NaN
DBVK01000123.1	DTJG01000058.1	NaN	NaN	0.0000	0.0000	NaN
MUIB01000055.1	NZ_CP009279.1	NaN	NaN	0.0000	0.0000	NaN
PMZB01000300.1	JAFVZP010000028.1	NaN	NaN	0.0000	0.0000	NaN
WFSL01000001.1	WGMQ01000102.1	NaN	NaN	0.0000	0.0000	NaN
JAADFP010000001.1	WGMQ01000102.1	NaN	NaN	0.0000	0.0000	NaN
DVAB01000019.1	WGMQ01000102.1	NaN	NaN	0.0000	0.0000	NaN
WJMI01000082.1	DSKY01000022.1	NaN	NaN	0.0000	0.0000	NaN
JAAZDU010000076.1	NC_013156.1	NaN	NaN	0.0000	0.0000	NaN
CAITPB010000001.1	WVXT01000060.1	NaN	NaN	0.0000	0.0000	NaN
JABCTJ010000208.1	WVXT01000060.1	NaN	NaN	0.0000	0.0000	NaN
MGFH01000001.1	DJVG01000048.1	NaN	NaN	0.0000	0.0000	NaN
JAADFP010000001.1	JACQWA010000082.1	NaN	NaN	0.0000	0.0000	NaN
LJUY01000065.1	PMUS01000041.1	NaN	NaN	0.0000	0.0000	NaN
JACXUM010000001.1	JACNJG010000063.1	NaN	NaN	0.0000	0.0000	NaN
PKTG01000037.1	PEYP01000055.1	NaN	NaN	0.0000	0.0000	NaN
JAHENU010000001.1	JACUUP010000138.1	NaN	NaN	0.0000	0.0000	NaN
PBOD01000082.1	NZ_WIQM01000016.1	NaN	NaN	0.0000	0.0000	NaN
LJUI01000062.1	LFSN01000011.1	NaN	NaN	0.0000	0.0000	NaN
VXWP01000116.1	NIRF01000001.1	NaN	NaN	0.0000	0.0000	NaN
JAADIO010000069.1	NIRF01000001.1	NaN	NaN	0.0000	0.0000	NaN
RFFQ01000126.1	WJJK01000074.1	NaN	NaN	0.0000	0.0000	NaN
DCUM01000143.1	WFOY01000001.1	NaN	NaN	0.0000	0.0000	NaN
DNCN01000049.1	DSCM01000096.1	NaN	NaN	0.0000	0.0000	NaN
NZ_JMIY01000001.1	JABILG010000003.1	NaN	NaN	0.0000	0.0000	NaN
QFBQ01000001.1	JAFQQZ010000006.1	NaN	NaN	0.0000	0.0000	NaN
JAFGPK010000106.1	JACETR010000001.1	NaN	NaN	0.0000	0.0000	NaN
JABDJQ010000299.1	PNIW01000084.1	NaN	NaN	0.0000	0.0000	NaN
NC_014836.1	DSAF01000158.1	NaN	NaN	0.0000	0.0000	NaN
NC_014761.1	DSAF01000158.1	NaN	NaN	0.0000	0.0000	NaN
JAAYIZ010000107.1	WJOQ01000255.1	NaN	NaN	0.0000	0.0000	NaN
PEWQ01000122.1	WJOQ01000255.1	NaN	NaN	0.0000	0.0000	NaN
JACPOV010000005.1	JACIXR010000001.1	NaN	NaN	0.0000	0.0000	NaN
JAGXRV010000001.1	JACIXR010000001.1	NaN	NaN	0.0000	0.0000	NaN
JAFDWT010000100.1	DAPM01000012.1	NaN	NaN	0.0000	0.0000	NaN
NZ_CP031305.1	DAPM01000012.1	NaN	NaN	0.0000	0.0000	NaN
PKTG01000037.1	QKIM01000464.1	NaN	NaN	0.0000	0.0000	NaN
WFYF01000001.1	WFRP01000001.1	NaN	NaN	0.0000	0.0000	NaN
JAHIPW010000026.1	WFRP01000001.1	NaN	NaN	0.0000	0.0000	NaN
WFTM01000001.1	DIKQ01000002.1	NaN	NaN	0.0000	0.0000	NaN
NZ_JACHID010000001.1	DUKF01000204.1	NaN	NaN	0.0000	0.0000	NaN
JACRDZ010000088.1	JAFGRM010000068.1	NaN	NaN	0.0000	0.0000	NaN
JACPQY010000001.1	JAFQZM010000009.1	NaN	NaN	0.0000	0.0000	NaN
JACPRG010000039.1	VXTZ01000021.1	NaN	NaN	0.0000	0.0000	NaN
QLUP01000001.1	DJXD01000058.1	NaN	NaN	0.0000	0.0000	NaN
WSZW01000177.1	JADJCK010000002.1	NaN	NaN	0.0000	0.0000	NaN
DSNN01000260.1	NZ_VWOH01000010.1	NaN	NaN	0.0000	0.0000	NaN
JACIXQ010000001.1	CACFAY010000001.1	NaN	NaN	0.0000	0.0000	NaN
NC_014836.1	PWOI01000200.1	NaN	NaN	0.0000	0.0000	NaN
JACQFV010000145.1	PWOI01000200.1	NaN	NaN	0.0000	0.0000	NaN
JAHJDO010000064.1	CACYHH010000001.1	NaN	NaN	0.0000	0.0000	NaN
MGRI01000001.1	NZ_KE387014.1	NaN	NaN	0.0000	0.0000	NaN
QIEW01000280.1	NZ_KE387014.1	NaN	NaN	0.0000	0.0000	NaN
JAFGMN010000243.1	JADGEP010000100.1	NaN	NaN	0.0000	0.0000	NaN
DTGQ01000087.1	DSCS01000018.1	NaN	NaN	0.0000	0.0000	NaN
JADGEX010000100.1	DSCS01000018.1	NaN	NaN	0.0000	0.0000	NaN
JAFGOL010000194.1	DSCS01000018.1	NaN	NaN	0.0000	0.0000	NaN
JAEORG010000062.1	DSCS01000018.1	NaN	NaN	0.0000	0.0000	NaN
DFES01000096.1	DSCS01000018.1	NaN	NaN	0.0000	0.0000	NaN
JACNFQ010000046.1	DSCS01000018.1	NaN	NaN	0.0000	0.0000	NaN
JABWAZ010000222.1	VOSL01000094.1	NaN	NaN	0.0000	0.0000	NaN
NZ_AP013035.1	DUMJ01000018.1	NaN	NaN	0.0000	0.0000	NaN
MWBQ01000001.1	DUMJ01000018.1	NaN	NaN	0.0000	0.0000	NaN
CACBFQ010000001.1	DUMJ01000018.1	NaN	NaN	0.0000	0.0000	NaN
SLJX01000131.1	DUMJ01000018.1	NaN	NaN	0.0000	0.0000	NaN
JAGOEH010000063.1	DUMJ01000018.1	NaN	NaN	0.0000	0.0000	NaN
JAFZID010000020.1	LFWV01000045.1	NaN	NaN	0.0000	0.0000	NaN
JACXUO010000010.1	QNAP01000001.1	NaN	NaN	0.0000	0.0000	NaN
CP073762.1	MWCD01000001.1	NaN	NaN	0.0000	0.0000	NaN
QCWC01000249.1	MWCD01000001.1	NaN	NaN	0.0000	0.0000	NaN
JAEOSL010000155.1	MWCD01000001.1	NaN	NaN	0.0000	0.0000	NaN
KI932679.1	MWCD01000001.1	NaN	NaN	0.0000	0.0000	NaN
JAADEV010000014.1	WFZA01000001.1	NaN	NaN	0.0000	0.0000	NaN
QMRB01000001.1	DKFJ01000007.1	NaN	NaN	0.0000	0.0000	NaN
NZ_JMKI01000001.1	QJWD01000069.1	NaN	NaN	0.0000	0.0000	NaN
PKTG01000037.1	NBMB01000001.1	87.8159	87.8159	0.0018	0.0013	1.74672
JAGYNW010000001.1	NBMB01000001.1	NaN	NaN	0.0000	0.0000	NaN
PWGE01000411.1	NBMB01000001.1	NaN	NaN	0.0000	0.0000	NaN
NVUD01000017.1	NBMB01000001.1	NaN	NaN	0.0000	0.0000	NaN
DITF01000358.1	NBMB01000001.1	NaN	NaN	0.0000	0.0000	NaN
DHVS01000010.1	JACRMM010000014.1	NaN	NaN	0.0000	0.0000	NaN
DTBZ01000076.1	DTHV01000147.1	NaN	NaN	0.0000	0.0000	NaN
JAFCBW010000153.1	DTHV01000147.1	NaN	NaN	0.0000	0.0000	NaN
VMTI01000133.1	WFPR01000001.1	NaN	NaN	0.0000	0.0000	NaN
NDHY01000001.1	JACQZM010000001.1	NaN	NaN	0.0000	0.0000	NaN
PKTT01000062.1	PUKV01000265.1	NaN	NaN	0.0000	0.0000	NaN
JAAXVQ010000498.1	BEIN01000001.1	NaN	NaN	0.0000	0.0000	NaN
PFSX01000003.1	PBWH01000024.1	NaN	NaN	0.0000	0.0000	NaN
PLZG01000045.1	PBWH01000024.1	NaN	NaN	0.0000	0.0000	NaN
LJUI01000062.1	LR778114.1	NaN	NaN	0.0000	0.0000	NaN
CAIJOU010000001.1	MGSF01000001.1	NaN	NaN	0.0000	0.0000	NaN
DRWZ01000094.1	JACOUC010000036.1	NaN	NaN	0.0000	0.0000	NaN
QMWE01000001.1	JACOUC010000036.1	NaN	NaN	0.0000	0.0000	NaN
NC_014836.1	LGFB01000074.1	NaN	NaN	0.0000	0.0000	NaN
JACPSX010000019.1	JACQYP010000002.1	NaN	NaN	0.0000	0.0000	NaN
DSWB01000427.1	JACQYP010000002.1	NaN	NaN	0.0000	0.0000	NaN
URKX01000001.1	JACQYP010000002.1	NaN	NaN	0.0000	0.0000	NaN
WTAK01000287.1	QUKC01000001.1	NaN	NaN	0.0000	0.0000	NaN
JAADIA010000029.1	JAFVBP010000231.1	NaN	NaN	0.0000	0.0000	NaN
JABMQX010000017.1	PWOD01000181.1	NaN	NaN	0.0000	0.0000	NaN
CAIOSP010000001.1	PWOD01000181.1	NaN	NaN	0.0000	0.0000	NaN
DUSQ01000023.1	JAHDNF010000030.1	NaN	NaN	0.0000	0.0000	NaN
VXTP01000012.1	JAHDNF010000030.1	NaN	NaN	0.0000	0.0000	NaN
JAFYXV010000002.1	JAHDNF010000030.1	NaN	NaN	0.0000	0.0000	NaN
WJIQ01000169.1	NZ_FNZA01000058.1	NaN	NaN	0.0000	0.0000	NaN
CAIWRR010000001.1	DFHJ01000068.1	NaN	NaN	0.0000	0.0000	NaN
PWXL01000049.1	QIFJ01000092.1	NaN	NaN	0.0000	0.0000	NaN
PLPI01000033.1	JAGOBX010000436.1	NaN	NaN	0.0000	0.0000	NaN
JAGXTJ010000001.1	JAGOBX010000436.1	NaN	NaN	0.0000	0.0000	NaN
DTMM01000082.1	JAGOBX010000436.1	NaN	NaN	0.0000	0.0000	NaN
QNDO01000001.1	JAGOBX010000436.1	NaN	NaN	0.0000	0.0000	NaN
MWCD01000001.1	JAGOBX010000436.1	NaN	NaN	0.0000	0.0000	NaN
PWXJ01000051.1	JAGOBX010000436.1	NaN	NaN	0.0000	0.0000	NaN
VXMB01000013.1	NC_014654.1	NaN	NaN	0.0000	0.0000	NaN
JACQZL010000001.1	JACRGR010000003.1	NaN	NaN	0.0000	0.0000	NaN
QLTX01000001.1	WJMA01000002.1	NaN	NaN	0.0000	0.0000	NaN
BEHV01000001.1	PXSB01000001.1	NaN	NaN	0.0000	0.0000	NaN
JAACWS010000043.1	PCXA01000001.1	NaN	NaN	0.0000	0.0000	NaN
JADHWK010000001.1	PCXA01000001.1	NaN	NaN	0.0000	0.0000	NaN
JABMMY010000003.1	JAFGWO010000018.1	NaN	NaN	0.0000	0.0000	NaN
DHPR01000015.1	WRIO01000001.1	NaN	NaN	0.0000	0.0000	NaN
NZ_JPST01000001.1	PAYP01000001.1	NaN	NaN	0.0000	0.0000	NaN
JADGQN010000314.1	SKXZ01000080.1	NaN	NaN	0.0000	0.0000	NaN
DNCN01000049.1	MGME01000001.1	NaN	NaN	0.0000	0.0000	NaN
SLGR01000071.1	JAFULE010000032.1	NaN	NaN	0.0000	0.0000	NaN
JADJOY010000001.1	JACNKV010000128.1	NaN	NaN	0.0000	0.0000	NaN
RFHE01000344.1	DTFU01000017.1	NaN	NaN	0.0000	0.0000	NaN
DHPR01000015.1	QJZC01000037.1	NaN	NaN	0.0000	0.0000	NaN
VGMB01000001.1	JAFSWW010000051.1	NaN	NaN	0.0000	0.0000	NaN
VBOZ01000028.1	JACQZN010000001.1	NaN	NaN	0.0000	0.0000	NaN
JACQXK010000005.1	DTXA01000001.1	NaN	NaN	0.0000	0.0000	NaN
QMNL01000001.1	NC_012883.1	NaN	NaN	0.0000	0.0000	NaN
PBAU01000001.1	JAHJCU010000006.1	NaN	NaN	0.0000	0.0000	NaN
NZ_JNJA01000001.1	JAHJCU010000006.1	NaN	NaN	0.0000	0.0000	NaN
MDLB01000001.1	JAHJCU010000006.1	NaN	NaN	0.0000	0.0000	NaN
NCBR01000131.1	JABGQA010000110.1	NaN	NaN	0.0000	0.0000	NaN
VBEW01000219.1	NZ_CP030034.1	NaN	NaN	0.0000	0.0000	NaN
DSMZ01000001.1	JAFGUL010000139.1	NaN	NaN	0.0000	0.0000	NaN
DJVC01000124.1	JAFGFG010000002.1	NaN	NaN	0.0000	0.0000	NaN
JAFSYF010000121.1	PYIY01000001.1	NaN	NaN	0.0000	0.0000	NaN
JACQZM010000001.1	CAIUDS010000001.1	NaN	NaN	0.0000	0.0000	NaN
DSNN01000260.1	CAIUDS010000001.1	NaN	NaN	0.0000	0.0000	NaN
BEII01000001.1	WVWN01000040.1	NaN	NaN	0.0000	0.0000	NaN
WTCA01000057.1	PUKG01000197.1	NaN	NaN	0.0000	0.0000	NaN
NZ_CP063353.1	NZ_JAGGMO010000001.1	NaN	NaN	0.0000	0.0000	NaN
QNCF01000001.1	JAFARW010000063.1	NaN	NaN	0.0000	0.0000	NaN
NC_014836.1	NC_018649.1	86.4667	86.4667	0.0054	0.0046	1.09942
MHDQ01000001.1	NC_018649.1	NaN	NaN	0.0000	0.0000	NaN
WJLX01000049.1	MWBZ01000001.1	NaN	NaN	0.0000	0.0000	NaN
JACRDZ010000088.1	MWBZ01000001.1	NaN	NaN	0.0000	0.0000	NaN
QZKZ01000319.1	MWBZ01000001.1	NaN	NaN	0.0000	0.0000	NaN
JAHJDP010000046.1	MNXV01000056.1	NaN	NaN	0.0000	0.0000	NaN
PKTG01000037.1	JADGDO010000100.1	NaN	NaN	0.0000	0.0000	NaN
PFSX01000003.1	NZ_MDCO01000001.1	NaN	NaN	0.0000	0.0000	NaN
MDLB01000001.1	NZ_KI530573.1	NaN	NaN	0.0000	0.0000	NaN
JAGYNO010000001.1	RDOA01000097.1	NaN	NaN	0.0000	0.0000	NaN
DTOV01000004.1	JAAZUY010000056.1	NaN	NaN	0.0000	0.0000	NaN
MPNJ01000051.1	JABIME010000295.1	NaN	NaN	0.0000	0.0000	NaN
JAADFF010000004.1	DLMW01000035.1	NaN	NaN	0.0000	0.0000	NaN
JAHJCU010000006.1	DLMW01000035.1	NaN	NaN	0.0000	0.0000	NaN
PWGE01000411.1	NC_015672.1	NaN	NaN	0.0000	0.0000	NaN
NDHY01000001.1	LJUI01000062.1	NaN	NaN	0.0000	0.0000	NaN
DNCM01000191.1	DJHM01000039.1	NaN	NaN	0.0000	0.0000	NaN
DIWT01000030.1	MVQP01000001.1	NaN	NaN	0.0000	0.0000	NaN
NC_018002.1	JAFCCO010000013.1	NaN	NaN	0.0000	0.0000	NaN
PUNT01000011.1	WAMD01000001.1	NaN	NaN	0.0000	0.0000	NaN
PWXJ01000051.1	WAMD01000001.1	NaN	NaN	0.0000	0.0000	NaN
QIFJ01000092.1	WAMD01000001.1	NaN	NaN	0.0000	0.0000	NaN
JAAYVF010000088.1	JAAYTH010000087.1	NaN	NaN	0.0000	0.0000	NaN
JABMQX010000017.1	DULO01000034.1	NaN	NaN	0.0000	0.0000	NaN
WOZY01000107.1	DXGI01000133.1	NaN	NaN	0.0000	0.0000	NaN
PFSX01000003.1	VXWP01000116.1	NaN	NaN	0.0000	0.0000	NaN
PWHN01000097.1	VXWP01000116.1	NaN	NaN	0.0000	0.0000	NaN
VBHX01000175.1	PWGD01000011.1	NaN	NaN	0.0000	0.0000	NaN
BDTN01000001.1	QMVA01000001.1	NaN	NaN	0.0000	0.0000	NaN
LJUX01000048.1	QMVA01000001.1	NaN	NaN	0.0000	0.0000	NaN
JAFMJG010000138.1	QMVA01000001.1	NaN	NaN	0.0000	0.0000	NaN
JAGOEH010000063.1	VXTP01000012.1	NaN	NaN	0.0000	0.0000	NaN
VGPU01000001.1	VXTP01000012.1	NaN	NaN	0.0000	0.0000	NaN
JAHJRX010000009.1	VXTP01000012.1	NaN	NaN	0.0000	0.0000	NaN
CAIVYX010000001.1	JAHJDO010000064.1	NaN	NaN	0.0000	0.0000	NaN
JACIWF010000001.1	JAHJDO010000064.1	NaN	NaN	0.0000	0.0000	NaN
NZ_CP011393.1	JAHJDO010000064.1	NaN	NaN	0.0000	0.0000	NaN
DHGE01000185.1	JAHJDO010000064.1	NaN	NaN	0.0000	0.0000	NaN
JAAZFS010000064.1	JAHJDO010000064.1	NaN	NaN	0.0000	0.0000	NaN
JACCLH010000050.1	JAHJDO010000064.1	NaN	NaN	0.0000	0.0000	NaN
NC_007899.1	JAHJDO010000064.1	NaN	NaN	0.0000	0.0000	NaN
JAADES010000023.1	JAHJDO010000064.1	NaN	NaN	0.0000	0.0000	NaN
JAEHHB010000001.1	JAHJDO010000064.1	NaN	NaN	0.0000	0.0000	NaN
SKXZ01000080.1	JAHJDO010000064.1	NaN	NaN	0.0000	0.0000	NaN
DFZN01000014.1	NC_014212.1	NaN	NaN	0.0000	0.0000	NaN
OMIW01000001.1	JADFZL010000010.1	NaN	NaN	0.0000	0.0000	NaN
JABMQX010000017.1	MWDP01000001.1	NaN	NaN	0.0000	0.0000	NaN
JAHJGX010000027.1	DGKJ01000102.1	NaN	NaN	0.0000	0.0000	NaN
PWGE01000411.1	JAHOYU010000110.1	NaN	NaN	0.0000	0.0000	NaN
JACPST010000008.1	JAHOYU010000110.1	NaN	NaN	0.0000	0.0000	NaN
PAXL01000078.1	PBFV01000001.1	NaN	NaN	0.0000	0.0000	NaN
DSNN01000260.1	JAFCBW010000153.1	NaN	NaN	0.0000	0.0000	NaN
JACIWL010000001.1	JAFCBW010000153.1	NaN	NaN	0.0000	0.0000	NaN
JAAYCL010000014.1	JAFCBW010000153.1	NaN	NaN	0.0000	0.0000	NaN
MFGS01000001.1	DTIH01000006.1	NaN	NaN	0.0000	0.0000	NaN
JAHJDO010000064.1	PWQF01000298.1	NaN	NaN	0.0000	0.0000	NaN
NYYY01000001.1	JAGPFE010000022.1	NaN	NaN	0.0000	0.0000	NaN
