query	reference	phylum	genus	q_species	r_species	skani_ani	skani_af_ref	skani_af_query	anim_ani
GCF_000764665.1	GCF_000819955.1	p__Proteobacteria	g__Aeromonas	s__Aeromonas lacus	s__Aeromonas jandaei	95.64	89.71	87.6	95.5800
GCF_000813705.1	GCF_000952795.1	p__Proteobacteria	g__Neisseria	s__Neisseria cerebrosa	s__Neisseria sp000952795	96.79	79.97	79.29	96.5100
GCF_000813705.1	GCF_003044425.1	p__Proteobacteria	g__Neisseria	s__Neisseria cerebrosa	s__Neisseria sicca_C	95.87	75.84	75.54	96.1800
GCF_000816845.1	GCF_015353075.1	p__Proteobacteria	g__Rhizobium	s__Rhizobium gallicum	s__Rhizobium yanglingense	95.78	66.35	68.99	96.2900
GCF_000825685.1	GCF_000828125.2	p__Proteobacteria	g__Rickettsia	s__Rickettsia hoogstraalii	s__Rickettsia asembonensis	95.66	74.14	68.67	96.1500
GCF_000931445.1	GCF_001013905.1	p__Actinobacteriota	g__Streptomyces	s__Streptomyces cyaneogriseus	s__Streptomyces leeuwenhoekii	96.86	77.16	80.74	96.7000
GCF_000935215.1	GCF_002929225.1	p__Proteobacteria	g__Pseudomonas_A	s__Pseudomonas_A stutzeri_AD	s__Pseudomonas_A stutzeri_U	97.25	81.35	81.93	96.8600
GCF_000935215.1	GCF_014764705.1	p__Proteobacteria	g__Pseudomonas_A	s__Pseudomonas_A stutzeri_AD	s__Pseudomonas_A sp002692525	96.62	78.25	78.32	96.6300
GCF_000952795.1	GCF_003044425.1	p__Proteobacteria	g__Neisseria	s__Neisseria sp000952795	s__Neisseria sicca_C	96.1	77.11	77.47	96.1600
GCF_000956595.1	GCF_009497655.1	p__Firmicutes	g__Priestia	s__Priestia aryabhattai	s__Priestia megaterium_A	95.6	84.78	82.39	96.2500
GCF_000981585.1	GCF_016772475.1	p__Firmicutes	g__Paenibacillus	s__Paenibacillus riograndensis	s__Paenibacillus sonchi	96.31	75.04	76.37	96.8500
GCF_001025195.1	GCF_001042615.1	p__Actinobacteriota	g__Bifidobacterium	s__Bifidobacterium catenulatum	s__Bifidobacterium kashiwanohense	97.16	69.8	78.45	96.9800
GCF_001044235.1	GCF_001044255.1	p__Actinobacteriota	g__Mycobacterium	s__Mycobacterium chlorophenolicum	s__Mycobacterium chubuense	95.53	86.05	69.32	95.8200
GCF_001277805.1	GCF_002809955.1	p__Firmicutes	g__Geobacillus	s__Geobacillus stearothermophilus	s__Geobacillus sp002809955	96.95	66.52	80.7	96.2900
GCF_001418475.1	GCF_001419765.1	p__Actinobacteriota	g__Streptomyces	s__Streptomyces ossamyceticus	s__Streptomyces torulosus	95.96	66.03	69.94	95.9000
GCF_001418645.1	GCF_001419765.1	p__Actinobacteriota	g__Streptomyces	s__Streptomyces neyagawaensis	s__Streptomyces torulosus	95.89	63.04	67.99	95.7500
GCF_001419765.1	GCF_900290235.1	p__Actinobacteriota	g__Streptomyces	s__Streptomyces torulosus	s__Streptomyces sp900290235	95.88	69.98	69.7	95.8400
GCF_001420285.1	GCF_001507325.1	p__Bacteroidota	g__Chryseobacterium	s__Chryseobacterium aquaticum	s__Chryseobacterium greenlandense	96.93	78.34	82.95	96.9500
GCF_001420285.1	GCF_012952015.1	p__Bacteroidota	g__Chryseobacterium	s__Chryseobacterium aquaticum	s__Chryseobacterium aquaticum_A	96.44	83.23	79.09	96.8100
GCF_001435295.1	GCF_904846615.1	p__Proteobacteria	g__Psychrobacter	s__Psychrobacter sp001435295	s__Psychrobacter sp000586455	96.59	84.48	89.74	96.1100
GCF_001444505.1	GCF_900101915.1	p__Proteobacteria	g__Psychrobacter	s__Psychrobacter piscatorii	s__Psychrobacter pacificensis	96.42	80.81	81.51	95.7200
GCF_001457655.1	GCF_002989035.1	p__Proteobacteria	g__Haemophilus	s__Haemophilus influenzae	s__Haemophilus influenzae_F	97.29	82.7	85.68	97.0900
GCF_001457655.1	GCF_004802395.1	p__Proteobacteria	g__Haemophilus	s__Haemophilus influenzae	s__Haemophilus influenzae_E	96.93	86.79	86.41	96.9400
GCF_001457655.1	GCF_900475755.1	p__Proteobacteria	g__Haemophilus	s__Haemophilus influenzae	s__Haemophilus influenzae_D	95.57	87.14	84.56	95.3700
GCF_001457655.1	GCF_900475885.1	p__Proteobacteria	g__Haemophilus	s__Haemophilus influenzae	s__Haemophilus aegyptius	97.16	82.77	87.26	97.0200
GCF_001465295.1	GCF_002221505.1	p__Proteobacteria	g__Pseudoalteromonas	s__Pseudoalteromonas translucida	s__Pseudoalteromonas nigrifaciens	96.23	79.09	81.51	96.5100
GCF_001469895.1	GCF_001550135.1	p__Proteobacteria	g__Pseudoalteromonas	s__Pseudoalteromonas sp001469895	s__Pseudoalteromonas shioyasakiensis	96.87	84.82	90.02	96.7900
GCF_001469895.1	GCF_013349995.1	p__Proteobacteria	g__Pseudoalteromonas	s__Pseudoalteromonas sp001469895	s__Pseudoalteromonas sp013349995	96.67	81.12	75.2	96.5300
GCF_001469895.1	GCF_019134595.1	p__Proteobacteria	g__Pseudoalteromonas	s__Pseudoalteromonas sp001469895	s__Pseudoalteromonas shioyasakiensis_A	95.53	84.75	81.3	95.8300
GCF_001507325.1	GCF_012952015.1	p__Bacteroidota	g__Chryseobacterium	s__Chryseobacterium greenlandense	s__Chryseobacterium aquaticum_A	96.92	76.62	77.08	96.7800
GCF_001514115.1	GCF_014650275.1	p__Actinobacteriota	g__Streptomyces	s__Streptomyces olivochromogenes	s__Streptomyces mirabilis	96.49	73.04	75.52	96.2300
GCF_001521715.1	GCF_002208095.1	p__Proteobacteria	g__Enterobacter	s__Enterobacter asburiae	s__Enterobacter cloacae_M	96.81	74.44	83.47	96.9500
GCF_001521715.1	GCF_003634515.1	p__Proteobacteria	g__Enterobacter	s__Enterobacter asburiae	s__Enterobacter asburiae_A	95.91	79.44	80.55	96.1300
GCF_001521715.1	GCF_007035645.1	p__Proteobacteria	g__Enterobacter	s__Enterobacter asburiae	s__Enterobacter asburiae_B	97.01	82.92	83.54	97.0900
GCF_001521715.1	GCF_008364625.1	p__Proteobacteria	g__Enterobacter	s__Enterobacter asburiae	s__Enterobacter dykesii	96.13	84.78	79.91	96.3200
GCF_001550135.1	GCF_013349995.1	p__Proteobacteria	g__Pseudoalteromonas	s__Pseudoalteromonas shioyasakiensis	s__Pseudoalteromonas sp013349995	96.92	77.17	75.93	96.8100
GCF_001571325.1	GCF_001598795.1	p__Proteobacteria	g__Comamonas	s__Comamonas tsuruhatensis	s__Comamonas acidovorans	95.54	80.27	80.54	95.2700
GCF_001595725.1	GCF_002200015.1	p__Firmicutes	g__Bacillus_A	s__Bacillus_A thuringiensis_K	s__Bacillus_A cereus_AZ	97.19	84.81	72.71	96.9000
GCF_001595725.1	GCF_006384875.1	p__Firmicutes	g__Bacillus_A	s__Bacillus_A thuringiensis_K	s__Bacillus_A bombysepticus	96.23	79.01	73.35	96.8100
GCF_001612805.1	GCF_001612905.1	p__Actinobacteriota	g__Nocardia	s__Nocardia coubleae	s__Nocardia ignorata	97.06	80.25	85.02	97.2300
GCF_001612845.1	GCF_001613005.1	p__Actinobacteriota	g__Nocardia	s__Nocardia elegans	s__Nocardia nova	97.13	80.62	83.94	97.1900
GCF_001618065.1	GCF_003351665.1	p__Proteobacteria	g__Neisseria	s__Neisseria flavescens_A	s__Neisseria perflava	95.54	85.02	85.72	95.8600
GCF_001728805.1	GCF_002982115.1	p__Firmicutes	g__Lysinibacillus	s__Lysinibacillus sphaericus_D	s__Lysinibacillus sphaericus	96.26	84.75	81.26	96.2700
GCF_001815675.1	GCF_014054945.1	p__Proteobacteria	g__Neisseria	s__Neisseria sp001815675	s__Neisseria sicca	96.51	83.49	79.63	96.6400
GCF_001870205.1	GCF_002026305.1	p__Firmicutes	g__Vagococcus	s__Vagococcus teuberi	s__Vagococcus martis	95.83	71.01	83.29	96.0000
GCF_001886855.1	GCF_005222125.1	p__Firmicutes	g__Spiroplasma	s__Spiroplasma citri	s__Spiroplasma melliferum	96.58	63.26	54.45	97.9700
GCF_001908275.1	GCF_004001025.1	p__Firmicutes	g__Paenibacillus	s__Paenibacillus xylanexedens_A	s__Paenibacillus amylolyticus	96.35	82.43	82.29	96.3900
GCF_001908275.1	GCF_017874615.1	p__Firmicutes	g__Paenibacillus	s__Paenibacillus xylanexedens_A	s__Paenibacillus xylanexedens	96.19	84.59	83.32	96.0000
GCF_001999985.1	GCF_900198625.1	p__Campylobacterota	g__Helicobacter_A	s__Helicobacter_A bilis_A	s__Helicobacter_A rappini	97.31	75.48	72.22	97.4000
GCF_002000985.1	GCF_003337175.1	p__Firmicutes	g__Streptococcus	s__Streptococcus gallolyticus	s__Streptococcus gallolyticus_B	95.82	67.06	58.76	96.4500
GCF_002020355.1	GCF_002085925.2	p__Proteobacteria	g__Thioclava	s__Thioclava sediminum	s__Thioclava electrotropha	96.33	90.58	85.14	96.1300
GCF_002020355.1	GCF_009296265.1	p__Proteobacteria	g__Thioclava	s__Thioclava sediminum	s__Thioclava sp009296265	96.17	84.86	90.0	96.0800
GCF_002085925.2	GCF_009296265.1	p__Proteobacteria	g__Thioclava	s__Thioclava electrotropha	s__Thioclava sp009296265	96.3	87.48	87.21	96.1600
GCF_002119445.1	GCF_002200015.1	p__Firmicutes	g__Bacillus_A	s__Bacillus_A thuringiensis	s__Bacillus_A cereus_AZ	95.79	79.79	69.21	96.1600
GCF_002119445.1	GCF_006384875.1	p__Firmicutes	g__Bacillus_A	s__Bacillus_A thuringiensis	s__Bacillus_A bombysepticus	95.84	77.17	72.49	96.3200
GCF_002149035.1	GCF_900113865.1	p__Actinobacteriota	g__Streptosporangium	s__Streptosporangium minutum	s__Streptosporangium canum	95.7	71.08	73.44	96.2700
GCF_002154555.1	GCF_014673495.1	p__Actinobacteriota	g__Streptomyces	s__Streptomyces murinus	s__Streptomyces griseofuscus	97.14	80.1	69.88	97.1200
GCF_002197815.1	GCF_003052605.1	p__Proteobacteria	g__Pseudomonas_E	s__Pseudomonas_E oleovorans	s__Pseudomonas_E indoloxydans	96.65	70.86	75.92	96.2000
GCF_002200015.1	GCF_006384875.1	p__Firmicutes	g__Bacillus_A	s__Bacillus_A cereus_AZ	s__Bacillus_A bombysepticus	96.88	79.29	73.22	96.7800
GCF_002208095.1	GCF_007035645.1	p__Proteobacteria	g__Enterobacter	s__Enterobacter cloacae_M	s__Enterobacter asburiae_B	96.77	77.54	87.58	96.8300
GCF_002220655.1	GCF_016742975.1	p__Proteobacteria	g__Serratia	s__Serratia marcescens_K	s__Serratia nevei	95.93	79.33	74.02	96.4100
GCF_002803095.1	GCF_015712065.1	p__Proteobacteria	g__Pseudomonas_E	s__Pseudomonas_E sp002803095	s__Pseudomonas_E chengduensis_A	95.74	71.88	80.93	95.8700
GCF_002813755.1	GCF_013394305.1	p__Firmicutes	g__Enterococcus_B	s__Enterococcus_B mundtii	s__Enterococcus_B pernyi	96.89	75.54	80.32	96.5400
GCF_002836945.1	GCF_002836975.1	p__Proteobacteria	g__Shewanella	s__Shewanella chilikensis	s__Shewanella indica	95.63	89.81	89.73	95.5700
GCF_002843305.1	GCF_900114215.1	p__Actinobacteriota	g__Streptomyces	s__Streptomyces barkulensis	s__Streptomyces pini	97.1	81.07	83.7	96.2300
GCF_002921135.1	GCF_900635775.1	p__Proteobacteria	g__Avibacterium	s__Avibacterium gallinarum	s__Avibacterium volantium	95.53	79.48	83.29	95.6300
GCF_002929225.1	GCF_003935375.1	p__Proteobacteria	g__Pseudomonas_A	s__Pseudomonas_A stutzeri_U	s__Pseudomonas_A xanthomarina_A	97.1	84.66	80.5	96.8300
GCF_002929225.1	GCF_013409135.1	p__Proteobacteria	g__Pseudomonas_A	s__Pseudomonas_A stutzeri_U	s__Pseudomonas_A kunmingensis_A	97.01	79.89	84.68	97.1100
GCF_002939985.1	GCF_003064105.1	p__Proteobacteria	g__Xanthomonas	s__Xanthomonas hortorum_A	s__Xanthomonas hortorum	96.21	81.18	74.25	96.0800
GCF_002982115.1	GCF_003049665.1	p__Firmicutes	g__Lysinibacillus	s__Lysinibacillus sphaericus	s__Lysinibacillus mangiferihumi	96.94	71.19	80.73	97.2700
GCF_002989035.1	GCF_004802395.1	p__Proteobacteria	g__Haemophilus	s__Haemophilus influenzae_F	s__Haemophilus influenzae_E	97.12	84.72	81.42	96.9800
GCF_002989035.1	GCF_900475885.1	p__Proteobacteria	g__Haemophilus	s__Haemophilus influenzae_F	s__Haemophilus aegyptius	96.47	80.49	79.09	96.7900
GCF_003044645.1	GCF_003351665.1	p__Proteobacteria	g__Neisseria	s__Neisseria subflava_B	s__Neisseria perflava	95.56	84.99	84.67	95.7500
GCF_003044645.1	GCF_900654165.1	p__Proteobacteria	g__Neisseria	s__Neisseria subflava_B	s__Neisseria subflava_C	95.53	83.27	87.26	95.7600
GCF_003112595.1	GCF_014651155.1	p__Actinobacteriota	g__Streptomyces	s__Streptomyces rubrogriseus	s__Streptomyces anthocyanicus	97.02	87.62	84.85	96.6300
GCF_003144325.1	GCF_011046025.1	p__Proteobacteria	g__Proteus	s__Proteus terrae	s__Proteus sp011046025	95.77	85.7	79.67	96.0600
GCF_003148585.1	GCF_014897815.1	p__Proteobacteria	g__Psychrobacter	s__Psychrobacter immobilis	s__Psychrobacter sp003530515	96.06	85.03	79.11	95.6800
GCF_003148585.1	GCF_016107535.1	p__Proteobacteria	g__Psychrobacter	s__Psychrobacter immobilis	s__Psychrobacter cibarius	96.14	85.37	85.43	95.9100
GCF_003148585.1	GCF_904846075.1	p__Proteobacteria	g__Psychrobacter	s__Psychrobacter immobilis	s__Psychrobacter glacincola_C	96.33	86.38	84.76	95.9700
GCF_003264365.1	GCF_003857035.1	p__Actinobacteriota	g__Micromonospora	s__Micromonospora noduli	s__Micromonospora arida	95.69	77.82	77.55	96.0400
GCF_003264365.1	GCF_018070325.1	p__Actinobacteriota	g__Micromonospora	s__Micromonospora noduli	s__Micromonospora sp018070325	95.62	77.12	77.27	95.9300
GCF_003264365.1	GCF_900091575.1	p__Actinobacteriota	g__Micromonospora	s__Micromonospora noduli	s__Micromonospora saelicesensis	96.88	85.79	86.63	96.7500
GCF_003293675.1	GCF_003397705.1	p__Actinobacteriota	g__Bifidobacterium	s__Bifidobacterium leopoldii	s__Bifidobacterium swidsinskii	95.59	75.92	78.76	95.7900
GCF_003351665.1	GCF_900654165.1	p__Proteobacteria	g__Neisseria	s__Neisseria perflava	s__Neisseria subflava_C	95.74	83.1	87.41	95.8100
GCF_003474435.1	GCF_013304825.1	p__Firmicutes_A	g__Blautia_A	s__Blautia_A sp003474435	s__Blautia_A schinkii	95.51	69.0	72.62	95.3000
GCF_003501885.1	GCF_014649875.1	p__Actinobacteriota	g__Streptomyces	s__Streptomyces globisporus_D	s__Streptomyces rubiginosohelvolus	95.72	78.45	76.44	95.4200
GCF_003634515.1	GCF_007035645.1	p__Proteobacteria	g__Enterobacter	s__Enterobacter asburiae_A	s__Enterobacter asburiae_B	95.7	82.75	84.53	95.6400
GCF_003635025.1	GCF_900112555.1	p__Actinobacteriota	g__Saccharopolyspora	s__Saccharopolyspora antimicrobica	s__Saccharopolyspora jiangxiensis	96.35	81.51	86.64	96.3200
GCF_003675955.1	GCF_017874715.1	p__Actinobacteriota	g__Streptomyces	s__Streptomyces rapamycinicus	s__Streptomyces iranensis	95.7	69.9	73.87	95.4900
GCF_003732545.1	GCF_003788635.1	p__Proteobacteria	g__Salinisphaera	s__Salinisphaera halophila	s__Salinisphaera orenii	96.86	86.26	83.57	96.9200
GCF_003851725.1	GCF_012396155.1	p__Actinobacteriota	g__Cellulomonas	s__Cellulomonas algicola	s__Cellulomonas septica	95.77	73.09	62.43	95.3500
GCF_003856975.1	GCF_900177615.1	p__Actinobacteriota	g__Plantibacter	s__Plantibacter cousiniae	s__Plantibacter flavus	95.57	77.39	81.53	95.9600
GCF_003856975.1	GCF_900177795.1	p__Actinobacteriota	g__Plantibacter	s__Plantibacter cousiniae	s__Plantibacter sp900177795	95.76	84.03	84.86	95.9900
GCF_003857035.1	GCF_900091575.1	p__Actinobacteriota	g__Micromonospora	s__Micromonospora arida	s__Micromonospora saelicesensis	96.05	80.29	80.81	96.3300
GCF_003935375.1	GCF_013409135.1	p__Proteobacteria	g__Pseudomonas_A	s__Pseudomonas_A xanthomarina_A	s__Pseudomonas_A kunmingensis_A	97.28	84.7	85.37	96.9900
GCF_003935375.1	GCF_900114065.1	p__Proteobacteria	g__Pseudomonas_A	s__Pseudomonas_A xanthomarina_A	s__Pseudomonas_A kunmingensis	97.24	84.22	84.28	97.0000
GCF_003957375.1	GCF_013394305.1	p__Firmicutes	g__Enterococcus_B	s__Enterococcus_B mundtii_C	s__Enterococcus_B pernyi	96.42	88.12	75.58	96.5300
GCF_004001025.1	GCF_017874615.1	p__Firmicutes	g__Paenibacillus	s__Paenibacillus amylolyticus	s__Paenibacillus xylanexedens	95.88	82.4	81.02	96.2400
GCF_004171285.1	GCF_013096535.2	p__Proteobacteria	g__Wolbachia	s__Wolbachia pipientis_C	s__Wolbachia sp013096535	95.6	60.12	62.5	95.3000
GCF_004171285.1	GCF_018141665.1	p__Proteobacteria	g__Wolbachia	s__Wolbachia pipientis_C	s__Wolbachia sp001439985	96.32	71.7	64.73	95.9700
GCF_004802395.1	GCF_900475885.1	p__Proteobacteria	g__Haemophilus	s__Haemophilus influenzae_E	s__Haemophilus aegyptius	96.93	84.71	80.0	96.8100
GCF_005405925.1	GCF_018069625.1	p__Actinobacteriota	g__Streptomyces	s__Streptomyces antimycoticus	s__Streptomyces yatensis	96.17	80.88	74.99	95.8900
GCF_005981925.1	GCF_014650755.1	p__Actinobacteriota	g__Streptomyces	s__Streptomyces albidochromogenes	s__Streptomyces chryseus	95.57	72.89	73.77	95.6300
GCF_006402735.1	GCF_010998615.1	p__Myxococcota	g__Myxococcus	s__Myxococcus xanthus_A	s__Myxococcus sp010998615	96.39	85.87	83.46	96.4700
GCF_006402735.1	GCF_013116825.1	p__Myxococcota	g__Myxococcus	s__Myxococcus xanthus_A	s__Myxococcus xanthus_B	95.59	80.44	78.62	95.7800
GCF_006402735.1	GCF_900101905.1	p__Myxococcota	g__Myxococcus	s__Myxococcus xanthus_A	s__Myxococcus virescens	95.99	82.09	81.43	96.0500
GCF_006402735.1	GCF_900106535.1	p__Myxococcota	g__Myxococcus	s__Myxococcus xanthus_A	s__Myxococcus xanthus	95.95	83.78	83.31	96.0700
GCF_007035645.1	GCF_008364625.1	p__Proteobacteria	g__Enterobacter	s__Enterobacter asburiae_B	s__Enterobacter dykesii	96.6	90.0	85.47	96.5900
GCF_008520265.1	GCF_009829085.1	p__Bacteroidota	g__Sphingobacterium	s__Sphingobacterium cavernae	s__Sphingobacterium bovisgrunnientis	96.35	78.24	75.7	96.6100
GCF_010998615.1	GCF_013116825.1	p__Myxococcota	g__Myxococcus	s__Myxococcus sp010998615	s__Myxococcus xanthus_B	96.08	82.12	82.58	96.3600
GCF_010998615.1	GCF_900101905.1	p__Myxococcota	g__Myxococcus	s__Myxococcus sp010998615	s__Myxococcus virescens	96.41	84.8	83.1	96.7100
GCF_010998615.1	GCF_900106535.1	p__Myxococcota	g__Myxococcus	s__Myxococcus sp010998615	s__Myxococcus xanthus	96.87	87.95	85.96	96.9200
GCF_011058205.1	GCF_014769185.1	p__Proteobacteria	g__Acinetobacter	s__Acinetobacter fasciculus	s__Acinetobacter lwoffii_D	96.09	78.61	79.0	96.1400
GCF_011058205.1	GCF_015602705.1	p__Proteobacteria	g__Acinetobacter	s__Acinetobacter fasciculus	s__Acinetobacter lwoffii_E	96.03	74.89	85.54	95.8400
GCF_011758745.1	GCF_011758765.1	p__Actinobacteriota	g__Amycolatopsis	s__Amycolatopsis granulosa	s__Amycolatopsis viridis	95.74	89.45	88.5	95.9300
GCF_013116825.1	GCF_900101905.1	p__Myxococcota	g__Myxococcus	s__Myxococcus xanthus_B	s__Myxococcus virescens	96.84	85.3	84.05	96.9300
GCF_013116825.1	GCF_900106535.1	p__Myxococcota	g__Myxococcus	s__Myxococcus xanthus_B	s__Myxococcus xanthus	96.28	84.86	83.41	96.6100
GCF_013349995.1	GCF_019134595.1	p__Proteobacteria	g__Pseudoalteromonas	s__Pseudoalteromonas sp013349995	s__Pseudoalteromonas shioyasakiensis_A	95.52	75.73	78.36	95.7600
GCF_013409135.1	GCF_014764705.1	p__Proteobacteria	g__Pseudomonas_A	s__Pseudomonas_A kunmingensis_A	s__Pseudomonas_A sp002692525	97.13	80.09	84.23	96.9800
GCF_013409935.1	GCF_014648055.1	p__Actinobacteriota	g__Streptosporangium	s__Streptosporangium sandarakinum	s__Streptosporangium pseudovulgare	96.59	84.49	75.25	96.1100
GCF_013460135.1	GCF_902713415.1	p__Proteobacteria	g__Arsenophonus	s__Arsenophonus sp000757905	s__Arsenophonus sp902713415	95.73	49.63	64.73	96.2400
GCF_014174215.1	GCF_014174375.1	p__Proteobacteria	g__Gluconacetobacter	s__Gluconacetobacter tumulicola	s__Gluconacetobacter asukensis	96.06	78.0	76.39	96.1900
GCF_014174375.1	GCF_014174395.1	p__Proteobacteria	g__Gluconacetobacter	s__Gluconacetobacter asukensis	s__Gluconacetobacter aggeris	95.56	73.26	74.33	95.5300
GCF_014764705.1	GCF_900114065.1	p__Proteobacteria	g__Pseudomonas_A	s__Pseudomonas_A sp002692525	s__Pseudomonas_A kunmingensis	96.96	80.44	83.98	96.9700
GCF_014769185.1	GCF_015602705.1	p__Proteobacteria	g__Acinetobacter	s__Acinetobacter lwoffii_D	s__Acinetobacter lwoffii_E	96.06	75.46	86.61	95.9000
GCF_014897815.1	GCF_016107535.1	p__Proteobacteria	g__Psychrobacter	s__Psychrobacter sp003530515	s__Psychrobacter cibarius	96.28	80.11	86.17	95.8700
GCF_014897815.1	GCF_904846075.1	p__Proteobacteria	g__Psychrobacter	s__Psychrobacter sp003530515	s__Psychrobacter glacincola_C	96.08	80.76	85.18	95.7400
GCF_014897815.1	GCF_904846185.1	p__Proteobacteria	g__Psychrobacter	s__Psychrobacter sp003530515	s__Psychrobacter immobilis_B	96.01	81.71	81.99	95.6300
GCF_014897815.1	GCF_904846525.1	p__Proteobacteria	g__Psychrobacter	s__Psychrobacter sp003530515	s__Psychrobacter sp904846525	96.05	81.23	84.64	95.7000
GCF_015712065.1	GCF_900102635.1	p__Proteobacteria	g__Pseudomonas_E	s__Pseudomonas_E chengduensis_A	s__Pseudomonas_E chengduensis	96.81	81.27	82.36	96.6700
GCF_015712065.1	GCF_900106015.1	p__Proteobacteria	g__Pseudomonas_E	s__Pseudomonas_E chengduensis_A	s__Pseudomonas_E sihuiensis	96.08	79.21	79.08	95.9100
GCF_016107535.1	GCF_904846075.1	p__Proteobacteria	g__Psychrobacter	s__Psychrobacter cibarius	s__Psychrobacter glacincola_C	96.17	86.03	84.37	95.9400
GCF_016107535.1	GCF_904846185.1	p__Proteobacteria	g__Psychrobacter	s__Psychrobacter cibarius	s__Psychrobacter immobilis_B	96.31	85.92	80.16	95.8800
GCF_016107535.1	GCF_904846525.1	p__Proteobacteria	g__Psychrobacter	s__Psychrobacter cibarius	s__Psychrobacter sp904846525	96.26	85.65	82.97	95.9200
GCF_018070325.1	GCF_900091575.1	p__Actinobacteriota	g__Micromonospora	s__Micromonospora sp018070325	s__Micromonospora saelicesensis	95.75	77.78	78.4	95.8900
GCF_900002405.1	GCF_900098745.1	p__Actinobacteriota	g__Actinomyces	s__Actinomyces succiniciruminis	s__Actinomyces glycerinitolerans	96.88	76.66	69.11	96.6700
GCF_900101905.1	GCF_900106535.1	p__Myxococcota	g__Myxococcus	s__Myxococcus virescens	s__Myxococcus xanthus	96.9	86.11	86.32	97.0400
GCF_900102635.1	GCF_900106015.1	p__Proteobacteria	g__Pseudomonas_E	s__Pseudomonas_E chengduensis	s__Pseudomonas_E sihuiensis	96.83	79.95	80.88	96.5500
GCF_900110115.1	GCF_900141995.1	p__Proteobacteria	g__Palleronia	s__Palleronia pelagia	s__Palleronia salina	96.58	84.77	78.53	96.4300
GCF_900112765.1	GCF_900116555.1	p__Actinobacteriota	g__Actinopolyspora	s__Actinopolyspora alba	s__Actinopolyspora righensis	95.6	85.26	80.1	95.6600
GCF_900129865.1	GCF_900166595.1	p__Firmicutes	g__Virgibacillus	s__Virgibacillus chiguensis	s__Virgibacillus dokdonensis	95.73	73.07	81.58	95.5300
GCF_900177615.1	GCF_900177795.1	p__Actinobacteriota	g__Plantibacter	s__Plantibacter flavus	s__Plantibacter sp900177795	95.78	81.47	78.11	95.8500
GCF_900239185.1	GCF_900239495.1	p__Bacteroidota	g__Tenacibaculum	s__Tenacibaculum finnmarkense_A	s__Tenacibaculum finnmarkense	96.87	84.51	81.41	96.6600
GCF_904846075.1	GCF_904846185.1	p__Proteobacteria	g__Psychrobacter	s__Psychrobacter glacincola_C	s__Psychrobacter immobilis_B	96.34	83.75	88.03	96.0200
GCF_904846075.1	GCF_904846525.1	p__Proteobacteria	g__Psychrobacter	s__Psychrobacter glacincola_C	s__Psychrobacter sp904846525	96.08	84.95	85.99	95.8900
GCF_904846185.1	GCF_904846615.1	p__Proteobacteria	g__Psychrobacter	s__Psychrobacter immobilis_B	s__Psychrobacter sp000586455	96.08	87.79	83.64	95.8900
GCF_904846525.1	GCF_904846615.1	p__Proteobacteria	g__Psychrobacter	s__Psychrobacter sp904846525	s__Psychrobacter sp000586455	96.33	86.64	85.71	96.0600
