assembly_acc	strain	biosample	organism	assembly_level	genome_file	epi_type	serovar_pd	serotype_biosample	geo	host	isolation_source	collection_date	host_disease	amrfinderplus_applied	n_amr_genes	AMR_genotypes	AMR_genotypes_core	AST_phenotypes	n_virulence_genes	virulence_genotypes	stress_genotypes
GCF_003937765.1	FDAARGOS_564	SAMN10163188	Escherichia coli	Contig	genomes/ecoli/GCF_003937765.1.fna	clinical			missing	Homo sapiens	UCC isolate	missing	missing	1	15	acrF=COMPLETE,blaCTX-M-27=COMPLETE,blaEC=COMPLETE,blaTEM-1=COMPLETE,blaTEM=COMPLETE,blaTEM=PARTIAL,cyaA_S352T=POINT,dfrA17=COMPLETE,gyrA_D87N=POINT,gyrA_S83L=POINT,marR_W83Ter=POINT,ompF_Y253EfsTer3=POINT,parC_S80I=POINT,parE_S458A=POINT,tet(B)=COMPLETE	blaCTX-M-27=COMPLETE,blaTEM-1=COMPLETE,blaTEM=COMPLETE,blaTEM=PARTIAL,cyaA_S352T=POINT,dfrA17=COMPLETE,gyrA_D87N=POINT,gyrA_S83L=POINT,marR_W83Ter=POINT,ompF_Y253EfsTer3=POINT,parC_S80I=POINT,parE_S458A=POINT,tet(B)=COMPLETE		9	air=COMPLETE,eilA=COMPLETE,espX1=COMPLETE,fdeC=COMPLETE,sinH=HMM,sslE=HMM,traT=COMPLETE,ybtP=COMPLETE,ybtQ=COMPLETE	ariR=COMPLETE,emrE=COMPLETE
GCF_003938635.1	FDAARGOS_539	SAMN10163252	Escherichia coli	Contig	genomes/ecoli/GCF_003938635.1.fna	clinical			USA	Homo sapiens	clinical isolate	missing	missing	1	22	aac(3)-IIe=COMPLETE,aac(6')-Ib-cr5=COMPLETE,acrF=COMPLETE,blaCTX-M-15=COMPLETE,blaEC=COMPLETE,blaOXA-1=COMPLETE,blaTEM-1=COMPLETE,catB3=PARTIAL,dfrB4=COMPLETE,gyrA_D87N=POINT,gyrA_S83L=POINT,mdtM=COMPLETE,mph(A)=COMPLETE,mrx(A)=COMPLETE,parC_E84V=POINT,parC_S80I=POINT,parE_I529L=POINT,ptsI_V25I=POINT,qepA7=COMPLETE,sul1=COMPLETE,tet(B)=COMPLETE,uhpT_E350Q=POINT	aac(3)-IIe=COMPLETE,aac(6')-Ib-cr5=COMPLETE,blaCTX-M-15=COMPLETE,blaOXA-1=COMPLETE,blaTEM-1=COMPLETE,catB3=PARTIAL,dfrB4=COMPLETE,gyrA_D87N=POINT,gyrA_S83L=POINT,mph(A)=COMPLETE,mrx(A)=COMPLETE,parC_E84V=POINT,parC_S80I=POINT,parE_I529L=POINT,ptsI_V25I=POINT,qepA7=COMPLETE,sul1=COMPLETE,tet(B)=COMPLETE,uhpT_E350Q=POINT		14	fdeC=COMPLETE,iha=COMPLETE,iss=COMPLETE,iucA=COMPLETE,iucB=COMPLETE,iucC=COMPLETE,iucD=COMPLETE,iutA=COMPLETE,papA=PARTIAL,sat=COMPLETE,sinH=HMM,sslE=HMM,ybtP=COMPLETE,ybtQ=COMPLETE	ariR=COMPLETE,emrE=COMPLETE,qacEdelta1=COMPLETE
GCF_003938885.1	FDAARGOS_498	SAMN10163174	Escherichia coli	Contig	genomes/ecoli/GCF_003938885.1.fna	clinical			missing	Homo sapiens	UCC isolate	missing	missing	1	19	aac(3)-IIe=COMPLETE,aac(6')-Ib-cr5=COMPLETE,aadA5=COMPLETE,acrF=COMPLETE,blaCTX-M-15=COMPLETE,blaEC=COMPLETE,blaOXA-1=COMPLETE,blaTEM-1=COMPLETE,catB3=PARTIAL,cirA_E388Ter=POINT,dfrA17=COMPLETE,gyrA_D87N=POINT,gyrA_S83L=POINT,mdtM=COMPLETE,nfsA_G126R=POINT,parC_S80I=POINT,parE_S458A=POINT,sul1=COMPLETE,tet(A)=COMPLETE	aac(3)-IIe=COMPLETE,aac(6')-Ib-cr5=COMPLETE,aadA5=COMPLETE,blaCTX-M-15=COMPLETE,blaOXA-1=COMPLETE,blaTEM-1=COMPLETE,catB3=PARTIAL,cirA_E388Ter=POINT,dfrA17=COMPLETE,gyrA_D87N=POINT,gyrA_S83L=POINT,nfsA_G126R=POINT,parC_S80I=POINT,parE_S458A=POINT,sul1=COMPLETE,tet(A)=COMPLETE		12	capU=COMPLETE,espX1=COMPLETE,fdeC=COMPLETE,iss=COMPLETE,iucA=COMPLETE,iucB=PARTIAL,iucC=COMPLETE,iucD=COMPLETE,iutA=COMPLETE,sinH=HMM,ybtP=COMPLETE,ybtQ=COMPLETE	ariR=COMPLETE,qacEdelta1=COMPLETE
GCF_003940725.1	FDAARGOS_563	SAMN10163187	Escherichia coli	Contig	genomes/ecoli/GCF_003940725.1.fna	clinical			missing	Homo sapiens	UCC isolate	missing	missing	1	22	aac(6')-Ib-cr5=COMPLETE,aadA5=COMPLETE,acrF=COMPLETE,aph(3'')-Ib=COMPLETE,aph(3')-Ia=COMPLETE,aph(6)-Id=COMPLETE,blaCTX-M-15=COMPLETE,blaEC=COMPLETE,blaOXA-1=COMPLETE,blaOXA-48=COMPLETE,catB3=PARTIAL,dfrA17=COMPLETE,gyrA_D87N=POINT,gyrA_S83L=POINT,mdtM=COMPLETE,mph(A)=COMPLETE,mrx(A)=COMPLETE,parC_S80I=POINT,parE_S458T=POINT,sul1=COMPLETE,sul2=COMPLETE,tet(B)=COMPLETE	aac(6')-Ib-cr5=COMPLETE,aadA5=COMPLETE,aph(3'')-Ib=COMPLETE,aph(3')-Ia=COMPLETE,aph(6)-Id=COMPLETE,blaCTX-M-15=COMPLETE,blaOXA-1=COMPLETE,blaOXA-48=COMPLETE,catB3=PARTIAL,dfrA17=COMPLETE,gyrA_D87N=POINT,gyrA_S83L=POINT,mph(A)=COMPLETE,mrx(A)=COMPLETE,parC_S80I=POINT,parE_S458T=POINT,sul1=COMPLETE,sul2=COMPLETE,tet(B)=COMPLETE		8	espX1=COMPLETE,fdeC=COMPLETE,iucA=COMPLETE,iucB=COMPLETE,iucC=COMPLETE,iucD=COMPLETE,iutA=COMPLETE,sslE=HMM	ariR=COMPLETE,emrE=COMPLETE,qacEdelta1=COMPLETE
GCF_006364695.1	FDAARGOS_772	SAMN11056487	Escherichia coli	Complete Genome	genomes/ecoli/GCF_006364695.1.fna	clinical			USA:VA	NIST Mixed Microbial RM strain	ATCC Isolate	missing	missing	1	11	acrF=COMPLETE,aph(3'')-Ib=COMPLETE,aph(6)-Id=COMPLETE,blaEC=COMPLETE,blaTEM-1=COMPLETE,dfrA7=COMPLETE,gyrA_S83A=POINT,mdtM=COMPLETE,sul1=COMPLETE,sul2=COMPLETE,tet(K)=PARTIAL_END_OF_CONTIG	aph(3'')-Ib=COMPLETE,aph(6)-Id=COMPLETE,blaTEM-1=COMPLETE,dfrA7=COMPLETE,gyrA_S83A=POINT,sul1=COMPLETE,sul2=COMPLETE,tet(K)=PARTIAL_END_OF_CONTIG		30	aaiC=COMPLETE,aap=COMPLETE,aar=COMPLETE,aatA=COMPLETE,aggA=COMPLETE,aggC=COMPLETE,aggD=COMPLETE,aggR=COMPLETE,capU=COMPLETE,espX1=PARTIAL,fdeC=COMPLETE,iha=COMPLETE,iucA=COMPLETE,iucB=COMPLETE,iucC=COMPLETE,iucD=COMPLETE,iutA=COMPLETE,lpfA-O113=COMPLETE,lpfA=COMPLETE,mchB=COMPLETE,mchF=COMPLETE,pic=COMPLETE,sepA=COMPLETE,sigA=COMPLETE,sslE=HMM,stx2a_operon=COMPLETE,stxA2=COMPLETE,stxB2=COMPLETE,ybtP=COMPLETE,ybtQ=COMPLETE	ariR=COMPLETE,emrE=COMPLETE,emrE=PARTIAL,pcoA=COMPLETE,pcoB=COMPLETE,pcoC=COMPLETE,pcoD=COMPLETE,pcoE=COMPLETE,pcoR=COMPLETE,pcoS=COMPLETE,qacEdelta1=COMPLETE,silA=COMPLETE,silB=COMPLETE,silC=COMPLETE,silE=COMPLETE,silF=COMPLETE,silP=COMPLETE,silR=COMPLETE,silS=COMPLETE,terD=COMPLETE,terW=COMPLETE,terZ=COMPLETE
GCF_006370475.1	FDAARGOS_608	SAMN10346772	Escherichia coli	Contig	genomes/ecoli/GCF_006370475.1.fna	environmental/other			USA: Detroit, MI	ZymoBIOMICS Microbial Community Standard Strain	Environment	missing	not applicable	1	3	acrF=COMPLETE,blaEC=COMPLETE,mdtM=COMPLETE			13	aaiC=COMPLETE,fdeC=COMPLETE,iha=COMPLETE,iucA=COMPLETE,iucB=COMPLETE,iucC=COMPLETE,iucD=COMPLETE,iutA=COMPLETE,mchB=COMPLETE,mchF=COMPLETE,pic=COMPLETE,sat=COMPLETE,sslE=HMM	ariR=COMPLETE,terD=COMPLETE,terW=COMPLETE,terZ=COMPLETE
GCF_016026195.1	FDAARGOS_946	SAMN13450476	Escherichia coli	Complete Genome	genomes/ecoli/GCF_016026195.1.fna	clinical			not applicable	missing	missing	missing	missing	1	3	acrF=COMPLETE,blaEC=COMPLETE,mdtM=COMPLETE			18	eae=COMPLETE,efa1=COMPLETE,espA=COMPLETE,espB=COMPLETE,espF=PARTIAL,espJ=COMPLETE,espX1=COMPLETE,etpD=COMPLETE,fdeC=COMPLETE,lpfA1=COMPLETE,lpfA2=COMPLETE,nleA=COMPLETE,nleB2=COMPLETE,nleB=COMPLETE,nleC=COMPLETE,sslE=HMM,tccP=COMPLETE,tir=COMPLETE	ariR=COMPLETE
GCF_016026215.1	FDAARGOS_945	SAMN13450475	Escherichia coli	Complete Genome	genomes/ecoli/GCF_016026215.1.fna				not applicable	missing	missing	missing	missing		0				0		
GCF_016026235.1	FDAARGOS_944	SAMN13450474	Escherichia coli	Complete Genome	genomes/ecoli/GCF_016026235.1.fna	clinical			not applicable	missing	missing	missing	missing	1	5	acrF=COMPLETE,blaEC=COMPLETE,emrD=COMPLETE,mdtM=COMPLETE,uhpT_E350Q=POINT	uhpT_E350Q=POINT		24	capU=COMPLETE,fdeC=COMPLETE,iha=COMPLETE,ipaD=COMPLETE,ipaH1.4=COMPLETE,ipaH4.5=COMPLETE,ipaH7.8=COMPLETE,ipaH9.8=COMPLETE,ipaHa=COMPLETE,ipaHb=COMPLETE,ipaHd=COMPLETE,ipaHe=COMPLETE,ipaHe=PARTIAL,iucA=COMPLETE,iucB=PARTIAL,iucC=COMPLETE,iucD=COMPLETE,iutA=COMPLETE,lpfA-O113=COMPLETE,lpfA1=COMPLETE,senB=COMPLETE,sigA=COMPLETE,sslE=HMM,virF=COMPLETE	ariR=COMPLETE
GCF_016026335.1	FDAARGOS_943	SAMN13450473	Escherichia coli	Complete Genome	genomes/ecoli/GCF_016026335.1.fna	clinical			not applicable	missing	missing	missing	missing	1	5	acrF=COMPLETE,blaEC=MISTRANSLATION,emrD=COMPLETE,mdtM=COMPLETE,uhpT_E350Q=POINT	uhpT_E350Q=POINT		15	astA=COMPLETE,capU=COMPLETE,espX1=COMPLETE,fdeC=PARTIAL,ipaH3=COMPLETE,ipaH9.8=COMPLETE,ipaHa=COMPLETE,ipaHb=COMPLETE,ipaHd=COMPLETE,ipaHe=COMPLETE,lpfA-O113=COMPLETE,lpfA1=COMPLETE,sepA=COMPLETE,ybtP=COMPLETE,ybtQ=COMPLETE	ariR=COMPLETE
GCF_016026355.1	FDAARGOS_942	SAMN13450472	Escherichia coli	Chromosome	genomes/ecoli/GCF_016026355.1.fna	clinical			not applicable	missing	missing	missing	missing	1	3	acrF=COMPLETE,blaEC=COMPLETE,mdtM=COMPLETE			11	astA=MISTRANSLATION,espX1=COMPLETE,fdeC=COMPLETE,iha=COMPLETE,iucA=COMPLETE,iucB=COMPLETE,iucC=COMPLETE,iucD=COMPLETE,iutA=COMPLETE,sigA=COMPLETE,sslE=HMM	ariR=COMPLETE,emrE=COMPLETE
GCF_016026375.1	FDAARGOS_941	SAMN13450471	Escherichia coli	Complete Genome	genomes/ecoli/GCF_016026375.1.fna				not applicable	missing	missing	missing	missing		0				0		
GCF_016126995.1	FDAARGOS_1058	SAMN16357227	Escherichia coli	Complete Genome	genomes/ecoli/GCF_016126995.1.fna	clinical			Germany: Braunschweig	missing	missing	missing	missing	1	3	acrF=COMPLETE,blaEC=COMPLETE,mdtM=COMPLETE			25	bmaE=COMPLETE,cdtB=COMPLETE,cnf2=COMPLETE,espX1=PARTIAL,f17a=COMPLETE,f17g=COMPLETE,fdeC=COMPLETE,focG=COMPLETE,iroB=COMPLETE,iroC=COMPLETE,iroD=COMPLETE,iroE=COMPLETE,iroN=COMPLETE,iucA=COMPLETE,iucB=COMPLETE,iucC=COMPLETE,iucD=COMPLETE,iutA=COMPLETE,lpfA-O113=COMPLETE,mchB=COMPLETE,mchF=MISTRANSLATION,sfaF=COMPLETE,sslE=HMM,ybtP=COMPLETE,ybtQ=COMPLETE	ariR=COMPLETE,emrE=COMPLETE
GCF_016127695.1	FDAARGOS_1059	SAMN16357228	Escherichia coli	Complete Genome	genomes/ecoli/GCF_016127695.1.fna	clinical			Germany: Braunschweig	missing	missing	missing	missing	1	4	acrF=COMPLETE,blaEC=COMPLETE,folP_P64S=POINT,mdtM=COMPLETE	folP_P64S=POINT		15	capU=COMPLETE,cif=COMPLETE,eae=COMPLETE,efa1=COMPLETE,espA=COMPLETE,espB=COMPLETE,espF=COMPLETE,espX1=COMPLETE,fdeC=COMPLETE,nleA=COMPLETE,nleB2=COMPLETE,nleB2=MISTRANSLATION,nleB=MISTRANSLATION,tccP=COMPLETE,tir=COMPLETE	ariR=COMPLETE
GCF_016728085.1	FDAARGOS_1077	SAMN16357246	Escherichia coli	Complete Genome	genomes/ecoli/GCF_016728085.1.fna	clinical			Germany:Langen	missing	missing	missing	missing	1	3	acrF=COMPLETE,blaEC=COMPLETE,mdtM=COMPLETE			7	capU=COMPLETE,cotA=COMPLETE,eatA=COMPLETE,espX1=COMPLETE,fdeC=COMPLETE,iss=COMPLETE,sslE=HMM	ariR=COMPLETE,emrE=COMPLETE
GCF_016888625.1	FDAARGOS_1270	SAMN16357412	Escherichia coli	Contig	genomes/ecoli/GCF_016888625.1.fna	clinical			USA:WA	Homo sapiens	ARMADA Isolate	missing	missing	1	21	aac(3)-IIe=COMPLETE,aac(6')-Ib-cr5=COMPLETE,aadA1=COMPLETE,acrF=COMPLETE,aph(3'')-Ib=COMPLETE,aph(6)-Id=COMPLETE,blaCTX-M-15=COMPLETE,blaEC=COMPLETE,blaOXA-1=COMPLETE,catB3=PARTIAL,cyaA_S352T=POINT,dfrA1=COMPLETE,gyrA_D87N=POINT,gyrA_S83L=POINT,nfsA_Q26Ter=POINT,parC_S57T=POINT,parC_S80I=POINT,parE_S458A=POINT,sat2=COMPLETE,sul2=COMPLETE,tet(A)=COMPLETE	aac(3)-IIe=COMPLETE,aac(6')-Ib-cr5=COMPLETE,aadA1=COMPLETE,aph(3'')-Ib=COMPLETE,aph(6)-Id=COMPLETE,blaCTX-M-15=COMPLETE,blaOXA-1=COMPLETE,catB3=PARTIAL,cyaA_S352T=POINT,dfrA1=COMPLETE,gyrA_D87N=POINT,gyrA_S83L=POINT,nfsA_Q26Ter=POINT,parC_S57T=POINT,parC_S80I=POINT,parE_S458A=POINT,sat2=COMPLETE,sul2=COMPLETE,tet(A)=COMPLETE		25	aap=COMPLETE,aar=COMPLETE,aatA=COMPLETE,agg3B=COMPLETE,agg3C=COMPLETE,agg3D=COMPLETE,aggR=COMPLETE,capU=COMPLETE,eilA=COMPLETE,espX1=COMPLETE,fdeC=COMPLETE,hlyA-alpha=COMPLETE,iha=COMPLETE,iucA=COMPLETE,iucB=COMPLETE,iucC=COMPLETE,iucD=COMPLETE,iutA=COMPLETE,papC=COMPLETE,papF=COMPLETE,papG-II=COMPLETE,papH=COMPLETE,sat=COMPLETE,ybtP=COMPLETE,ybtQ=COMPLETE	ariR=COMPLETE
GCF_016888685.1	FDAARGOS_1263	SAMN16357405	Escherichia coli	Contig	genomes/ecoli/GCF_016888685.1.fna	clinical			USA:WA	Homo sapiens	ARMADA Isolate	missing	missing	1	15	aac(3)-IId=COMPLETE,aadA2=COMPLETE,acrF=PARTIAL,aph(3'')-Ib=COMPLETE,aph(6)-Id=COMPLETE,blaEC=COMPLETE,blaTEM-1=COMPLETE,dfrA12=COMPLETE,gyrA_S83L=POINT,parC_S80R=POINT,parE_I529L=POINT,ptsI_V25I=POINT,sul1=COMPLETE,sul2=COMPLETE,uhpT_E350Q=POINT	aac(3)-IId=COMPLETE,aadA2=COMPLETE,aph(3'')-Ib=COMPLETE,aph(6)-Id=COMPLETE,blaTEM-1=COMPLETE,dfrA12=COMPLETE,gyrA_S83L=POINT,parC_S80R=POINT,parE_I529L=POINT,ptsI_V25I=POINT,sul1=COMPLETE,sul2=COMPLETE,uhpT_E350Q=POINT		20	fdeC=COMPLETE,hlyA-alpha=COMPLETE,iha=COMPLETE,iss=COMPLETE,iucA=COMPLETE,iucB=COMPLETE,iucC=COMPLETE,iucD=COMPLETE,iutA=COMPLETE,papA=COMPLETE,papC=COMPLETE,papF=COMPLETE,papG-II=COMPLETE,papH=COMPLETE,sat=COMPLETE,senB=COMPLETE,sinH=HMM,traT=COMPLETE,ybtP=COMPLETE,ybtQ=COMPLETE	ariR=COMPLETE,emrE=COMPLETE,merA=HMM,merC=COMPLETE,merD=HMM,merE=HMM,merP=COMPLETE,merR=COMPLETE,merT=COMPLETE,qacEdelta1=COMPLETE
GCF_016888925.1	FDAARGOS_1260	SAMN16357402	Escherichia coli	Complete Genome	genomes/ecoli/GCF_016888925.1.fna	clinical			USA:WA	Homo sapiens	missing	missing	missing	1	8	aadA5=COMPLETE,acrF=COMPLETE,blaEC=COMPLETE,dfrA17=COMPLETE,mph(A)=COMPLETE,mrx(A)=COMPLETE,nfsA_E194Ter=POINT,sul1=COMPLETE	aadA5=COMPLETE,dfrA17=COMPLETE,mph(A)=COMPLETE,mrx(A)=COMPLETE,nfsA_E194Ter=POINT,sul1=COMPLETE		12	afaC=COMPLETE,bfpA=COMPLETE,fdeC=COMPLETE,iss=COMPLETE,nfaE=COMPLETE,papA=PARTIAL,senB=COMPLETE,sinH=HMM,sslE=HMM,vactox=PARTIAL,ybtP=COMPLETE,ybtQ=COMPLETE	emrE=COMPLETE,merA=HMM,merC=COMPLETE,merD=HMM,merE=HMM,merP=COMPLETE,merR=COMPLETE,merT=COMPLETE,qacEdelta1=COMPLETE
GCF_016888965.1	FDAARGOS_1261	SAMN16357403	Escherichia coli	Complete Genome	genomes/ecoli/GCF_016888965.1.fna	clinical			USA:WA	Homo sapiens	missing	missing	missing	1	2	acrF=COMPLETE,blaEC=MISTRANSLATION			17	clbB=COMPLETE,clbN=COMPLETE,cnf1=COMPLETE,fdeC=COMPLETE,hlyA-alpha=COMPLETE,iss=COMPLETE,papA=COMPLETE,papC=COMPLETE,papE=COMPLETE,papF=COMPLETE,papG-III=COMPLETE,papH=COMPLETE,sinH=HMM,sslE=COMPLETE,vactox=COMPLETE,ybtP=COMPLETE,ybtQ=COMPLETE	ariR=COMPLETE,emrE=COMPLETE
GCF_016889025.1	FDAARGOS_1251	SAMN16357393	Escherichia coli	Complete Genome	genomes/ecoli/GCF_016889025.1.fna	clinical			USA:WA	Homo sapiens	missing	missing	missing	1	3	acrF=COMPLETE,blaEC=COMPLETE,marR_S3N=POINT	marR_S3N=POINT		17	clbB=COMPLETE,clbN=COMPLETE,fdeC=COMPLETE,ibeA=COMPLETE,iroB=COMPLETE,iroC=COMPLETE,iroD=COMPLETE,iroE=COMPLETE,iroN=COMPLETE,iss=COMPLETE,sfaF=COMPLETE,sfaS=COMPLETE,sinH=HMM,sslE=COMPLETE,vactox=COMPLETE,ybtP=COMPLETE,ybtQ=COMPLETE	ariR=COMPLETE,emrE=COMPLETE
GCF_016889045.1	FDAARGOS_1255	SAMN16357397	Escherichia coli	Complete Genome	genomes/ecoli/GCF_016889045.1.fna	clinical			USA:WA	Homo sapiens	missing	missing	missing	1	4	acrF=COMPLETE,acrR_R131GfsTer11=POINT,blaEC-5=COMPLETE,mdtM=COMPLETE	acrR_R131GfsTer11=POINT		12	clbB=COMPLETE,clbN=COMPLETE,fdeC=COMPLETE,hlyA-alpha=COMPLETE,iss=COMPLETE,pic=COMPLETE,senB=COMPLETE,sinH=HMM,traT=COMPLETE,vactox=PARTIAL,ybtP=COMPLETE,ybtQ=COMPLETE	ariR=COMPLETE,emrE=COMPLETE
GCF_016889085.1	FDAARGOS_1256	SAMN16357398	Escherichia coli	Complete Genome	genomes/ecoli/GCF_016889085.1.fna	clinical			USA:WA	Homo sapiens	missing	missing	missing	1	9	aadA1=COMPLETE,acrF=COMPLETE,ampC_T-32A=POINT,blaEC=COMPLETE,dfrA1=COMPLETE,marR_S3N=POINT,sat2=COMPLETE,sul2=COMPLETE,tet(B)=COMPLETE	aadA1=COMPLETE,ampC_T-32A=POINT,dfrA1=COMPLETE,marR_S3N=POINT,sat2=COMPLETE,sul2=COMPLETE,tet(B)=COMPLETE		23	clbB=COMPLETE,clbN=COMPLETE,cnf1=COMPLETE,fdeC=COMPLETE,hlyA-alpha=COMPLETE,iroB=COMPLETE,iroC=COMPLETE,iroD=COMPLETE,iroE=COMPLETE,iroN=COMPLETE,iss=COMPLETE,mchF=PARTIAL,papA=COMPLETE,papC=COMPLETE,papF=COMPLETE,papG-III=COMPLETE,sfaF=COMPLETE,sfaS=COMPLETE,sinH=HMM,sslE=COMPLETE,vactox=COMPLETE,ybtP=COMPLETE,ybtQ=COMPLETE	ariR=COMPLETE,emrE=COMPLETE
GCF_016889105.1	FDAARGOS_1254	SAMN16357396	Escherichia coli	Complete Genome	genomes/ecoli/GCF_016889105.1.fna	clinical			USA:WA	Homo sapiens	missing	missing	missing	1	4	acrF=COMPLETE,blaEC=COMPLETE,marR_S3N=POINT,parE_D475E=POINT	marR_S3N=POINT,parE_D475E=POINT		12	bfpA=COMPLETE,fdeC=COMPLETE,ibeA=COMPLETE,iss=COMPLETE,lpfA=COMPLETE,senB=COMPLETE,sinH=HMM,sslE=COMPLETE,traT=COMPLETE,vactox=COMPLETE,ybtP=COMPLETE,ybtQ=COMPLETE	ariR=COMPLETE,emrE=COMPLETE
GCF_016889125.1	FDAARGOS_1249	SAMN16357391	Escherichia coli	Complete Genome	genomes/ecoli/GCF_016889125.1.fna	clinical			USA:WA	Homo sapiens	missing	missing	missing	1	4	acrF=PARTIAL,blaEC=COMPLETE,mdtM=COMPLETE,qnrB19=COMPLETE	qnrB19=COMPLETE		15	espX1=COMPLETE,fdeC=COMPLETE,iss=COMPLETE,iucA=COMPLETE,iucB=COMPLETE,iucC=COMPLETE,iucD=COMPLETE,iutA=COMPLETE,papA=COMPLETE,papF=PARTIAL,sat=COMPLETE,senB=COMPLETE,sslE=HMM,ybtP=COMPLETE,ybtQ=COMPLETE	ariR=COMPLETE,emrE=COMPLETE,pcoA=COMPLETE,pcoB=COMPLETE,pcoC=COMPLETE,pcoD=COMPLETE,pcoE=COMPLETE,pcoR=COMPLETE,pcoS=COMPLETE,silA=COMPLETE,silB=COMPLETE,silC=PARTIAL,silE=COMPLETE,silF=COMPLETE,silP=COMPLETE,silR=COMPLETE,silS=COMPLETE
GCF_016889185.1	FDAARGOS_1257	SAMN16357399	Escherichia coli	Complete Genome	genomes/ecoli/GCF_016889185.1.fna	clinical			USA:WA	Homo sapiens	missing	missing	missing	1	4	acrF=COMPLETE,blaCTX-M-14=COMPLETE,blaEC=COMPLETE,marR_S3N=POINT	blaCTX-M-14=COMPLETE,marR_S3N=POINT		24	clbB=COMPLETE,clbN=COMPLETE,cnf1=COMPLETE,fdeC=COMPLETE,hlyA-alpha=COMPLETE,iroB=COMPLETE,iroC=COMPLETE,iroD=COMPLETE,iroE=COMPLETE,iroN=COMPLETE,iss=COMPLETE,mchF=PARTIAL,papA=COMPLETE,papC=COMPLETE,papE=COMPLETE,papF=COMPLETE,papG-III=COMPLETE,sfaF=COMPLETE,sfaS=COMPLETE,sinH=HMM,sslE=COMPLETE,vactox=COMPLETE,ybtP=COMPLETE,ybtQ=COMPLETE	ariR=COMPLETE,emrE=COMPLETE
GCF_016889265.1	FDAARGOS_1264	SAMN16357406	Escherichia coli	Complete Genome	genomes/ecoli/GCF_016889265.1.fna	clinical			USA:WA	Homo sapiens	missing	missing	missing	1	10	acrF=COMPLETE,blaEC=COMPLETE,gyrA_D87N=POINT,gyrA_S83L=POINT,mdtM=COMPLETE,parC_E84V=POINT,parC_S80I=POINT,parE_I529L=POINT,ptsI_V25I=POINT,uhpT_E350Q=POINT	gyrA_D87N=POINT,gyrA_S83L=POINT,parC_E84V=POINT,parC_S80I=POINT,parE_I529L=POINT,ptsI_V25I=POINT,uhpT_E350Q=POINT		14	fdeC=COMPLETE,iha=COMPLETE,iss=COMPLETE,iucA=COMPLETE,iucB=COMPLETE,iucC=COMPLETE,iucD=COMPLETE,iutA=COMPLETE,papA=PARTIAL,sat=COMPLETE,sinH=HMM,sslE=HMM,ybtP=COMPLETE,ybtQ=COMPLETE	ariR=COMPLETE,emrE=COMPLETE
GCF_016889325.1	FDAARGOS_1258	SAMN16357400	Escherichia coli	Complete Genome	genomes/ecoli/GCF_016889325.1.fna	clinical			USA:WA	Homo sapiens	missing	missing	missing	1	2	acrF=COMPLETE,blaEC=COMPLETE			23	clbB=COMPLETE,clbN=COMPLETE,cnf1=COMPLETE,fdeC=COMPLETE,hlyA-alpha=COMPLETE,ireA=COMPLETE,iroB=COMPLETE,iroC=COMPLETE,iroD=COMPLETE,iroE=COMPLETE,iroN=COMPLETE,iss=COMPLETE,mchB=COMPLETE,mchF=MISTRANSLATION,papA=COMPLETE,papC=COMPLETE,papG-II=COMPLETE,senB=COMPLETE,sfaF=COMPLETE,sinH=HMM,sslE=HMM,ybtP=COMPLETE,ybtQ=COMPLETE	ariR=COMPLETE,emrE=COMPLETE
GCF_016889605.1	FDAARGOS_1268	SAMN16357410	Escherichia coli	Complete Genome	genomes/ecoli/GCF_016889605.1.fna	clinical			USA:WA	Homo sapiens	missing	missing	missing	1	6	acrF=COMPLETE,blaCMY-2=COMPLETE,blaEC=MISTRANSLATION,cyaA_S352T=POINT,mdtM=COMPLETE,uhpT_E350Q=POINT	blaCMY-2=COMPLETE,cyaA_S352T=POINT,uhpT_E350Q=POINT		8	eilA=COMPLETE,fdeC=COMPLETE,iss=COMPLETE,lpfA-O113=COMPLETE,sinH=HMM,sslE=HMM,ybtP=COMPLETE,ybtQ=COMPLETE	ariR=COMPLETE,emrE=COMPLETE
GCF_016889625.1	FDAARGOS_1262	SAMN16357404	Escherichia coli	Complete Genome	genomes/ecoli/GCF_016889625.1.fna	clinical			USA:WA	Homo sapiens	missing	missing	missing	1	3	acrF=COMPLETE,blaEC=COMPLETE,cirA_Y390Ter=POINT	cirA_Y390Ter=POINT		27	clbB=COMPLETE,clbN=COMPLETE,cnf1=COMPLETE,fdeC=COMPLETE,hlyA-alpha=COMPLETE,ireA=COMPLETE,iroB=COMPLETE,iroC=COMPLETE,iroD=COMPLETE,iroE=COMPLETE,iroN=COMPLETE,iss=COMPLETE,mchB=COMPLETE,mchF=MISTRANSLATION,papA=COMPLETE,papC=COMPLETE,papE=COMPLETE,papF=COMPLETE,papG-I=COMPLETE,papG-III=COMPLETE,papH=COMPLETE,sfaF=COMPLETE,sinH=HMM,sslE=HMM,vactox=COMPLETE,ybtP=COMPLETE,ybtQ=COMPLETE	ariR=COMPLETE,emrE=COMPLETE
