assembly_acc	assembly_name	organism	strain	biosample	seq_rel_date	submission	assembly_level
GCF_012273215.1	ASM1227321v1	Gemella haemolysans (firmicutes)	FDAARGOS_740	SAMN11056455	2020/04/12 00:00	2020/04/12 00:00	Chromosome
GCF_012273195.1	ASM1227319v1	Enterocloster clostridioformis (firmicutes)	FDAARGOS_739	SAMN11056454	2020/04/12 00:00	2020/04/12 00:00	Chromosome
GCF_012273175.1	ASM1227317v1	Campylobacter ureolyticus (e-proteobacteria)	FDAARGOS_673	SAMN11056388	2020/04/12 00:00	2020/04/12 00:00	Chromosome
GCF_012273155.1	ASM1227315v1	Streptococcus mutans (firmicutes)	FDAARGOS_685	SAMN11056400	2020/04/12 00:00	2020/04/12 00:00	Chromosome
GCF_012273135.1	ASM1227313v1	Chryseobacterium indologenes (CFB group bacteria)	FDAARGOS_648	SAMN11056363	2020/04/12 00:00	2020/04/12 00:00	Chromosome
GCF_012273115.1	ASM1227311v1	Serratia marcescens (enterobacteria)	FDAARGOS_659	SAMN11056374	2020/04/12 00:00	2020/04/12 00:00	Chromosome
GCF_012273095.1	ASM1227309v1	Streptococcus gallolyticus (firmicutes)	FDAARGOS_666	SAMN11056381	2020/04/12 00:00	2020/04/12 00:00	Chromosome
GCF_012273075.1	ASM1227307v1	Klebsiella variicola (enterobacteria)	FDAARGOS_628	SAMN11056343	2020/04/12 00:00	2020/04/12 00:00	Chromosome
GCF_012273055.1	ASM1227305v1	Parabacteroides distasonis (CFB group bacteria)	FDAARGOS_615	SAMN11056330	2020/04/12 00:00	2020/04/12 00:00	Chromosome
GCF_012272675.1	ASM1227267v1	Agrobacterium pusense (a-proteobacteria)	FDAARGOS_633	SAMN11056348	2020/04/11 00:00	2020/04/11 00:00	Chromosome
GCF_012272655.1	ASM1227265v1	Burkholderia multivorans (b-proteobacteria)	FDAARGOS_624	SAMN11056339	2020/04/11 00:00	2020/04/11 00:00	Chromosome
GCF_012241635.1	ASM1224163v1	Klebsiella quasipneumoniae (enterobacteria)	FDAARGOS_626	SAMN11056341	2020/04/08 00:00	2020/04/08 00:00	Scaffold
GCF_009806695.1	ASM980669v1	Bacillus anthracis (anthrax bacterium)	FDAARGOS_704	SAMN11056419	2019/12/28 00:00	2019/12/28 00:00	Complete Genome
GCF_009806675.1	ASM980667v1	Bacillus anthracis (anthrax bacterium)	FDAARGOS_705	SAMN11056420	2019/12/28 00:00	2019/12/28 00:00	Complete Genome
GCF_009806655.1	ASM980665v1	Bacillus anthracis (anthrax bacterium)	FDAARGOS_706	SAMN11056421	2019/12/28 00:00	2019/12/28 00:00	Complete Genome
GCF_009806635.1	ASM980663v1	Bacillus anthracis (anthrax bacterium)	FDAARGOS_700	SAMN11056415	2019/12/28 00:00	2019/12/28 00:00	Complete Genome
GCF_009806615.1	ASM980661v1	Bacillus anthracis (anthrax bacterium)	FDAARGOS_701	SAMN11056416	2019/12/28 00:00	2019/12/28 00:00	Complete Genome
GCF_009806595.1	ASM980659v1	Bacillus anthracis (anthrax bacterium)	FDAARGOS_698	SAMN11056413	2019/12/28 00:00	2019/12/28 00:00	Complete Genome
GCF_009734165.1	ASM973416v1	Bacteroides ovatus (CFB group bacteria)	FDAARGOS_733	SAMN11056448	2019/12/08 00:00	2019/12/08 00:00	Complete Genome
GCA_009732965.1	ASM973296v1	Aerococcus viridans (firmicutes)	FDAARGOS_672	SAMN11056387	2019/12/05 00:00	2019/12/05 00:00	Complete Genome
GCF_009730575.1	ASM973057v1	Shewanella putrefaciens (g-proteobacteria)	FDAARGOS_681	SAMN11056396	2019/12/05 00:00	2019/12/05 00:00	Complete Genome
GCF_009730555.1	ASM973055v1	Mammaliicoccus fleurettii (firmicutes)	FDAARGOS_682	SAMN11056397	2019/12/05 00:00	2019/12/05 00:00	Complete Genome
GCF_009730535.1	ASM973053v1	Streptococcus gordonii (firmicutes)	FDAARGOS_683	SAMN11056398	2019/12/05 00:00	2019/12/05 00:00	Complete Genome
GCF_009730515.1	ASM973051v1	Streptococcus mitis (firmicutes)	FDAARGOS_684	SAMN11056399	2019/12/05 00:00	2019/12/05 00:00	Complete Genome
GCF_009730495.1	ASM973049v1	Clostridioides difficile (firmicutes)	FDAARGOS_723	SAMN11056438	2019/12/05 00:00	2019/12/05 00:00	Complete Genome
GCF_009730475.1	ASM973047v1	Corynebacterium xerosis (high G+C Gram-positive bacteria)	FDAARGOS_674	SAMN11056389	2019/12/05 00:00	2019/12/05 00:00	Complete Genome
GCF_009730455.1	ASM973045v1	Cupriavidus metallidurans (b-proteobacteria)	FDAARGOS_675	SAMN11056390	2019/12/05 00:00	2019/12/05 00:00	Complete Genome
GCF_009730435.1	ASM973043v1	Gordonia bronchialis (high G+C Gram-positive bacteria)	FDAARGOS_676	SAMN11056391	2019/12/05 00:00	2019/12/05 00:00	Complete Genome
GCF_009730415.1	ASM973041v1	Micrococcus luteus (high G+C Gram-positive bacteria)	FDAARGOS_677	SAMN11056392	2019/12/05 00:00	2019/12/05 00:00	Complete Genome
GCF_009730395.1	ASM973039v1	Campylobacter coli (e-proteobacteria)	FDAARGOS_735	SAMN11056450	2019/12/05 00:00	2019/12/05 00:00	Complete Genome
GCF_009730375.1	ASM973037v1	Capnocytophaga sp. FDAARGOS_737 (CFB group bacteria)	FDAARGOS_737	SAMN11056452	2019/12/05 00:00	2019/12/05 00:00	Complete Genome
GCF_009730355.1	ASM973035v1	Citrobacter portucalensis (enterobacteria)	FDAARGOS_738	SAMN11056453	2019/12/05 00:00	2019/12/05 00:00	Complete Genome
GCF_009730335.1	ASM973033v1	Schaalia odontolytica (high G+C Gram-positive bacteria)	FDAARGOS_732	SAMN11056447	2019/12/05 00:00	2019/12/05 00:00	Complete Genome
GCF_009730315.1	ASM973031v1	Gemella morbillorum (firmicutes)	FDAARGOS_741	SAMN11056456	2019/12/05 00:00	2019/12/05 00:00	Complete Genome
GCF_009730295.1	ASM973029v1	Gemella sanguinis (firmicutes)	FDAARGOS_742	SAMN11056457	2019/12/05 00:00	2019/12/05 00:00	Complete Genome
GCF_009730275.1	ASM973027v1	Lactobacillus crispatus (firmicutes)	FDAARGOS_743	SAMN11056458	2019/12/05 00:00	2019/12/05 00:00	Complete Genome
GCF_009730255.1	ASM973025v1	Lactobacillus jensenii (firmicutes)	FDAARGOS_749	SAMN11056464	2019/12/05 00:00	2019/12/05 00:00	Complete Genome
GCF_009730235.1	ASM973023v1	Mycobacterium tuberculosis (high G+C Gram-positive bacteria)	FDAARGOS_750	SAMN11056465	2019/12/05 00:00	2019/12/05 00:00	Complete Genome
GCF_009730215.1	ASM973021v1	Mycobacterium tuberculosis (high G+C Gram-positive bacteria)	FDAARGOS_751	SAMN11056466	2019/12/05 00:00	2019/12/05 00:00	Complete Genome
GCF_009730195.1	ASM973019v1	Burkholderia multivorans (b-proteobacteria)	FDAARGOS_722	SAMN11056437	2019/12/05 00:00	2019/12/05 00:00	Complete Genome
GCF_009730175.1	ASM973017v1	Burkholderia multivorans (b-proteobacteria)	FDAARGOS_726	SAMN11056441	2019/12/05 00:00	2019/12/05 00:00	Complete Genome
GCF_009730155.1	ASM973015v1	Enterococcus gallinarum (firmicutes)	FDAARGOS_728	SAMN11056443	2019/12/05 00:00	2019/12/05 00:00	Complete Genome
GCF_009730135.1	ASM973013v1	Staphylococcus hominis (firmicutes)	FDAARGOS_746	SAMN11056461	2019/12/05 00:00	2019/12/05 00:00	Complete Genome
GCF_009730115.1	ASM973011v1	Staphylococcus hominis (firmicutes)	FDAARGOS_747	SAMN11056462	2019/12/05 00:00	2019/12/05 00:00	Complete Genome
GCF_009730095.1	ASM973009v1	Acinetobacter lwoffii (g-proteobacteria)	FDAARGOS_552	SAMN10163245	2019/12/05 00:00	2019/12/05 00:00	Complete Genome
GCF_009730075.1	ASM973007v1	Yersinia intermedia (enterobacteria)	FDAARGOS_729	SAMN11056444	2019/12/05 00:00	2019/12/05 00:00	Complete Genome
GCF_009730055.1	ASM973005v1	Yersinia intermedia (enterobacteria)	FDAARGOS_730	SAMN11056445	2019/12/05 00:00	2019/12/05 00:00	Complete Genome
GCF_009730035.1	ASM973003v1	Burkholderia multivorans (b-proteobacteria)	FDAARGOS_719	SAMN11056434	2019/12/05 00:00	2019/12/05 00:00	Complete Genome
GCF_009730015.1	ASM973001v1	Salmonella enterica (enterobacteria)	FDAARGOS_712	SAMN11056427	2019/12/05 00:00	2019/12/05 00:00	Complete Genome
GCF_009729995.1	ASM972999v1	Shigella sonnei (enterobacteria)	FDAARGOS_715	SAMN11056430	2019/12/05 00:00	2019/12/05 00:00	Complete Genome
GCF_009729975.1	ASM972997v1	Salmonella enterica (enterobacteria)	FDAARGOS_687	SAMN11056402	2019/12/05 00:00	2019/12/05 00:00	Complete Genome
GCF_009729955.1	ASM972995v1	Salmonella enterica (enterobacteria)	FDAARGOS_688	SAMN11056403	2019/12/05 00:00	2019/12/05 00:00	Complete Genome
GCF_009729935.1	ASM972993v1	Salmonella enterica (enterobacteria)	FDAARGOS_707	SAMN11056422	2019/12/05 00:00	2019/12/05 00:00	Complete Genome
GCF_009729915.1	ASM972991v1	Salmonella enterica (enterobacteria)	FDAARGOS_708	SAMN11056423	2019/12/05 00:00	2019/12/05 00:00	Complete Genome
GCF_009729895.1	ASM972989v1	Salmonella enterica (enterobacteria)	FDAARGOS_710	SAMN11056425	2019/12/05 00:00	2019/12/05 00:00	Complete Genome
GCF_008694005.1	ASM869400v1	Streptococcus pyogenes (firmicutes)	FDAARGOS_668	SAMN11056383	2019/09/25 00:00	2019/09/25 00:00	Complete Genome
GCF_008693985.1	ASM869398v1	Stenotrophomonas maltophilia (g-proteobacteria)	FDAARGOS_649	SAMN11056364	2019/09/25 00:00	2019/09/25 00:00	Complete Genome
GCF_008693965.1	ASM869396v1	Pseudomonas luteola (g-proteobacteria)	FDAARGOS_637	SAMN11056352	2019/09/25 00:00	2019/09/25 00:00	Complete Genome
GCF_008693945.1	ASM869394v1	Citrobacter koseri (enterobacteria)	FDAARGOS_646	SAMN11056361	2019/09/25 00:00	2019/09/25 00:00	Complete Genome
GCF_008693925.1	ASM869392v1	Dermabacter vaginalis (high G+C Gram-positive bacteria)	FDAARGOS_640	SAMN11056355	2019/09/25 00:00	2019/09/25 00:00	Complete Genome
GCF_008693905.1	ASM869390v1	Enterobacter hormaechei (CDC Enteric Group 75)	FDAARGOS_642	SAMN11056357	2019/09/25 00:00	2019/09/25 00:00	Complete Genome
GCF_008693885.1	ASM869388v1	Klebsiella aerogenes (enterobacteria)	FDAARGOS_641	SAMN11056356	2019/09/25 00:00	2019/09/25 00:00	Complete Genome
GCF_008693865.1	ASM869386v1	Paracoccus yeei (a-proteobacteria)	FDAARGOS_643	SAMN11056358	2019/09/25 00:00	2019/09/25 00:00	Complete Genome
GCF_008693845.1	ASM869384v1	Pasteurella multocida (g-proteobacteria)	FDAARGOS_644	SAMN11056359	2019/09/25 00:00	2019/09/25 00:00	Complete Genome
GCF_008693825.1	ASM869382v1	Pseudomonas oryzihabitans (g-proteobacteria)	FDAARGOS_657	SAMN11056372	2019/09/25 00:00	2019/09/25 00:00	Complete Genome
GCF_008693805.1	ASM869380v1	Providencia stuartii (enterobacteria)	FDAARGOS_645	SAMN11056360	2019/09/25 00:00	2019/09/25 00:00	Complete Genome
GCF_008693785.1	ASM869378v1	Roseomonas mucosa (a-proteobacteria)	FDAARGOS_658	SAMN11056373	2019/09/25 00:00	2019/09/25 00:00	Complete Genome
GCF_008693765.1	ASM869376v1	Staphylococcus aureus (firmicutes)	FDAARGOS_660	SAMN11056375	2019/09/25 00:00	2019/09/25 00:00	Complete Genome
GCF_008693745.1	ASM869374v1	Vibrio parahaemolyticus (g-proteobacteria)	FDAARGOS_662	SAMN11056377	2019/09/25 00:00	2019/09/25 00:00	Complete Genome
GCF_008693725.1	ASM869372v1	Streptococcus dysgalactiae (firmicutes)	FDAARGOS_654	SAMN11056369	2019/09/25 00:00	2019/09/25 00:00	Complete Genome
GCF_008693705.1	ASM869370v1	Aeromonas veronii (g-proteobacteria)	FDAARGOS_632	SAMN11056347	2019/09/25 00:00	2019/09/25 00:00	Complete Genome
GCF_008693685.1	ASM869368v1	Vibrio vulnificus (g-proteobacteria)	FDAARGOS_663	SAMN11056378	2019/09/25 00:00	2019/09/25 00:00	Complete Genome
GCF_008693665.1	ASM869366v1	Bordetella bronchiseptica (b-proteobacteria)	FDAARGOS_634	SAMN11056349	2019/09/25 00:00	2019/09/25 00:00	Complete Genome
GCF_008693645.1	ASM869364v1	Citrobacter werkmanii (enterobacteria)	FDAARGOS_616	SAMN11056331	2019/09/25 00:00	2019/09/25 00:00	Complete Genome
GCF_008693625.1	ASM869362v1	Vibrio parahaemolyticus (g-proteobacteria)	FDAARGOS_667	SAMN11056382	2019/09/25 00:00	2019/09/25 00:00	Complete Genome
GCF_008693605.1	ASM869360v1	Citrobacter portucalensis (enterobacteria)	FDAARGOS_617	SAMN11056332	2019/09/25 00:00	2019/09/25 00:00	Complete Genome
GCF_008693585.1	ASM869358v1	Streptococcus agalactiae (firmicutes)	FDAARGOS_670	SAMN11056385	2019/09/25 00:00	2019/09/25 00:00	Complete Genome
GCF_008693565.1	ASM869356v1	Klebsiella michiganensis (enterobacteria)	FDAARGOS_647	SAMN11056362	2019/09/25 00:00	2019/09/25 00:00	Complete Genome
GCF_008693545.1	ASM869354v1	Bordetella hinzii (b-proteobacteria)	FDAARGOS_621	SAMN11056336	2019/09/25 00:00	2019/09/25 00:00	Complete Genome
GCF_008693525.1	ASM869352v1	Burkholderia multivorans (b-proteobacteria)	FDAARGOS_622	SAMN11056337	2019/09/25 00:00	2019/09/25 00:00	Complete Genome
GCF_008693505.1	ASM869350v1	Streptococcus agalactiae (firmicutes)	FDAARGOS_669	SAMN11056384	2019/09/25 00:00	2019/09/25 00:00	Complete Genome
GCF_008693485.1	ASM869348v1	Burkholderia multivorans (b-proteobacteria)	FDAARGOS_623	SAMN11056338	2019/09/25 00:00	2019/09/25 00:00	Complete Genome
GCF_008693465.1	ASM869346v1	Klebsiella variicola (enterobacteria)	FDAARGOS_627	SAMN11056342	2019/09/25 00:00	2019/09/25 00:00	Complete Genome
GCF_008693445.1	ASM869344v1	Klebsiella pneumoniae (enterobacteria)	FDAARGOS_629	SAMN11056344	2019/09/25 00:00	2019/09/25 00:00	Complete Genome
GCF_008693425.1	ASM869342v1	Klebsiella pneumoniae (enterobacteria)	FDAARGOS_631	SAMN11056346	2019/09/25 00:00	2019/09/25 00:00	Complete Genome
GCF_008693405.1	ASM869340v1	Klebsiella pneumoniae (enterobacteria)	FDAARGOS_630	SAMN11056345	2019/09/25 00:00	2019/09/25 00:00	Complete Genome
GCF_008693385.1	ASM869338v1	Cupriavidus pauculus (b-proteobacteria)	FDAARGOS_664	SAMN11056379	2019/09/25 00:00	2019/09/25 00:00	Complete Genome
GCF_008693365.1	ASM869336v1	Yersinia pseudotuberculosis (enterobacteria)	FDAARGOS_665	SAMN11056380	2019/09/25 00:00	2019/09/25 00:00	Complete Genome
GCF_007273535.1	ASM727353v1	Niallia circulans (firmicutes)	FDAARGOS_343	SAMN06173356	2019/08/01 00:00	2019/08/01 00:00	Contig
GCF_007273515.1	ASM727351v1	Enterococcus avium (firmicutes)	FDAARGOS_185	SAMN04327393	2019/07/22 00:00	2019/07/22 00:00	Contig
GCF_007273495.1	ASM727349v1	Enterococcus avium (firmicutes)	FDAARGOS_183	SAMN04327391	2019/07/22 00:00	2019/07/22 00:00	Contig
GCF_006370495.1	ASM637049v1	Salmonella enterica (enterobacteria)	FDAARGOS_609	SAMN10346773	2019/06/17 00:00	2019/06/17 00:00	Contig
GCF_006370485.1	ASM637048v1	Staphylococcus aureus (firmicutes)	FDAARGOS_612	SAMN10346776	2019/06/17 00:00	2019/06/17 00:00	Contig
GCF_006370475.1	ASM637047v1	Escherichia coli (E. coli)	FDAARGOS_608	SAMN10346772	2019/06/17 00:00	2019/06/17 00:00	Contig
GCF_006370445.1	ASM637044v1	Shigella sonnei (enterobacteria)	FDAARGOS_776	SAMN11056491	2019/06/17 00:00	2019/06/17 00:00	Contig
GCF_006365335.1	ASM636533v1	Salmonella enterica (enterobacteria)	FDAARGOS_768	SAMN11056483	2019/06/19 00:00	2019/06/19 00:00	Complete Genome
GCF_006364815.1	ASM636481v1	Enterococcus faecalis (firmicutes)	FDAARGOS_611	SAMN10346775	2019/06/19 00:00	2019/06/19 00:00	Complete Genome
GCF_006364795.1	ASM636479v1	Pseudomonas aeruginosa (g-proteobacteria)	FDAARGOS_610	SAMN10346774	2019/06/19 00:00	2019/06/19 00:00	Complete Genome
GCF_006364775.1	ASM636477v1	Staphylococcus aureus (firmicutes)	FDAARGOS_766	SAMN11056481	2019/06/19 00:00	2019/06/19 00:00	Complete Genome
GCF_006364755.1	ASM636475v1	Salmonella enterica (enterobacteria)	FDAARGOS_765	SAMN11056480	2019/06/19 00:00	2019/06/19 00:00	Complete Genome
GCF_006364735.1	ASM636473v1	Pseudomonas aeruginosa (g-proteobacteria)	FDAARGOS_767	SAMN11056482	2019/06/19 00:00	2019/06/19 00:00	Complete Genome
GCF_006364695.1	ASM636469v1	Escherichia coli (E. coli)	FDAARGOS_772	SAMN11056487	2019/06/19 00:00	2019/06/19 00:00	Complete Genome
GCF_006364675.1	ASM636467v1	Staphylococcus aureus (firmicutes)	FDAARGOS_773	SAMN11056488	2019/06/19 00:00	2019/06/19 00:00	Complete Genome
GCF_006364655.1	ASM636465v1	Listeria monocytogenes (firmicutes)	FDAARGOS_778	SAMN11056493	2019/06/19 00:00	2019/06/19 00:00	Complete Genome
GCF_006364635.1	ASM636463v1	Legionella pneumophila (g-proteobacteria)	FDAARGOS_779	SAMN11056494	2019/06/19 00:00	2019/06/19 00:00	Complete Genome
GCF_006364495.1	ASM636449v1	Bacillus subtilis (firmicutes)	FDAARGOS_606	SAMN10346770	2019/06/19 00:00	2019/06/19 00:00	Complete Genome
GCF_006364355.1	ASM636435v1	Vibrio furnissii (g-proteobacteria)	FDAARGOS_777	SAMN11056492	2019/06/19 00:00	2019/06/19 00:00	Complete Genome
GCF_006364295.1	ASM636429v1	Klebsiella pneumoniae (enterobacteria)	FDAARGOS_775	SAMN11056490	2019/06/19 00:00	2019/06/19 00:00	Complete Genome
GCF_006364235.1	ASM636423v1	Streptococcus pyogenes (firmicutes)	FDAARGOS_774	SAMN11056489	2019/06/19 00:00	2019/06/19 00:00	Complete Genome
GCF_006364035.1	ASM636403v1	Listeria monocytogenes (firmicutes)	FDAARGOS_607	SAMN10346771	2019/06/19 00:00	2019/06/19 00:00	Complete Genome
GCF_003956025.1	ASM395602v1	Staphylococcus cohnii (firmicutes)	FDAARGOS_538	SAMN10163250	2018/12/19 00:00	2018/12/19 00:00	Complete Genome
GCF_003956005.1	ASM395600v1	Staphylococcus haemolyticus (firmicutes)	FDAARGOS_517	SAMN10163211	2018/12/19 00:00	2018/12/19 00:00	Complete Genome
GCF_003955985.1	ASM395598v1	Corynebacterium jeikeium (high G+C Gram-positive bacteria)	FDAARGOS_574	SAMN10163223	2018/12/19 00:00	2018/12/19 00:00	Complete Genome
GCF_003955815.1	ASM395581v1	Francisella tularensis (g-proteobacteria)	FDAARGOS_595	SAMN10228575	2018/12/19 00:00	2018/12/19 00:00	Complete Genome
GCF_003955795.1	ASM395579v1	Francisella tularensis (g-proteobacteria)	FDAARGOS_598	SAMN10228578	2018/12/19 00:00	2018/12/19 00:00	Complete Genome
GCF_003955775.1	ASM395577v1	Francisella tularensis (g-proteobacteria)	FDAARGOS_599	SAMN10228579	2018/12/19 00:00	2018/12/19 00:00	Complete Genome
GCF_003933015.1	ASM393301v1	Burkholderia mallei (b-proteobacteria)	FDAARGOS_585	SAMN10228565	2018/12/14 00:00	2018/12/14 00:00	Chromosome
GCF_003933025.1	ASM393302v1	Burkholderia mallei (b-proteobacteria)	FDAARGOS_588	SAMN10228568	2018/12/14 00:00	2018/12/14 00:00	Chromosome
GCF_003933035.1	ASM393303v1	Burkholderia mallei (b-proteobacteria)	FDAARGOS_589	SAMN10228569	2018/12/14 00:00	2018/12/14 00:00	Chromosome
GCF_003933045.1	ASM393304v1	Burkholderia mallei (b-proteobacteria)	FDAARGOS_590	SAMN10228570	2018/12/14 00:00	2018/12/14 00:00	Chromosome
GCF_003940725.1	ASM394072v1	Escherichia coli (E. coli)	FDAARGOS_563	SAMN10163187	2018/12/11 00:00	2018/12/11 00:00	Contig
GCF_003940705.1	ASM394070v1	Burkholderia cenocepacia (b-proteobacteria)	FDAARGOS_518	SAMN10163212	2018/12/11 00:00	2018/12/11 00:00	Contig
GCF_003940475.1	ASM394047v1	Acinetobacter sp. FDAARGOS_559 (g-proteobacteria)	FDAARGOS_559	SAMN10163183	2018/12/12 00:00	2018/12/12 00:00	Contig
GCF_003940465.1	ASM394046v1	Klebsiella pneumoniae (enterobacteria)	FDAARGOS_567	SAMN10163191	2018/12/12 00:00	2018/12/12 00:00	Contig
GCF_003938985.1	ASM393898v1	Bacillus sp. (in: firmicutes) (firmicutes)	FDAARGOS_509	SAMN10163203	2018/12/11 00:00	2018/12/11 00:00	Contig
GCF_003938995.1	ASM393899v1	Stenotrophomonas maltophilia (g-proteobacteria)	FDAARGOS_508	SAMN10163202	2018/12/11 00:00	2018/12/11 00:00	Contig
GCF_003938945.1	ASM393894v1	Pseudomonas putida (g-proteobacteria)	FDAARGOS_516	SAMN10163210	2018/12/11 00:00	2018/12/11 00:00	Contig
GCF_003938905.1	ASM393890v1	Acinetobacter sp. FDAARGOS_495 (g-proteobacteria)	FDAARGOS_495	SAMN10163171	2018/12/11 00:00	2018/12/11 00:00	Contig
GCF_003938925.1	ASM393892v1	Agrobacterium sp. FDAARGOS_525 (a-proteobacteria)	FDAARGOS_525	SAMN10163219	2018/12/11 00:00	2018/12/11 00:00	Contig
GCF_003938895.1	ASM393889v1	Acinetobacter haemolyticus (g-proteobacteria)	FDAARGOS_492	SAMN10163168	2018/12/11 00:00	2018/12/11 00:00	Contig
GCF_003938885.1	ASM393888v1	Escherichia coli (E. coli)	FDAARGOS_498	SAMN10163174	2018/12/11 00:00	2018/12/11 00:00	Contig
GCF_003938865.1	ASM393886v1	Acinetobacter sp. FDAARGOS_515 (g-proteobacteria)	FDAARGOS_515	SAMN10163209	2018/12/11 00:00	2018/12/11 00:00	Contig
GCF_003938815.1	ASM393881v1	Staphylococcus aureus (firmicutes)	FDAARGOS_572	SAMN10163196	2018/12/11 00:00	2018/12/11 00:00	Contig
GCF_003938795.1	ASM393879v1	Citrobacter amalonaticus (enterobacteria)	FDAARGOS_490	SAMN10163198	2018/12/11 00:00	2018/12/11 00:00	Contig
GCF_003938805.1	ASM393880v1	Pseudomonas aeruginosa (g-proteobacteria)	FDAARGOS_502	SAMN10163178	2018/12/11 00:00	2018/12/11 00:00	Contig
GCF_003938785.1	ASM393878v1	Citrobacter koseri (enterobacteria)	FDAARGOS_526	SAMN10163220	2018/12/11 00:00	2018/12/11 00:00	Contig
GCF_003938745.1	ASM393874v1	Bordetella bronchiseptica (b-proteobacteria)	FDAARGOS_543	SAMN10163236	2018/12/11 00:00	2018/12/11 00:00	Contig
GCF_003938685.1	ASM393868v1	Burkholderia cenocepacia (b-proteobacteria)	FDAARGOS_544	SAMN10163237	2018/12/11 00:00	2018/12/11 00:00	Contig
GCF_003938725.1	ASM393872v1	Parvimonas micra (firmicutes)	FDAARGOS_569	SAMN10163193	2018/12/11 00:00	2018/12/11 00:00	Contig
GCF_003938695.1	ASM393869v1	Burkholderia cenocepacia (b-proteobacteria)	FDAARGOS_545	SAMN10163238	2018/12/11 00:00	2018/12/11 00:00	Contig
GCF_003938705.1	ASM393870v1	Burkholderia multivorans (b-proteobacteria)	FDAARGOS_546	SAMN10163239	2018/12/11 00:00	2018/12/11 00:00	Contig
GCF_003938635.1	ASM393863v1	Escherichia coli (E. coli)	FDAARGOS_539	SAMN10163252	2018/12/11 00:00	2018/12/11 00:00	Contig
GCF_003937785.1	ASM393778v1	Acinetobacter sp. FDAARGOS_558 (g-proteobacteria)	FDAARGOS_558	SAMN10163182	2018/12/11 00:00	2018/12/11 00:00	Contig
GCF_003937725.1	ASM393772v1	Staphylococcus aureus (firmicutes)	FDAARGOS_573	SAMN10163197	2018/12/11 00:00	2018/12/11 00:00	Contig
GCF_003937765.1	ASM393776v1	Escherichia coli (E. coli)	FDAARGOS_564	SAMN10163188	2018/12/11 00:00	2018/12/11 00:00	Contig
GCF_003937705.1	ASM393770v1	Escherichia coli (E. coli)	FDAARGOS_499	SAMN10163175	2018/12/11 00:00	2018/12/11 00:00	Contig
GCF_003937715.1	ASM393771v1	Bordetella bronchiseptica (b-proteobacteria)	FDAARGOS_542	SAMN10163235	2018/12/11 00:00	2018/12/11 00:00	Contig
GCF_003937665.1	ASM393766v1	Acinetobacter sp. FDAARGOS_541 (g-proteobacteria)	FDAARGOS_541	SAMN10163234	2018/12/11 00:00	2018/12/11 00:00	Contig
GCF_003855135.1	ASM385513v1	Shigella flexneri (enterobacteria)	FDAARGOS_535	SAMN10163230	2018/12/02 00:00	2018/12/02 00:00	Complete Genome
GCF_003855115.1	ASM385511v1	Shigella sonnei (enterobacteria)	FDAARGOS_524	SAMN10163218	2018/12/02 00:00	2018/12/02 00:00	Complete Genome
GCF_003854935.1	ASM385493v1	Cupriavidus pauculus (b-proteobacteria)	FDAARGOS_614	SAMN10380324	2018/12/01 00:00	2018/12/01 00:00	Complete Genome
GCF_003852635.1	ASM385263v1	Burkholderia pseudomallei (b-proteobacteria)	FDAARGOS_591	SAMN10228571	2018/11/30 00:00	2018/11/30 00:00	Chromosome
GCF_003827915.1	ASM382791v1	Staphylococcus aureus (firmicutes)	FDAARGOS_504	SAMN10163180	2018/11/26 00:00	2018/11/26 00:00	Complete Genome
GCF_003813085.1	ASM381308v1	Alcaligenes faecalis (b-proteobacteria)	FDAARGOS_491	SAMN10163167	2018/11/21 00:00	2018/11/21 00:00	Complete Genome
GCF_003813065.1	ASM381306v1	Bifidobacterium breve (high G+C Gram-positive bacteria)	FDAARGOS_561	SAMN10163185	2018/11/21 00:00	2018/11/21 00:00	Complete Genome
GCF_003813045.1	ASM381304v1	Burkholderia dolosa (b-proteobacteria)	FDAARGOS_562	SAMN10163186	2018/11/21 00:00	2018/11/21 00:00	Complete Genome
GCF_003813025.1	ASM381302v1	Pseudomonas aeruginosa (g-proteobacteria)	FDAARGOS_570	SAMN10163194	2018/11/21 00:00	2018/11/21 00:00	Complete Genome
GCF_003813005.1	ASM381300v1	Pseudomonas aeruginosa (g-proteobacteria)	FDAARGOS_505	SAMN10163199	2018/11/21 00:00	2018/11/21 00:00	Complete Genome
GCF_003812985.1	ASM381298v1	Stenotrophomonas maltophilia (g-proteobacteria)	FDAARGOS_507	SAMN10163201	2018/11/21 00:00	2018/11/21 00:00	Complete Genome
GCF_003812965.1	ASM381296v1	Burkholderia multivorans (b-proteobacteria)	FDAARGOS_496	SAMN10163172	2018/11/21 00:00	2018/11/21 00:00	Complete Genome
GCF_003812945.1	ASM381294v1	Escherichia coli (E. coli)	FDAARGOS_497	SAMN10163173	2018/11/21 00:00	2018/11/21 00:00	Complete Genome
GCF_003812925.1	ASM381292v1	Klebsiella oxytoca (enterobacteria)	FDAARGOS_500	SAMN10163176	2018/11/21 00:00	2018/11/21 00:00	Complete Genome
GCF_003812905.1	ASM381290v1	Pseudomonas aeruginosa (g-proteobacteria)	FDAARGOS_501	SAMN10163177	2018/11/21 00:00	2018/11/21 00:00	Complete Genome
GCF_003812885.1	ASM381288v1	Pseudomonas aeruginosa (g-proteobacteria)	FDAARGOS_571	SAMN10163195	2018/11/21 00:00	2018/11/21 00:00	Complete Genome
