acc	species	genus	contig_count	n50_contigs	genome_size	checkm_completeness	checkm_contamination	ncbi_assembly_level	ncbi_genbank_assembly_accession	ncbi_strain_identifiers
GCF_001302605.1	Salmonella enterica	Salmonella	1	4793553	4793553	100.0	0.04	Complete Genome	GCA_001302605.1	PM016;13;PM016/13
GCF_001623625.1	Salmonella enterica	Salmonella	1	4751034	4751034	100.0	0.04	Complete Genome	GCA_001623625.1	USDA-ARS-USMARC-1766
GCF_001975385.1	Salmonella enterica	Salmonella	1	4618056	4618056	100.0	0.04	Complete Genome	GCA_001975385.1	N1529-D3
GCF_002761435.1	Salmonella enterica	Salmonella	1	4700953	4700953	100.0	0.18	Complete Genome	GCA_002761435.1	CDC 08-1942
GCF_003073515.1	Salmonella enterica	Salmonella	1	4914635	4914635	100.0	0.04	Complete Genome	GCA_003073515.1	CFSAN051295
GCF_003548565.1	Salmonella enterica	Salmonella	1	4780156	4780156	100.0	0.04	Contig	GCA_003548565.1	2014LSAL03344
GCF_003710205.1	Salmonella enterica	Salmonella	1	4709669	4709669	100.0	0.04	Complete Genome	GCA_003710205.1	CFSAN076213
GCF_003864055.1	Salmonella enterica	Salmonella	1	4759051	4759051	100.0	0.31	Complete Genome	GCA_003864055.1	ATCC 8387
GCF_006165105.1	Salmonella enterica	Salmonella	1	4763928	4763928	100.0	0.04	Complete Genome	GCA_006165105.1	USDA-ARS-USMARC-76332
GCF_008244785.1	Salmonella enterica	Salmonella	1	4870694	4870694	100.0	0.04	Complete Genome	GCA_008244785.1	14028S
GCF_009664655.1	Salmonella enterica	Salmonella	1	4731476	4731476	100.0	0.04	Complete Genome	GCA_009664655.1	AUSMDU00010531
GCF_011465695.1	Salmonella enterica	Salmonella	1	4773013	4773013	100.0	0.04	Complete Genome	GCA_011465695.1	Sal-1135
GCF_903992995.2	Salmonella enterica	Salmonella	1	4881179	4881179	100.0	0.04	Complete Genome	GCA_903992995.2	5d8c9f00c6184d00f9da85a6:sample:O1960-05
GCA_900636155.1	Salmonella enterica	Salmonella	1	4723444	4723444	100.0	0.75	Complete Genome	GCA_900636155.1	NCTC5741
GCF_000011885.1	Salmonella enterica	Salmonella	1	4585229	4585229	100.0	0.04	Complete Genome	GCA_000011885.1	ATCC 9150
GCF_000026565.1	Salmonella enterica	Salmonella	1	4581797	4581797	100.0	0.14	Complete Genome	GCA_000026565.1	AKU_12601;AKU12601
GCF_000385905.1	Salmonella enterica	Salmonella	1	4791958	4791958	100.0	0.04	Complete Genome	GCA_000385905.1	Ty21a
GCF_000487915.2	Salmonella enterica	Salmonella	1	4547600	4547600	100.0	0.04	Complete Genome	GCA_000487915.2	ATCC 35640
GCF_000494385.3	Salmonella enterica	Salmonella	1	4798531	4798531	100.0	0.04	Complete Genome	GCA_000494385.3	392869-2
GCF_000623295.1	Salmonella enterica	Salmonella	1	4678618	4678618	100.0	0.11	Complete Genome	GCA_000623295.1	EC20110360
GCF_000750255.1	Salmonella enterica	Salmonella	1	4667283	4667283	100.0	0.04	Complete Genome	GCA_000750255.1	OLF-SE8-1021710
GCF_001048375.2	Salmonella enterica	Salmonella	1	4796046	4796046	100.0	0.04	Complete Genome	GCA_001048375.2	M223
GCF_001623585.1	Salmonella enterica	Salmonella	1	4783492	4783492	100.0	0.04	Complete Genome	GCA_001623585.1	USDA-ARS-USMARC-1728
GCF_001953015.1	Salmonella enterica	Salmonella	1	4710704	4710704	100.0	0.04	Complete Genome	GCA_001953015.1	ATCC BAA-1738;CFSAN000738
GCF_001975305.1	Salmonella enterica	Salmonella	1	4849139	4849139	100.0	0.07	Complete Genome	GCA_001975305.1	SA20113257
GCF_003130605.1	Salmonella enterica	Salmonella	1	4694373	4694373	100.0	0.21	Complete Genome	GCA_003130605.1	CFSAN051296
GCF_003548335.1	Salmonella enterica	Salmonella	1	4784321	4784321	100.0	0.04	Contig	GCA_003548335.1	2014LSAL03410
GCF_003641265.1	Salmonella enterica	Salmonella	1	4985863	4985863	100.0	0.33	Complete Genome	GCA_003641265.1	10TTU468x
GCF_003718095.1	Salmonella enterica	Salmonella	1	4782083	4782083	100.0	0.04	Complete Genome	GCA_003718095.1	311189_269186
GCF_003718175.1	Salmonella enterica	Salmonella	1	4808675	4808675	100.0	0.04	Complete Genome	GCA_003718175.1	311189_255186
GCF_003718515.1	Salmonella enterica	Salmonella	1	4800586	4800586	100.0	0.04	Complete Genome	GCA_003718515.1	343077_292148
GCF_006165185.1	Salmonella enterica	Salmonella	1	4794633	4794633	100.0	0.04	Complete Genome	GCA_006165185.1	USDA-ARS-USMARC-76333
GCF_011466595.1	Salmonella enterica	Salmonella	1	4673793	4673793	100.0	0.04	Complete Genome	GCA_011466595.1	Sal-4295
GCF_013161625.1	Salmonella enterica	Salmonella	1	4888815	4888815	100.0	0.24	Complete Genome	GCA_013161625.1	2011K-1440
GCF_014334155.1	Salmonella enterica	Salmonella	1	4857466	4857466	100.0	0.04	Complete Genome	GCA_014334155.1	LT2
GCF_015052745.1	Salmonella enterica	Salmonella	1	4899433	4899433	100.0	0.04	Complete Genome	GCA_015052745.1	BBS1407
GCF_016454185.1	Salmonella enterica	Salmonella	1	4794742	4794742	100.0	0.12	Complete Genome	GCA_016454185.1	CVM 30176
GCF_016903075.1	Salmonella enterica	Salmonella	1	4859543	4859543	100.0	0.37	Complete Genome	GCA_016903075.1	Se29
GCA_900475965.1	Salmonella enterica	Salmonella	1	4791042	4791042	100.0	0.33	Complete Genome	GCA_900475965.1	NCTC5716
GCA_900477925.1	Salmonella enterica	Salmonella	1	4638063	4638063	100.0	0.13	Complete Genome	GCA_900477925.1	NCTC5778
GCF_000188955.2	Salmonella enterica	Salmonella	1	4694375	4694375	100.0	0.21	Complete Genome	GCA_000188955.5	507440-20
GCF_000271905.2	Salmonella enterica	Salmonella	1	4883715	4883715	100.0	0.04	Complete Genome	GCA_000271905.2	Levine 15
GCF_000272815.2	Salmonella enterica	Salmonella	1	4755838	4755838	100.0	0.04	Complete Genome	GCA_000272815.2	CVM N18486
GCF_000483715.2	Salmonella enterica	Salmonella	1	4712541	4712541	100.0	0.04	Complete Genome	GCA_000483715.2	WA_14882
GCF_000623135.1	Salmonella enterica	Salmonella	1	4685848	4685848	100.0	0.13	Complete Genome	GCA_000623135.2	EC20121180
GCF_001305815.1	Salmonella enterica	Salmonella	1	4708710	4708710	100.0	0.04	Complete Genome	GCA_001305815.1	RM1984
GCF_001975245.1	Salmonella enterica	Salmonella	1	4847468	4847468	100.0	0.26	Complete Genome	GCA_001975245.1	1422-74
GCF_001975325.1	Salmonella enterica	Salmonella	1	4801835	4801835	100.0	0.28	Complete Genome	GCA_001975325.1	ST350
GCF_001975365.1	Salmonella enterica	Salmonella	1	4668861	4668861	100.0	0.4	Complete Genome	GCA_001975365.1	S-1087
GCF_001975645.1	Salmonella enterica	Salmonella	1	4640929	4640929	100.0	0.04	Complete Genome	GCA_001975645.1	S-1850
GCF_003031855.1	Salmonella enterica	Salmonella	1	4840810	4840810	100.0	0.31	Complete Genome	GCA_003031855.1	PIR00537
GCF_003548395.1	Salmonella enterica	Salmonella	1	4780945	4780945	100.0	0.04	Contig	GCA_003548395.1	2014LSAL03404
GCF_003641325.1	Salmonella enterica	Salmonella	1	4985874	4985874	100.0	0.33	Complete Genome	GCA_003641325.1	11TTU1590
GCF_004194615.2	Salmonella enterica	Salmonella	1	4924354	4924354	100.0	0.38	Complete Genome	GCA_004194615.2	sg_wt8
GCF_004919205.1	Salmonella enterica	Salmonella	1	4996602	4996602	100.0	0.11	Complete Genome	GCA_004919205.1	PNCS014848
GCF_006165125.1	Salmonella enterica	Salmonella	1	4762730	4762730	100.0	0.04	Complete Genome	GCA_006165125.1	USDA-ARS-USMARC-76335
GCF_008369645.1	Salmonella enterica	Salmonella	1	4680730	4680830	100.0	0.13	Chromosome	GCA_008369645.1	K12SE001
GCF_900205265.1	Salmonella enterica	Salmonella	1	4795199	4795199	100.0	0.04	Complete Genome	GCA_900205265.1	lupe_GEN0059-sc-1979081
GCF_901457625.1	Salmonella enterica	Salmonella	1	4837118	4837118	100.0	1.39	Complete Genome	GCA_901457625.1	4316STDY6559672
GCF_000484195.3	Salmonella enterica	Salmonella	1	4797172	4797172	100.0	0.04	Complete Genome	GCA_000484195.3	460004 2-1
GCF_000487015.2	Salmonella enterica	Salmonella	1	4756014	4756014	100.0	0.04	Complete Genome	GCA_000487015.2	CFSAN001301;420
GCF_000940935.2	Salmonella enterica	Salmonella	1	4695514	4695514	100.0	0.06	Complete Genome	GCA_000940935.2	USDA-ARS-USMARC-1927
GCF_001890445.1	Salmonella enterica	Salmonella	1	4746969	4746969	100.0	0.18	Complete Genome	GCA_001890445.1	CFSAN003387;CFSAN003887
GCF_002094915.1	Salmonella enterica	Salmonella	1	4485506	4485606	100.0	0.04	Chromosome	GCA_002094915.1	2012K-0678
GCF_002777175.1	Salmonella enterica	Salmonella	1	4765719	4765719	100.0	0.06	Complete Genome	GCA_002777175.1	CFSAN050752;FDA957831-1-1
GCF_003429465.1	Salmonella enterica	Salmonella	1	4791341	4791341	100.0	0.04	Complete Genome	GCA_003429465.1	Ty21a
GCF_003710145.1	Salmonella enterica	Salmonella	1	4651134	4651134	100.0	0.04	Complete Genome	GCA_003710145.1	CFSAN076211
GCF_003717435.1	Salmonella enterica	Salmonella	1	4783092	4783092	100.0	0.04	Complete Genome	GCA_003717435.1	311189_208103
GCF_004564195.1	Salmonella enterica	Salmonella	1	4760321	4760321	100.0	0.04	Complete Genome	GCA_004564195.1	UFPRLABMOR1
GCF_005576575.1	Salmonella enterica	Salmonella	1	4619529	4619529	100.0	0.21	Complete Genome	GCA_005576575.1	FCC0123
GCF_009184685.1	Salmonella enterica	Salmonella	1	5000356	5000356	100.0	0.07	Complete Genome	GCA_009184685.1	PJM1
GCF_009729935.1	Salmonella enterica	Salmonella	1	4556079	4556079	100.0	0.07	Complete Genome	GCA_009729935.1	FDAARGOS_707
GCF_013114975.1	Salmonella enterica	Salmonella	1	4988969	4988969	100.0	0.13	Complete Genome	GCA_013114975.1	SCFS4
GCA_018986895.1	Salmonella enterica	Salmonella	1	4495821	4495821	100.0	0.04	Complete Genome	GCA_018986895.1	45157
GCF_000430165.1	Salmonella enterica	Salmonella	1	4822189	4822189	100.0	0.33	Complete Genome	GCA_000430165.1	08-1736
GCF_000487615.2	Salmonella enterica	Salmonella	1	4737447	4737447	100.0	0.33	Complete Genome	GCA_000487615.2	14;ATCC 6017
GCF_000623095.1	Salmonella enterica	Salmonella	1	4685848	4685848	100.0	0.13	Complete Genome	GCA_000623095.2	EC20121178
GCF_000623655.2	Salmonella enterica	Salmonella	1	4685847	4685847	100.0	0.13	Complete Genome	GCA_000623655.2	SA19970510
GCF_000698715.2	Salmonella enterica	Salmonella	1	4727567	4727567	100.0	0.04	Complete Genome	GCA_000698715.2	CFSAN000211
GCF_000748245.2	Salmonella enterica	Salmonella	1	4727570	4727570	100.0	0.04	Complete Genome	GCA_000748245.2	CFSAN000212
GCF_001185215.1	Salmonella enterica	Salmonella	1	4678365	4678365	100.0	0.04	Complete Genome	GCA_001185215.1	SEE1
GCF_001188125.2	Salmonella enterica	Salmonella	1	4751278	4751278	100.0	0.04	Complete Genome	GCA_001188125.2	FDAARGOS_54
GCF_003031835.1	Salmonella enterica	Salmonella	1	4698556	4698556	100.0	0.04	Complete Genome	GCA_003031835.1	FORC58
GCF_003717285.1	Salmonella enterica	Salmonella	1	4786194	4786194	100.0	0.04	Complete Genome	GCA_003717285.1	311189_211186
GCF_003718055.1	Salmonella enterica	Salmonella	1	4806999	4806999	100.0	0.04	Complete Genome	GCA_003718055.1	311189_291186
GCF_003718235.1	Salmonella enterica	Salmonella	1	4778368	4778368	100.0	0.04	Complete Genome	GCA_003718235.1	311189_232103
GCF_003718595.1	Salmonella enterica	Salmonella	1	4807245	4807245	100.0	0.04	Complete Genome	GCA_003718595.1	343077_278127
GCF_003864035.1	Salmonella enterica	Salmonella	1	4818442	4818442	100.0	0.04	Complete Genome	GCA_003864035.1	ATCC 8400
GCF_000486815.2	Salmonella enterica	Salmonella	1	4648879	4648879	100.0	0.04	Complete Genome	GCA_000486815.2	0250;CFSAN001285
GCF_000623195.2	Salmonella enterica	Salmonella	1	4679291	4679291	100.0	0.04	Complete Genome	GCA_000623195.2	EC20120005
GCF_000623315.1	Salmonella enterica	Salmonella	1	4711474	4711474	100.0	0.11	Complete Genome	GCA_000623315.1	EC20110359
GCF_000623615.2	Salmonella enterica	Salmonella	1	4685848	4685848	100.0	0.13	Complete Genome	GCA_000623615.2	SA19960848
GCF_000626235.1	Salmonella enterica	Salmonella	1	4709033	4709033	100.0	0.11	Complete Genome	GCA_000626235.1	EC20110221
GCF_000818115.1	Salmonella enterica	Salmonella	1	4612373	4612373	100.0	0.04	Complete Genome	GCA_000818115.1	CMCC 50503
GCF_002761015.1	Salmonella enterica	Salmonella	1	4699764	4699764	100.0	0.11	Complete Genome	GCA_002761015.1	81-1435
GCF_002761375.1	Salmonella enterica	Salmonella	1	4598213	4598213	100.0	0.21	Complete Genome	GCA_002761375.1	USDA-ARS-USMARC-1904
GCF_003073535.1	Salmonella enterica	Salmonella	1	4807052	4807052	100.0	0.04	Complete Genome	GCA_003073535.1	CFSAN047866
GCF_003073555.1	Salmonella enterica	Salmonella	1	4766139	4766139	100.0	0.07	Complete Genome	GCA_003073555.1	CFSAN045763
GCF_004941405.1	Salmonella enterica	Salmonella	1	4995830	4995830	100.0	0.11	Complete Genome	GCA_004941405.1	PNCS014875
GCF_005166225.1	Salmonella enterica	Salmonella	1	4634278	4634278	100.0	0.04	Complete Genome	GCA_005166225.1	FORC88
GCF_013358425.1	Salmonella enterica	Salmonella	1	4669238	4669238	100.0	0.45	Complete Genome	GCA_013358425.1	389598
GCF_016025395.1	Salmonella enterica	Salmonella	1	4885341	4885341	100.0	0.39	Complete Genome	GCA_016025395.1	R13.1544
GCF_000486365.2	Salmonella enterica	Salmonella	1	4690430	4690430	100.0	0.04	Complete Genome	GCA_000486365.2	CFSAN000736;ATCC 8391
GCF_000486445.2	Salmonella enterica	Salmonella	1	4817791	4817791	100.0	0.5	Complete Genome	GCA_000486445.2	ATCC 15791
GCF_000487575.2	Salmonella enterica	Salmonella	1	4706101	4706101	100.0	0.04	Complete Genome	GCA_000487575.2	ATCC BAA-1592
GCF_000487775.1	Salmonella enterica	Salmonella	1	4603849	4603849	100.0	0.06	Complete Genome	GCA_000487775.2	CFSAN001080
GCF_000624395.2	Salmonella enterica	Salmonella	1	4679418	4679418	100.0	0.04	Complete Genome	GCA_000624395.2	EC20120002
GCF_000750475.1	Salmonella enterica	Salmonella	1	4678914	4678914	100.0	0.04	Complete Genome	GCA_000750475.1	OLF-SE1-1019-1
GCF_000963535.2	Salmonella enterica	Salmonella	1	4731596	4731596	100.0	0.04	Complete Genome	GCA_000963535.2	USDA-ARS-USMARC-1175
GCF_001623545.2	Salmonella enterica	Salmonella	1	4836393	4836393	100.0	0.33	Complete Genome	GCA_001623545.2	USDA-ARS-USMARC-1677
GCF_001975555.1	Salmonella enterica	Salmonella	1	4690402	4690402	100.0	0.11	Complete Genome	GCA_001975555.1	S-1843
GCF_001975625.1	Salmonella enterica	Salmonella	1	4916040	4916040	100.0	0.4	Complete Genome	GCA_001975625.1	SA20092095
GCF_002119485.1	Salmonella enterica	Salmonella	1	4938076	4938076	100.0	0.07	Complete Genome	GCA_002119485.1	FORC_038
GCF_002761395.1	Salmonella enterica	Salmonella	1	4547966	4547966	100.0	0.21	Complete Genome	GCA_002761395.1	USDA-ARS-USMARC-1912
GCF_002900325.1	Salmonella enterica	Salmonella	1	4742945	4742945	100.0	0.04	Complete Genome	GCA_002900325.1	MFDS1004024
GCF_003718495.1	Salmonella enterica	Salmonella	1	4782235	4782235	100.0	0.04	Complete Genome	GCA_003718495.1	343078_201101
GCF_007431545.1	Salmonella enterica	Salmonella	1	4855239	4855239	100.0	0.61	Complete Genome	GCA_007431545.1	FORC098
GCF_009664795.1	Salmonella enterica	Salmonella	1	4703625	4703625	100.0	0.04	Complete Genome	GCA_009664795.1	AUSMDU00010528
GCF_009756475.1	Salmonella enterica	Salmonella	1	4996832	4996832	100.0	0.11	Complete Genome	GCA_009756475.1	PNCS014875
GCF_900478065.1	Salmonella enterica	Salmonella	1	5029670	5029670	100.0	0.33	Complete Genome	GCA_900478065.1	NCTC10080
GCF_901457615.1	Salmonella enterica	Salmonella	1	4839011	4839011	100.0	1.39	Complete Genome	GCA_901457615.1	4316STDY6559669
GCA_900475825.1	Salmonella enterica	Salmonella	1	4707477	4707477	100.0	0.04	Complete Genome	GCA_900475825.1	NCTC5740
GCF_000271885.2	Salmonella enterica	Salmonella	1	4841916	4841916	100.0	0.04	Complete Genome	GCA_000271885.2	Levine 1
GCF_000486725.2	Salmonella enterica	Salmonella	1	4580689	4580689	100.0	0.04	Complete Genome	GCA_000486725.2	ATCC 11511
GCF_000623375.1	Salmonella enterica	Salmonella	1	4682805	4682805	100.0	0.26	Complete Genome	GCA_000623375.1	EC20110356
GCF_000626275.2	Salmonella enterica	Salmonella	1	4712309	4712309	100.0	0.04	Complete Genome	GCA_000626275.2	EC20090641
GCF_000940895.2	Salmonella enterica	Salmonella	1	4667713	4667713	100.0	0.04	Complete Genome	GCA_000940895.2	CDC 06-0532
GCF_001623775.1	Salmonella enterica	Salmonella	1	4823793	4823793	100.0	0.04	Complete Genome	GCA_001623775.1	CDC 2009K-2059
GCF_002761415.1	Salmonella enterica	Salmonella	1	4773383	4773383	100.0	0.51	Complete Genome	GCA_002761415.1	CDC 07-0954
GCF_003054535.1	Salmonella enterica	Salmonella	1	4597370	4597370	100.0	0.24	Complete Genome	GCA_003054535.1	CDC 2009K-0792
GCF_003073595.1	Salmonella enterica	Salmonella	1	4694399	4694399	100.0	0.21	Complete Genome	GCA_003073595.1	CFSAN045764
GCF_003548295.1	Salmonella enterica	Salmonella	1	4781012	4781012	100.0	0.04	Contig	GCA_003548295.1	2014LSAL03416
GCF_003549275.1	Salmonella enterica	Salmonella	1	4778979	4778979	100.0	0.04	Contig	GCA_003549275.1	2015LSAL02588
GCF_003718155.1	Salmonella enterica	Salmonella	1	4800376	4800376	100.0	0.04	Complete Genome	GCA_003718155.1	311189_256186
GCF_004328765.1	Salmonella enterica	Salmonella	1	4662027	4662027	100.0	0.04	Complete Genome	GCA_004328765.1	USDA-ARS-USMARC-60983
GCF_006165245.1	Salmonella enterica	Salmonella	1	4763929	4763929	100.0	0.04	Complete Genome	GCA_006165245.1	USDA-ARS-USMARC-76339
GCF_009729895.1	Salmonella enterica	Salmonella	1	4611029	4611029	100.0	0.07	Complete Genome	GCA_009729895.1	FDAARGOS_710
GCF_015697765.1	Salmonella enterica	Salmonella	1	5059260	5059260	100.0	0.04	Complete Genome	GCA_015697765.1	S530
GCA_900478235.1	Salmonella enterica	Salmonella	1	4630342	4630342	100.0	0.04	Complete Genome	GCA_900478235.1	NCTC6703
GCF_000473275.1	Salmonella enterica	Salmonella	1	4707648	4707648	100.0	0.04	Complete Genome	GCA_000473275.1	RM6836
GCF_000624175.1	Salmonella enterica	Salmonella	1	4685848	4685848	100.0	0.13	Complete Genome	GCA_000624175.2	EC20121177
GCF_000940975.1	Salmonella enterica	Salmonella	1	4565462	4565462	100.0	0.21	Complete Genome	GCA_000940975.1	USDA-ARS-USMARC-1903
GCF_001104885.2	Salmonella enterica	Salmonella	1	4784041	4784041	100.0	0.04	Complete Genome	GCA_001104885.3	SGB90
GCF_001185245.1	Salmonella enterica	Salmonella	1	4677830	4677830	100.0	0.04	Complete Genome	GCA_001185245.1	SEE2
GCF_002211845.1	Salmonella enterica	Salmonella	1	4812886	4812886	100.0	0.25	Complete Genome	GCA_002211845.1	SA20041608
GCF_003548545.1	Salmonella enterica	Salmonella	1	4780847	4780847	100.0	0.04	Contig	GCA_003548545.1	2014LSAL03348
GCF_003549665.1	Salmonella enterica	Salmonella	1	4779561	4779561	100.0	0.04	Contig	GCA_003549665.1	2014LSAL03401
GCF_003641305.1	Salmonella enterica	Salmonella	1	4985867	4985867	100.0	0.33	Complete Genome	GCA_003641305.1	11TTU1615b
GCF_003717855.1	Salmonella enterica	Salmonella	1	4791108	4791108	100.0	0.04	Complete Genome	GCA_003717855.1	343076_269157
GCF_004136335.1	Salmonella enterica	Salmonella	1	4780894	4780894	100.0	0.04	Complete Genome	GCA_004136335.1	LXYSH
GCF_004354245.1	Salmonella enterica	Salmonella	1	4819673	4819673	100.0	0.09	Complete Genome	GCA_004354245.1	CFSAN087304
GCF_004354285.1	Salmonella enterica	Salmonella	1	4820913	4820913	100.0	0.07	Complete Genome	GCA_004354285.1	FSW0104
GCF_006165165.1	Salmonella enterica	Salmonella	1	4763930	4763930	100.0	0.04	Complete Genome	GCA_006165165.1	USDA-ARS-USMARC-76340
GCF_006165225.1	Salmonella enterica	Salmonella	1	4763925	4763925	100.0	0.04	Complete Genome	GCA_006165225.1	USDA-ARS-USMARC-76337
GCF_006969245.1	Salmonella enterica	Salmonella	1	5052222	5052222	100.0	0.43	Complete Genome	GCA_006969245.1	MAC15
GCF_011465815.1	Salmonella enterica	Salmonella	1	4813791	4813791	100.0	0.04	Complete Genome	GCA_011465815.1	Sal-2097
GCF_014840915.2	Salmonella enterica	Salmonella	1	5024881	5024881	100.0	0.43	Complete Genome	GCA_014840915.2	R16.0431
GCF_017094605.1	Salmonella enterica	Salmonella	1	4862477	4862477	100.0	0.04	Complete Genome	GCA_017094605.1	AB42049
GCF_000009505.1	Salmonella enterica	Salmonella	1	4685848	4685848	100.0	0.13	Complete Genome	GCA_000009505.1	P125109
GCF_000623455.2	Salmonella enterica	Salmonella	1	4685849	4685849	100.0	0.13	Complete Genome	GCA_000623455.2	SA19992322
GCF_000626195.1	Salmonella enterica	Salmonella	1	4711924	4711924	100.0	0.11	Complete Genome	GCA_000626195.1	EC20120008
GCF_000626375.1	Salmonella enterica	Salmonella	1	4679953	4679953	100.0	0.11	Complete Genome	GCA_000626375.1	EC20111095
GCF_000626695.2	Salmonella enterica	Salmonella	1	4685849	4685849	100.0	0.13	Complete Genome	GCA_000626695.2	EC20100325
GCF_001048035.2	Salmonella enterica	Salmonella	1	4758451	4758451	100.0	0.04	Complete Genome	GCA_001048035.2	ERL103914
GCF_001163025.2	Salmonella enterica	Salmonella	1	4843068	4843068	100.0	0.04	Complete Genome	GCA_001163025.2	H12ESR04734-001A
GCF_001454965.1	Salmonella enterica	Salmonella	1	4799793	4799793	100.0	0.04	Complete Genome	GCA_001454965.1	FORC_020
GCF_001620225.1	Salmonella enterica	Salmonella	1	4676958	4676958	100.0	0.04	Complete Genome	GCA_001620225.1	SAN082;USDA-ARS-USMARC-1676
GCF_001975515.1	Salmonella enterica	Salmonella	1	4532753	4532753	100.0	0.13	Complete Genome	GCA_001975515.1	ST278
GCF_002386165.1	Salmonella enterica	Salmonella	1	4588003	4588003	100.0	0.04	Complete Genome	GCA_002386165.1	FDAARGOS_368
GCF_002761355.1	Salmonella enterica	Salmonella	1	4587202	4587202	100.0	0.21	Complete Genome	GCA_002761355.1	USDA-ARS-USMARC-1901
GCF_002946375.1	Salmonella enterica	Salmonella	1	4846817	4846817	100.0	0.04	Complete Genome	GCA_002946375.1	2014LSAL01779
GCF_002952975.1	Salmonella enterica	Salmonella	1	4900326	4900326	100.0	0.33	Complete Genome	GCA_002952975.1	PU131
GCF_003177255.1	Salmonella enterica	Salmonella	1	5070296	5070296	100.0	0.15	Complete Genome	GCA_003177255.1	DA34837
GCF_003547975.1	Salmonella enterica	Salmonella	1	4783130	4783130	100.0	0.04	Contig	GCA_003547975.1	2014LSAL05213
GCF_003641285.1	Salmonella enterica	Salmonella	1	4588222	4588222	100.0	0.21	Complete Genome	GCA_003641285.1	11TTUC-046
GCF_004847625.1	Salmonella enterica	Salmonella	1	4726558	4726558	100.0	0.04	Complete Genome	GCA_004847625.1	CFSAN000963
GCF_006874805.1	Salmonella enterica	Salmonella	1	5031277	5031277	100.0	0.11	Complete Genome	GCA_006874805.1	USDA15WA-1
GCF_008244825.1	Salmonella enterica	Salmonella	1	4869252	4869252	100.0	0.04	Complete Genome	GCA_008244825.1	14028S
GCF_008244845.1	Salmonella enterica	Salmonella	1	4870263	4870263	100.0	0.04	Complete Genome	GCA_008244845.1	14028S
GCF_014521465.1	Salmonella enterica	Salmonella	1	4725087	4725087	100.0	0.45	Complete Genome	GCA_014521465.1	K_SA184
GCF_016864955.1	Salmonella enterica	Salmonella	1	4691273	4691273	100.0	0.07	Complete Genome	GCA_016864955.1	16-174478
GCF_900205295.1	Salmonella enterica	Salmonella	1	4618754	4618754	100.0	0.04	Complete Genome	GCA_900205295.1	E98_3139-sc-1927833
GCA_900477995.1	Salmonella enterica	Salmonella	1	4907449	4907449	100.0	0.29	Complete Genome	GCA_900477995.1	NCTC6480
GCA_900478195.1	Salmonella enterica	Salmonella	1	4732250	4732250	100.0	0.33	Complete Genome	GCA_900478195.1	NCTC9936
GCA_900478225.1	Salmonella enterica	Salmonella	1	4883767	4883767	100.0	0.07	Complete Genome	GCA_900478225.1	NCTC10310
GCF_000442415.1	Salmonella enterica	Salmonella	1	4915960	4915960	100.0	0.04	Complete Genome	GCA_000442415.1	USMARC-S3124.1
GCF_000486915.2	Salmonella enterica	Salmonella	1	4905181	4905181	100.0	0.15	Complete Genome	GCA_000486915.2	ATCC 51958
GCF_000623355.1	Salmonella enterica	Salmonella	1	4678418	4678418	100.0	0.04	Complete Genome	GCA_000623355.1	EC20110357
GCF_000626175.1	Salmonella enterica	Salmonella	1	4711160	4711160	100.0	0.11	Complete Genome	GCA_000626175.1	EC20110354
GCF_000750395.2	Salmonella enterica	Salmonella	1	4679127	4679127	100.0	0.04	Complete Genome	GCA_000750395.2	OLF-SE3;OLF-SE3-98983-4
GCF_000750495.1	Salmonella enterica	Salmonella	1	4677619	4677619	100.0	0.04	Complete Genome	GCA_000750495.1	OLF-SE6-00219-16
GCF_001104165.2	Salmonella enterica	Salmonella	1	4777711	4777711	100.0	0.04	Complete Genome	GCA_001104165.2	SGB89
GCF_001118185.2	Salmonella enterica	Salmonella	1	4781466	4781466	100.0	0.04	Complete Genome	GCA_001118185.2	H12ESR00394-001A
GCF_001305835.1	Salmonella enterica	Salmonella	1	4701355	4701355	100.0	0.04	Complete Genome	GCA_001305835.1	RM1986
GCF_001922165.1	Salmonella enterica	Salmonella	1	4846742	4846742	100.0	0.62	Complete Genome	GCA_001922165.1	0007-33
GCF_001941405.1	Salmonella enterica	Salmonella	1	4602439	4602439	100.0	0.13	Complete Genome	GCA_001941405.1	87
GCF_900476455.1	Streptococcus pneumoniae	Streptococcus	1	2145551	2145551	99.82	1.0	Complete Genome	GCA_900476455.1	4041STDY6836169
GCF_900618575.1	Streptococcus pneumoniae	Streptococcus	1	2038006	2038006	99.82	0.2	Complete Genome	GCA_900618575.1	180-2
GCF_000211015.1	Streptococcus pneumoniae	Streptococcus	1	2037254	2037254	99.82	0.2	Complete Genome	GCA_000211015.1	SNP034183
GCF_900636585.1	Streptococcus pneumoniae	Streptococcus	1	2115408	2115408	99.82	1.39	Complete Genome	GCA_900636585.1	NCTC12977
GCF_000211035.1	Streptococcus pneumoniae	Streptococcus	1	2026239	2026239	99.82	0.2	Complete Genome	GCA_000211035.2	SNP994038
GCF_003966505.1	Streptococcus pneumoniae	Streptococcus	1	2058492	2058492	99.82	0.2	Complete Genome	GCA_003966505.1	HU-OH
GCF_000211055.1	Streptococcus pneumoniae	Streptococcus	1	2026505	2026505	99.82	0.2	Complete Genome	GCA_000211055.2	SNP994039
GCF_000210955.1	Streptococcus pneumoniae	Streptococcus	1	2036867	2036867	99.82	0.2	Complete Genome	GCA_000210955.1	OXC141
