q_acc	r_acc	skani_ani	skani_af_min	band	phylum
GCF_001269905.1	GCF_014268745.2	87.00	40.43	85-90	Proteobacteria
GCA_902597545.1	GCA_902535165.1	92.69	66.59	90-95	Bacteroidota
GCF_900115695.1	GCF_009932725.1	89.25	49.61	85-90	Proteobacteria
GCF_004801935.1	GCF_900105805.1	92.54	75.58	90-95	Proteobacteria
GCA_900547505.1	GCA_900546115.1	93.50	58.73	90-95	Actinobacteriota
GCA_903879995.1	GCA_014190475.1	87.33	24.76	85-90	Bacteroidota
GCA_002699725.1	GCA_002329075.1	87.39	45.96	85-90	Actinobacteriota
GCF_900536025.1	GCF_001636055.1	85.50	28.29	85-90	Proteobacteria
GCF_018882055.1	GCF_013307205.1	82.77	17.29	80-85	Proteobacteria
GCF_002929705.1	GCF_001445575.1	92.34	66.78	90-95	Actinobacteriota
GCA_001899855.1	GCA_016707485.1	93.69	71.51	90-95	Proteobacteria
GCF_003217615.1	GCF_001424705.1	92.26	74.79	90-95	Proteobacteria
GCF_004795895.1	GCF_001984035.1	83.76	18.55	80-85	Proteobacteria
GCA_000435615.1	GCA_900754805.1	93.26	25.36	90-95	Firmicutes_A
GCF_000764325.1	GCF_009763805.1	95.12	75.35	95-100	Proteobacteria
GCF_007830635.1	GCF_018130245.1	89.78	44.04	85-90	Proteobacteria
GCF_002287175.1	GCA_002509665.1	88.84	31.10	85-90	Methanobacteriota
GCA_002172535.2	GCA_902628925.1	92.28	67.16	90-95	Proteobacteria
GCF_012396235.1	GCF_900105905.1	90.99	48.92	90-95	Actinobacteriota
GCF_015751785.1	GCF_900091435.1	84.01	15.80	80-85	Actinobacteriota
GCF_017876545.1	GCF_014897705.1	82.66	15.04	80-85	Actinobacteriota
GCA_004017535.1	GCF_002294725.1	89.76	53.41	85-90	Proteobacteria
GCA_902623995.1	GCA_902618025.1	90.01	39.26	90-95	Proteobacteria
GCF_001691555.1	GCF_007833795.1	83.58	18.46	80-85	Proteobacteria
GCA_003023405.1	GCF_900111935.1	86.03	22.86	85-90	Halobacteriota
GCF_000344295.2	GCF_000313615.1	92.18	64.22	90-95	Campylobacterota
GCA_013378385.1	GCA_002495905.1	83.57	19.48	80-85	Thermoproteota
GCF_003113895.1	GCA_003326195.1	87.00	25.19	85-90	Cyanobacteria
GCF_012275575.1	GCF_002278075.1	86.75	24.69	85-90	Proteobacteria
GCF_003862475.1	GCA_000209465.1	86.59	29.82	85-90	Firmicutes_A
GCF_902983995.1	GCF_000468115.1	91.50	48.08	90-95	Spirochaetota
GCF_018613995.1	GCF_003367705.1	87.03	23.25	85-90	Actinobacteriota
GCF_900105675.1	GCF_000503215.1	87.51	40.97	85-90	Proteobacteria
GCF_003664255.1	GCF_014201145.1	84.53	15.41	80-85	Actinobacteriota
GCF_000722775.1	GCF_001113365.1	93.02	57.22	90-95	Firmicutes
GCA_014239275.1	GCA_902511755.1	90.01	54.08	90-95	Bacteroidota
GCA_902577765.1	GCA_902526005.1	93.54	63.46	90-95	Proteobacteria
GCF_000714435.1	GCF_018618415.1	85.06	31.14	85-90	Firmicutes
GCA_902603305.1	GCA_902543405.1	91.50	33.72	90-95	Proteobacteria
GCF_005222755.1	GCF_012927745.1	83.27	17.71	80-85	Proteobacteria
GCF_009707515.1	GCF_008369295.1	86.25	31.85	85-90	Proteobacteria
GCF_002813775.1	GCA_903828115.1	93.76	48.27	90-95	Proteobacteria
GCF_004353905.1	GCF_000685075.1	85.00	15.33	85-90	Proteobacteria
GCF_000378305.1	GCF_000376845.1	84.27	20.36	80-85	Proteobacteria
GCF_018861145.1	GCA_002685075.1	89.56	44.34	85-90	Campylobacterota
GCF_900104795.1	GCF_000472525.1	85.01	17.38	85-90	Proteobacteria
GCF_001429185.1	GCF_001428505.1	90.83	64.10	90-95	Actinobacteriota
GCF_001445655.1	GCF_017876625.1	85.05	15.20	85-90	Actinobacteriota
GCF_003363755.1	GCF_018325905.1	83.75	15.57	80-85	Proteobacteria
GCF_002911015.1	GCF_012273535.1	85.81	16.23	85-90	Actinobacteriota
GCF_002959915.1	GCF_002959895.1	85.55	16.71	85-90	Firmicutes_C
GCA_002706335.1	GCA_002698425.1	88.75	46.20	85-90	Proteobacteria
GCF_003122365.1	GCF_003097515.1	92.09	52.68	90-95	Actinobacteriota
GCA_902630555.1	GCA_902615995.1	92.08	35.72	90-95	Proteobacteria
GCF_003007715.1	GCA_014859525.1	83.60	15.66	80-85	Proteobacteria
GCF_015207875.1	GCF_001277295.1	93.26	48.46	90-95	Cyanobacteria
GCF_014207255.1	GCF_003945765.1	83.75	16.70	80-85	Proteobacteria
GCF_900580675.1	GCF_003999415.1	84.00	16.00	80-85	Proteobacteria
GCF_002287825.1	GCF_001679645.1	88.00	44.87	85-90	Proteobacteria
GCF_003942765.1	GCF_002096355.1	86.75	35.66	85-90	Firmicutes
GCA_900320325.1	GCA_902789735.1	93.04	57.40	90-95	Firmicutes_A
GCF_007829855.1	GCA_000720535.1	86.33	24.48	85-90	Actinobacteriota
GCA_017434085.1	GCA_902790525.1	92.89	44.55	90-95	Firmicutes_A
GCF_001282115.1	GCF_014257025.1	86.25	21.03	85-90	Actinobacteriota
GCF_002205635.1	GCF_000756385.1	83.12	15.49	80-85	Proteobacteria
GCA_902584015.1	GCA_902560565.1	90.01	38.32	90-95	Proteobacteria
GCF_013177735.1	GCF_013409255.1	86.00	19.41	85-90	Proteobacteria
GCF_003732225.1	GCF_014863605.1	84.75	22.38	80-85	Proteobacteria
GCF_000425065.1	GCF_014648495.1	90.41	49.76	90-95	Actinobacteriota
GCA_011390235.1	GCA_011390695.1	94.17	37.07	90-95	Desulfobacterota
GCA_009726125.1	GCA_007280395.1	91.93	63.72	90-95	Actinobacteriota
GCF_001642705.1	GCF_000708715.2	90.34	57.15	90-95	Proteobacteria
GCF_007827955.1	GCF_007828045.1	89.02	46.05	85-90	Proteobacteria
GCF_900115245.1	GCA_000824785.1	88.75	42.78	85-90	Proteobacteria
GCF_003939025.1	GCF_003985125.1	92.01	70.64	90-95	Proteobacteria
GCA_902636075.1	GCA_902594335.1	90.75	59.29	90-95	Proteobacteria
GCF_018614975.1	GCF_013359905.1	84.00	17.73	80-85	Firmicutes
GCF_003034915.1	GCF_003952485.1	84.00	17.49	80-85	Proteobacteria
GCF_001676705.1	GCF_001704295.1	84.04	21.15	80-85	Proteobacteria
GCA_902620425.1	GCA_902615745.1	94.00	70.39	90-95	Proteobacteria
GCF_000479005.1	GCF_000177075.1	93.15	65.17	90-95	Bacteroidota
GCA_003280885.1	GCA_902535025.1	90.02	44.14	90-95	Cyanobacteria
GCA_903906135.1	GCA_903856725.1	88.93	57.31	85-90	Verrucomicrobiota
GCA_003279605.1	GCA_902563105.1	83.25	17.43	80-85	Proteobacteria
GCF_012641395.1	GCF_900099775.1	83.50	17.72	80-85	Proteobacteria
GCF_002754615.1	GCF_001905465.1	88.52	33.56	85-90	Actinobacteriota
GCF_001458395.1	GCF_000473325.1	91.53	64.79	90-95	Proteobacteria
GCF_015845845.1	GCF_013266915.1	93.86	68.96	90-95	Firmicutes
GCF_014982725.1	GCA_019116265.1	89.26	40.03	85-90	Actinobacteriota
GCF_000716605.1	GCF_015163075.1	84.75	18.77	80-85	Actinobacteriota
GCA_910587705.1	GCA_910579435.1	88.27	35.92	85-90	Firmicutes_A
GCF_003367505.1	GCF_000772935.1	94.87	82.90	90-95	Firmicutes
GCF_001028665.1	GCF_000959445.1	89.52	41.70	85-90	Proteobacteria
GCF_000993825.1	GCF_000756615.1	91.97	63.67	90-95	Firmicutes
GCA_013817135.1	GCA_902500695.1	92.75	44.14	90-95	Nitrospirota
GCA_015066625.1	GCA_017548045.1	88.68	55.54	85-90	Firmicutes_A
GCF_016458235.1	GCF_000175115.2	84.69	24.88	80-85	Desulfobacterota
GCF_009709675.1	GCF_003710805.1	83.53	16.22	80-85	Actinobacteriota
GCF_000369645.1	GCF_000368585.1	83.30	15.13	80-85	Proteobacteria
GCF_001687475.2	GCA_014305285.1	83.49	28.25	80-85	Campylobacterota
GCF_001530125.1	GCA_002403375.1	83.15	15.26	80-85	Proteobacteria
GCF_900221025.1	GCF_000821045.2	92.77	71.91	90-95	Proteobacteria
GCF_002797895.1	GCF_000632025.1	94.59	81.29	90-95	Proteobacteria
GCF_900094805.1	GCF_001302565.1	83.63	22.75	80-85	Actinobacteriota
GCA_900551615.1	GCA_900753165.1	87.15	20.91	85-90	Firmicutes_A
GCF_013409135.1	GCF_000661915.1	90.36	63.07	90-95	Proteobacteria
GCF_013267835.1	GCF_003351665.1	94.87	81.47	90-95	Proteobacteria
GCF_006440675.1	GCA_000824825.2	86.77	32.51	85-90	Proteobacteria
GCF_006274605.1	GCF_002214545.1	83.60	19.58	80-85	Methanobacteriota_B
GCF_002284535.1	GCA_014189435.1	84.28	15.62	80-85	Proteobacteria
GCA_905233935.1	GCA_902792835.1	90.62	41.44	90-95	Bacteroidota
GCF_004571025.1	GCF_018131015.1	87.53	29.21	85-90	Proteobacteria
GCF_001654915.1	GCF_001654865.1	86.26	34.28	85-90	Proteobacteria
GCA_900547285.1	GCA_900759435.1	92.75	54.48	90-95	Actinobacteriota
GCF_007858795.1	GCF_001557875.1	94.06	77.32	90-95	Proteobacteria
GCF_013030985.1	GCF_900172215.1	82.23	16.14	80-85	Proteobacteria
GCA_009925905.1	GCA_016463555.1	86.07	21.14	85-90	Chloroflexota
GCF_900109935.1	GCF_000333355.1	86.82	30.00	85-90	Bacteroidota
GCF_001906585.1	GCF_017526105.1	85.00	15.81	85-90	Actinobacteriota
GCA_001799285.1	GCA_002347095.1	83.41	15.46	80-85	Desulfobacterota
GCF_015561235.1	GCF_000253155.1	92.75	68.20	90-95	Firmicutes
GCF_013032455.1	GCF_013031355.1	84.01	23.70	80-85	Proteobacteria
GCF_900187385.1	GCF_009811595.1	89.75	41.29	85-90	Actinobacteriota
GCF_001905445.1	GCA_001298555.1	87.00	22.84	85-90	Actinobacteriota
GCF_015561235.1	GCF_000187465.1	83.25	17.08	80-85	Firmicutes
GCF_002205675.1	GCF_000803645.1	84.05	17.91	80-85	Proteobacteria
GCF_003315515.1	GCF_003115845.1	85.25	27.67	85-90	Proteobacteria
GCF_001514145.1	GCF_018128905.1	91.26	51.27	90-95	Actinobacteriota
GCA_017455665.1	GCA_016285335.1	87.00	28.41	85-90	Verrucomicrobiota
GCF_001179985.1	GCA_902614905.1	92.03	49.42	90-95	Proteobacteria
GCF_902859805.1	GCF_000739735.1	86.26	23.75	85-90	Proteobacteria
GCA_009887135.1	GCA_002171315.2	84.93	19.11	80-85	Thermoplasmatota
GCF_012034205.1	GCF_000931445.1	84.77	15.59	80-85	Actinobacteriota
GCA_003280995.1	GCA_000634415.1	94.00	54.45	90-95	Cyanobacteria
GCF_000745675.1	GCF_014216315.1	84.76	17.67	80-85	Actinobacteriota
GCA_009698745.1	GCA_009701105.1	84.75	23.40	80-85	Actinobacteriota
GCF_004364215.1	GCF_000411315.1	84.75	17.60	80-85	Actinobacteriota
GCA_900321965.1	GCA_902800495.1	94.32	51.25	90-95	Bacteroidota
GCF_003732265.1	GCF_000282315.2	88.25	46.15	85-90	Proteobacteria
GCA_900556205.1	GCA_905216145.1	94.50	54.00	90-95	Actinobacteriota
GCF_002246015.1	GCA_017115105.1	87.28	26.65	85-90	Cyanobacteria
GCF_900090295.1	GCF_900091515.1	88.75	40.42	85-90	Actinobacteriota
GCF_006658505.1	GCF_001854785.1	83.12	15.41	80-85	Proteobacteria
GCA_900540095.1	GCA_905215195.1	94.50	69.29	90-95	Actinobacteriota
GCF_001575205.1	GCF_900631615.1	85.51	34.35	85-90	Actinobacteriota
GCF_018688375.1	GCF_018688255.1	84.04	26.44	80-85	Proteobacteria
GCF_013408525.1	GCF_006494775.1	84.14	15.70	80-85	Actinobacteriota
GCF_000931445.1	GCA_014656175.1	84.79	17.84	80-85	Actinobacteriota
GCA_905235775.1	GCA_902798975.1	85.78	20.67	85-90	Bacteroidota
GCF_000235745.1	GCA_002387205.1	83.06	18.25	80-85	Proteobacteria
GCA_007845355.1	GCA_015257705.1	93.76	53.50	90-95	Patescibacteria
GCA_002299885.1	GCA_903933765.1	89.75	50.42	85-90	Bacteroidota
GCA_017646005.1	GCA_017411885.1	88.29	25.04	85-90	Firmicutes_A
GCF_002113025.1	GCF_003352875.1	86.00	29.87	85-90	Proteobacteria
GCF_004217535.1	GCF_900091425.1	84.01	15.48	80-85	Actinobacteriota
GCF_002210345.1	GCF_000146505.1	89.40	37.05	85-90	Fibrobacterota
GCA_902616205.1	GCA_902592445.1	92.11	47.08	90-95	Proteobacteria
GCF_001667585.1	GCF_010731595.1	88.81	57.80	85-90	Actinobacteriota
GCA_016297215.1	GCA_900768725.1	92.43	39.96	90-95	Bacteroidota
GCF_003264365.1	GCF_014201145.1	90.33	55.10	90-95	Actinobacteriota
GCF_001573155.1	GCA_002364215.1	91.30	57.59	90-95	Bacteroidota
GCF_002154605.1	GCF_001704635.1	89.66	31.72	85-90	Actinobacteriota
GCF_009831215.1	GCF_000381885.1	84.80	19.58	80-85	Actinobacteriota
GCF_900176865.1	GCA_014490595.1	85.51	26.24	85-90	Actinobacteriota
GCA_900544095.1	GCA_900541645.1	94.25	74.31	90-95	Actinobacteriota
GCA_900078365.1	GCA_017745175.1	86.03	26.94	85-90	Proteobacteria
GCF_900105615.1	GCA_902363835.1	84.85	27.85	80-85	Firmicutes_A
GCF_013359905.1	GCF_900109515.1	93.61	67.33	90-95	Firmicutes
GCF_002803515.1	GCF_013387485.1	84.00	18.90	80-85	Proteobacteria
GCF_016625195.1	GCF_000175935.2	83.01	16.06	80-85	Proteobacteria
GCF_001905385.1	GCF_002005225.1	90.59	48.27	90-95	Actinobacteriota
GCF_003063455.1	GCF_003063665.1	85.51	30.81	85-90	Proteobacteria
GCF_008245005.1	GCF_002220775.1	94.67	82.72	90-95	Campylobacterota
GCA_003280575.1	GCA_000634515.1	91.25	68.56	90-95	Cyanobacteria
GCF_009795715.1	GCA_016936255.1	93.43	69.17	90-95	Bacteroidota
GCF_001514285.1	GCF_900105755.1	84.26	15.61	80-85	Actinobacteriota
GCA_902592345.1	GCA_902512325.1	87.77	41.87	85-90	Proteobacteria
GCF_900324475.1	GCF_001729765.1	91.08	70.74	90-95	Proteobacteria
GCF_000507145.1	GCA_000332645.1	92.60	71.53	90-95	Firmicutes
GCF_000717915.1	GCF_018614155.1	88.52	31.86	85-90	Actinobacteriota
GCF_002291145.1	GCF_001184025.1	84.50	15.63	80-85	Actinobacteriota
GCF_002906155.1	GCF_900156465.1	83.50	15.25	80-85	Proteobacteria
GCF_002086795.1	GCF_000230895.2	84.18	26.60	80-85	Actinobacteriota
GCA_009930355.1	GCF_000265295.1	88.30	26.93	85-90	Campylobacterota
GCF_014251815.1	GCF_003573915.1	86.51	56.47	85-90	Bacteroidota
GCF_001578705.1	GCF_001281025.1	86.77	38.22	85-90	Firmicutes
GCF_014844075.1	GCF_001514495.1	91.60	65.33	90-95	Firmicutes
GCA_012960225.1	GCA_002311875.1	83.06	21.43	80-85	Gemmatimonadota
GCA_017592775.1	GCA_016788495.1	90.75	39.24	90-95	Proteobacteria
GCF_018882285.1	GCF_018687615.1	93.00	77.74	90-95	Proteobacteria
GCA_003599795.1	GCA_001805105.1	87.00	22.07	85-90	Nitrospirota
GCF_007667275.1	GCA_002363385.1	85.27	26.98	85-90	Proteobacteria
GCF_004349245.1	GCF_014648675.1	94.19	71.80	90-95	Actinobacteriota
GCA_900556705.1	GCA_014846205.1	89.79	30.44	85-90	Actinobacteriota
GCF_004341085.1	GCF_003053745.1	89.79	41.07	85-90	Proteobacteria
GCF_009650765.1	GCF_000802245.2	84.14	16.10	80-85	Actinobacteriota
GCA_017477245.1	GCA_902790635.1	83.67	19.35	80-85	Bacteroidota
GCF_008830365.1	GCF_000738675.1	84.54	28.47	80-85	Proteobacteria
GCA_902561095.1	GCA_902539165.1	85.52	28.96	85-90	Proteobacteria
GCF_002954665.1	GCF_900105145.1	83.32	18.91	80-85	Bacteroidota
GCA_902595285.1	GCA_902571425.1	89.26	40.76	85-90	Proteobacteria
GCF_018502625.1	GCF_000293885.2	93.83	69.33	90-95	Proteobacteria
GCF_003206615.1	GCF_001937195.1	83.59	21.23	80-85	Proteobacteria
GCF_015461835.1	GCF_902497745.1	92.28	73.22	90-95	Proteobacteria
GCF_000732605.1	GCA_002429965.1	88.08	43.06	85-90	Firmicutes_A
GCF_008329565.1	GCF_002723835.1	83.35	20.17	80-85	Actinobacteriota
GCF_001423615.1	GCF_001423485.1	93.06	73.95	90-95	Actinobacteriota
GCA_905612525.1	GCA_905612495.1	87.02	30.31	85-90	Proteobacteria
GCF_013433315.1	GCF_900582195.1	92.52	71.95	90-95	Proteobacteria
GCF_002742685.1	GCF_002197485.1	88.62	51.10	85-90	Firmicutes
GCA_902590535.1	GCA_902556065.1	84.52	23.33	80-85	Proteobacteria
GCA_003213015.1	GCA_902591755.1	91.00	66.36	90-95	Proteobacteria
GCA_013138705.1	GCA_003194495.1	92.02	19.13	90-95	Desulfobacterota
GCF_008923725.1	GCF_002119445.1	91.03	54.63	90-95	Firmicutes
GCF_009759665.1	GCF_008123965.1	87.50	34.73	85-90	Proteobacteria
GCF_900099615.1	GCF_000181875.2	91.64	70.26	90-95	Spirochaetota
GCF_013205055.1	GCF_900177245.1	85.52	23.63	85-90	Actinobacteriota
GCA_004962245.1	GCF_003148495.1	84.75	20.44	80-85	Proteobacteria
GCA_009728235.1	GCF_002927275.1	82.76	15.34	80-85	Actinobacteriota
GCF_902506375.1	GCF_000956505.1	84.94	25.59	80-85	Actinobacteriota
GCF_007827695.1	GCA_000421085.1	86.51	38.02	85-90	Proteobacteria
GCA_003671255.1	GCA_903960945.1	88.13	41.59	85-90	Planctomycetota
GCA_902592715.1	GCA_902567045.1	90.27	53.43	90-95	Proteobacteria
GCF_004791585.1	GCA_017306585.1	83.75	15.12	80-85	Proteobacteria
GCF_003946275.1	GCF_003950295.1	93.69	70.37	90-95	Firmicutes
GCF_003385395.1	GCA_002345565.1	89.13	30.51	85-90	Bacteroidota
GCA_903938205.1	GCA_903898755.1	94.53	74.43	90-95	Planctomycetota
GCA_900319975.1	GCA_017477245.1	85.03	16.88	85-90	Bacteroidota
GCA_905182865.1	GCA_902513935.1	91.89	33.19	90-95	SAR324
GCA_017651345.1	GCA_017394445.1	93.71	53.19	90-95	Bacteroidota
GCF_001952855.1	GCF_002091715.1	84.02	15.63	80-85	Proteobacteria
GCF_005081705.1	GCF_001700895.1	82.77	17.44	80-85	Proteobacteria
GCF_002836735.1	GCA_000586435.1	94.59	77.79	90-95	Proteobacteria
GCF_011801125.1	GCF_001613425.1	89.22	50.19	85-90	Actinobacteriota
GCF_000744285.1	GCF_000744115.1	87.34	38.17	85-90	Firmicutes
GCA_018262195.1	GCA_013335535.1	83.14	16.95	80-85	Proteobacteria
GCF_013141915.1	GCF_001598055.1	92.00	62.07	90-95	Proteobacteria
GCF_006715395.1	GCF_001513975.1	85.25	21.12	85-90	Actinobacteriota
GCA_900541585.1	GCF_900107675.1	85.53	25.41	85-90	Bacteroidota
GCA_017887095.1	GCA_019116405.1	87.77	25.89	85-90	Firmicutes_A
GCF_013372105.1	GCF_001017575.1	89.35	62.94	85-90	Campylobacterota
GCA_004553095.1	GCA_900766975.1	91.36	55.73	90-95	Bacteroidota
GCF_001665295.1	GCF_000455205.1	90.09	57.09	90-95	Actinobacteriota
GCF_003626515.1	GCF_000279535.1	83.25	15.08	80-85	Firmicutes
GCA_003281415.1	GCF_002026015.1	91.75	59.72	90-95	Cyanobacteria
GCA_003281505.1	GCA_902571335.1	93.01	73.50	90-95	Cyanobacteria
GCA_902618485.1	GCA_902538745.1	94.03	59.80	90-95	Proteobacteria
GCF_003293635.1	GCA_900758465.1	91.03	52.41	90-95	Firmicutes_A
GCA_900544725.1	GCF_003438495.1	92.25	63.33	90-95	Actinobacteriota
GCF_000278255.1	GCF_002022505.1	92.69	70.76	90-95	Proteobacteria
GCA_017626655.1	GCA_017420845.1	90.72	18.24	90-95	Firmicutes_A
GCF_002939785.1	GCF_004136375.1	85.75	28.74	85-90	Proteobacteria
GCA_900544195.1	GCA_002314195.1	83.72	15.43	80-85	Bacteroidota
GCA_009835395.1	GCA_009840735.1	84.90	20.91	80-85	Actinobacteriota
GCF_002113125.1	GCF_001297015.1	88.00	46.60	85-90	Proteobacteria
GCF_001270495.1	GCF_000720765.1	85.50	21.10	85-90	Actinobacteriota
GCF_005048155.1	GCF_016917755.1	84.81	15.14	80-85	Actinobacteriota
GCF_014202475.1	GCF_014650055.1	85.51	21.95	85-90	Actinobacteriota
GCF_004125265.1	GCF_900187385.1	94.73	63.33	90-95	Actinobacteriota
GCA_001510295.1	GCA_902552015.1	84.04	20.37	80-85	Thermoproteota
GCF_000259505.1	GCA_905221115.1	89.51	46.28	85-90	Firmicutes
GCF_002005445.1	GCF_000193495.2	85.51	34.96	85-90	Proteobacteria
GCA_003243195.1	GCF_001476895.1	84.51	22.98	80-85	Proteobacteria
GCF_002835675.1	GCF_018613325.1	94.41	71.05	90-95	Firmicutes
GCF_002179635.1	GCF_008245045.1	83.78	29.99	80-85	Campylobacterota
GCF_001466965.1	GCF_017165745.1	83.11	15.84	80-85	Proteobacteria
GCF_001550375.1	GCF_000091305.1	90.58	46.36	90-95	Actinobacteriota
GCF_900104225.1	GCF_000154985.1	90.51	57.86	90-95	Firmicutes
GCA_905369855.1	GCA_905221335.1	88.00	32.88	85-90	Firmicutes
GCA_900315715.1	GCA_902761345.1	84.95	24.81	80-85	Firmicutes_A
GCF_000411455.1	GCF_003293595.1	91.08	65.28	90-95	Actinobacteriota
GCF_009496285.1	GCF_018448765.1	83.25	15.68	80-85	Firmicutes
GCA_003210735.1	GCA_003211235.1	94.45	42.93	90-95	Cyanobacteria
GCF_009497775.1	GCF_002443155.1	93.64	79.81	90-95	Proteobacteria
GCF_003994255.1	GCF_002407185.1	82.96	15.34	80-85	Actinobacteriota
GCA_003209425.1	GCA_902574405.1	89.85	34.41	85-90	Cyanobacteria
GCF_001667185.1	GCA_002102225.1	91.84	70.21	90-95	Actinobacteriota
GCA_015056255.1	GCA_016296675.1	84.71	17.07	80-85	Firmicutes_A
GCA_003215695.1	GCA_003279655.1	88.33	28.65	85-90	Cyanobacteria
GCA_017521365.1	GCA_017410325.1	92.10	57.31	90-95	Firmicutes_A
GCA_900548795.1	GCA_900546415.1	91.70	49.38	90-95	Firmicutes_A
GCA_900550375.1	GCF_006542665.1	87.58	28.44	85-90	Bacteroidota
GCF_006494375.1	GCF_003236715.1	87.78	52.10	85-90	Proteobacteria
GCF_001936595.1	GCF_004135975.1	84.12	19.00	80-85	Desulfobacterota_I
GCA_017554285.1	GCA_017549815.1	88.86	25.52	85-90	Firmicutes_C
GCA_015522625.1	GCA_015523575.1	91.41	51.84	90-95	Thermoproteota
GCA_900547225.1	GCA_900772415.1	88.97	27.41	85-90	Firmicutes
GCF_000993825.1	GCF_000520715.1	94.27	64.02	90-95	Firmicutes
GCA_016869435.1	GCF_015709525.1	84.50	20.08	80-85	Proteobacteria
GCF_000426345.1	GCA_001725945.1	84.77	17.70	80-85	Proteobacteria
GCF_012974865.1	GCA_018401815.1	85.27	26.59	85-90	Bacteroidota
GCF_018614135.1	GCF_008642295.1	84.86	15.49	80-85	Actinobacteriota
GCF_004216615.1	GCF_003019815.1	90.02	50.28	90-95	Proteobacteria
GCA_900547285.1	GCF_003458415.1	94.29	68.06	90-95	Actinobacteriota
GCF_001953985.1	GCF_010731675.1	86.80	45.61	85-90	Actinobacteriota
GCA_902599485.1	GCA_902595465.1	93.25	43.08	90-95	Proteobacteria
GCF_015354405.1	GCF_000523235.1	84.51	19.52	80-85	Actinobacteriota
GCA_018712245.1	GCA_018713205.1	85.06	17.64	85-90	Firmicutes_A
GCA_017617475.1	GCA_905235535.1	83.74	17.67	80-85	Bacteroidota
GCF_002909485.1	GCF_000935215.1	88.77	51.17	85-90	Proteobacteria
GCA_015491865.1	GCA_011053135.1	93.33	70.16	90-95	Proteobacteria
GCF_009795715.1	GCF_002843385.1	94.86	73.36	90-95	Bacteroidota
GCF_001642795.1	GCF_001401155.1	83.57	20.83	80-85	Proteobacteria
GCA_002696995.1	GCA_002457315.1	84.98	27.61	80-85	Bacteroidota
GCF_016858305.2	GCF_002814075.1	87.42	34.96	85-90	Bacteroidota
GCF_002237655.1	GCA_013362785.1	85.51	15.55	85-90	Actinobacteriota
GCF_010634855.1	GCF_001422925.1	84.89	22.72	80-85	Actinobacteriota
GCA_902552755.1	GCA_902537555.1	87.27	31.08	85-90	Proteobacteria
GCA_902588895.1	GCA_902555535.1	89.26	35.84	85-90	Proteobacteria
GCF_001654925.1	GCF_000735355.1	87.75	46.59	85-90	Proteobacteria
GCA_905182725.1	GCA_905182715.1	91.61	66.45	90-95	Thermoplasmatota
GCA_900554255.1	GCA_900541035.1	94.50	57.16	90-95	Actinobacteriota
GCF_001440405.1	GCF_018398895.1	89.02	45.13	85-90	Proteobacteria
GCA_011773465.1	GCA_011049545.1	84.74	19.03	80-85	Acidobacteriota
GCF_009901565.1	GCF_001570585.1	93.21	70.30	90-95	Actinobacteriota
GCA_900317405.1	GCA_902800365.1	83.95	19.56	80-85	Bacteroidota
GCF_000708285.2	GCA_002151545.1	88.02	33.79	85-90	Bacteroidota
GCA_011364605.1	GCA_000270325.1	90.61	66.48	90-95	Thermoproteota
GCF_007673305.1	GCF_001884235.1	91.32	54.35	90-95	Firmicutes
GCA_902580945.1	GCA_902551985.1	91.34	55.70	90-95	Proteobacteria
GCF_019056515.1	GCF_000455825.1	83.36	17.59	80-85	Actinobacteriota
GCF_000425905.1	GCF_001436455.1	89.53	30.12	85-90	Firmicutes
GCF_003945765.1	GCF_001186335.1	83.50	15.16	80-85	Proteobacteria
GCF_003323715.1	GCF_017676385.1	84.29	16.67	80-85	Actinobacteriota
GCF_003062295.1	GCF_900099825.1	84.25	17.35	80-85	Proteobacteria
GCF_007829885.1	GCF_004795035.1	87.75	33.64	85-90	Actinobacteriota
GCF_001269775.1	GCF_004136015.1	83.27	15.12	80-85	Proteobacteria
GCA_900078405.1	GCA_002329155.1	83.22	17.66	80-85	Proteobacteria
GCA_900545305.1	GCA_000432155.1	94.03	77.81	90-95	Firmicutes_A
GCA_902619375.1	GCA_902557145.1	82.07	21.45	80-85	Proteobacteria
GCF_010993975.1	GCF_900100195.1	92.08	69.05	90-95	Proteobacteria
GCF_012221945.1	GCF_006539525.1	84.39	20.10	80-85	Actinobacteriota
GCF_005080965.1	GCF_000225465.1	82.43	17.40	80-85	Proteobacteria
GCF_014279795.1	GCA_000063505.1	89.82	66.22	85-90	Cyanobacteria
GCA_902635665.1	GCA_902572775.1	90.00	39.14	90-95	Proteobacteria
GCF_006151685.1	GCF_002892835.1	84.80	28.78	80-85	Actinobacteriota
GCF_009299485.1	GCA_000741495.1	85.30	20.56	85-90	Actinobacteriota
GCA_002457075.1	GCA_902514615.1	82.91	22.66	80-85	Bacteroidota
GCF_001299635.1	GCF_000449425.2	94.34	75.50	90-95	Firmicutes_A
GCA_013331275.1	GCA_002505485.1	84.22	15.59	80-85	Halobacteriota
GCF_018638295.1	GCF_001267885.1	84.51	16.35	80-85	Actinobacteriota
GCF_004011505.1	GCF_014204795.1	86.00	22.07	85-90	Actinobacteriota
GCF_002914005.1	GCF_003048905.1	94.76	86.67	90-95	Campylobacterota
GCA_002505455.1	GCA_002497295.1	85.30	40.29	85-90	Thermoplasmatota
GCF_900101045.1	GCF_014648255.1	89.77	48.75	85-90	Actinobacteriota
GCF_002272245.1	GCF_013409995.1	84.61	20.37	80-85	Firmicutes
