query	reference	ani	ani_uniform	af_query	af_reference	std_err	synteny_blocks	anchor_adjacency	breakpoint_count	het_shape	retention	ani_from_loss	ani_from_hist	enzyme_spread	enzyme_chi2	per_enzyme	n_anchors	n_chains	n_tags	max_block_anchors	mean_block_anchors	flag	query_asm	ref_asm	band	anim_ani	skani_ani
QLUI01000001.1	JAGXTN010000070.1	90.4031	90.4031	0.0339	0.0357	0.64577	8	0.2574	101	inf	0.3159	90.4073	90.2544	1.3978	0.28	AlfI:91.04,AloI:89.64,BcgI:89.71,FalI:90.55	264	8	136	7	5.375	ok	GCA_018725345.1	GCA_018333455.1	0.85-0.9	87.2095	86.87
JAGXRV010000001.1	JAGXTL010000053.1	88.704	92.2412	0.4935	0.4803	0.16074	67	0.7941	147	1.52	0.435	91.3673	95.3587	1.8896	4.17	AlfI:92.96,AloI:91.07,BcgI:91.87,FalI:91.94	791	67	1690	28	9.462686567164178	INCONSISTENT	GCA_018335695.1	GCA_018333635.1	0.85-0.9	88.6743	88.2
JAAYLG010000128.1	JAAYMN010000103.1	91.0686	91.7439	0.2417	0.2491	0.25122	42	0.525	209	6.507	0.3985	91.4823	92.7381	2.3176	4.26	AlfI:92.52,AloI:90.26,BcgI:91.87,FalI:90.20	585	42	716	11	6.5	ok	GCA_012522075.1	GCA_012521345.1	0.85-0.9	87.9091	87.85
JAGXTN010000070.1	JAGXTL010000053.1	89.9553	89.9553	0.2199	0.2061	0.29338	24	0.5532	147	inf	0.2926	89.8343	90.5407	2.1342	2.53	AlfI:90.89,AloI:89.54,BcgI:89.90,FalI:88.76	437	24	720	17	8.583333333333334	ok	GCA_018333455.1	GCA_018333635.1	0.85-0.9	86.8103	85.45
NZ_LGRO01000003.1	NZ_FWWY01000002.1	88.2463	90.3137	0.6555	0.6646	0.14991	9	0.8786	101	3.601	0.3093	89.8321	93.2575	0.3675	0.16	AlfI:90.46,AloI:90.10,BcgI:90.27,FalI:90.35	834	9	2670	248	82.22222222222223	INCONSISTENT	GCF_001280565.1	GCF_900176145.1	0.85-0.9	88.7042	88.36
DUSS01000018.1	JADBKE010000001.1	88.3542	89.736	0.5442	0.6473	0.20336	28	0.8196	90	5.395	0.2878	89.4026	92.1982	1.2762	1.8	AlfI:89.58,AloI:90.62,BcgI:89.34,FalI:89.76	544	28	1622	55	15.607142857142858	INCONSISTENT	GCA_012842495.1	GCA_014896535.1	0.85-0.9	88.2858	87.4
NC_006177.1	QGVE01000021.1	90.5531	91.5079	0.3449	0.4024	0.15678	72	0.5812	446	5.239	0.3786	91.1486	93.367	1.3777	2.3	AlfI:91.15,AloI:91.55,BcgI:91.44,FalI:92.52	1066	72	1949	34	9.59722222222222	INCONSISTENT	GCF_000009905.1	GCA_003242675.1	0.85-0.9	87.5654	87.58
NZ_LWDV01000001.1	NZ_PVNB01000001.1	88.6721	90.462	0.3765	0.3179	0.25126	24	0.4921	288	3.601	0.3552	89.9163	93.0825	2.1309	2.33	AlfI:92.12,AloI:89.99,BcgI:90.29,FalI:90.25	576	24	970	27	12.625	INCONSISTENT	GCF_001693735.1	GCF_003001995.1	0.85-0.9	88.0841	85.92
JADPIE010000010.1	SLSL01000102.1	90.7067	92.309	0.0537	0.0658	0.63513	8	0.1413	231	2.781	0.4628	91.633	94.3576	7.2631	3.81	AlfI:95.71,AloI:88.45,BcgI:91.75,FalI:91.76	281	8	110	9	5.75	ok	GCA_015666175.1	GCA_007130465.1	0.85-0.9	86.7442	87.61
DGZL01000079.1	JAAZEW010000130.1	92.0318	92.0318	0.1938	0.1851	0.26718	34	0.3978	333	inf	0.4298	91.7644	93.1341	1.2234	0.9	AlfI:92.33,AloI:91.17,BcgI:91.63,FalI:92.39	675	34	619	17	7.470588235294118	INCONSISTENT	GCA_002398515.1	GCA_012512055.1	0.85-0.9	88.6064	88.19
JAAYIC010000032.1	DUNX01000044.1	90.3243	90.3243	0.3359	0.308	0.29016	32	0.5665	150	inf	0.324	90.3382	90.407	2.4137	3.27	AlfI:89.00,AloI:91.41,BcgI:91.08,FalI:89.91	433	32	702	10	7.125	ok	GCA_012735195.1	GCA_012839115.1	0.85-0.9	87.7427	86.85000000000001
JAAZLZ010000128.1	JAAYLE010000178.1	91.5763	91.5763	0.027	0.03	0.73828	7	0.1415	176	inf	0.3986	92.3428	86.212	3.2644	1.11	AlfI:90.95,AloI:92.57,BcgI:92.66,FalI:89.40	400	7	80	7	5.142857142857143	INCONSISTENT	GCA_012799075.1	GCA_012522085.1	0.85-0.9	85.5827	85.6
JAAYGG010000090.1	DUNX01000044.1	89.2648	89.2648	0.1828	0.1857	0.3991	15	0.473	117	inf	0.2693	89.2109	89.6354	1.6906	1.02	AlfI:89.59,AloI:89.74,BcgI:89.82,FalI:88.13	318	15	450	18	8.0	ok	GCA_012727895.1	GCA_012839115.1	0.85-0.9	86.3365	85.38
JAAYGR010000120.1	JAAYHH010000072.1	91.5772	91.5772	0.2147	0.2701	0.27141	30	0.5696	164	inf	0.3931	91.6098	91.3174	1.8519	1.32	AlfI:91.74,AloI:90.26,BcgI:92.11,FalI:91.10	551	30	625	25	8.233333333333333	ok	GCA_012727675.1	GCA_012735435.1	0.85-0.9	88.3123	89.01
JAAYLV010000128.1	JAAYLE010000178.1	91.5781	91.5781	0.2318	0.2286	0.24527	41	0.4971	260	inf	0.3907	91.6164	91.3848	0.9728	0.42	AlfI:91.51,AloI:92.17,BcgI:91.68,FalI:91.20	624	41	763	15	7.268292682926829	ok	GCA_012521755.1	GCA_012522085.1	0.85-0.9	87.1854	87.59
NZ_AP019827.1	NZ_KI271281.1	95.7351	95.7351	0.0245	0.0217	0.59037	6	0.1293	229	inf	0.714	95.1049	96.487	3.5432	2.45	AlfI:96.77,AloI:98.53,BcgI:95.72,FalI:94.98	265	6	60	10	6.666666666666667	ok	GCF_008327825.1	GCF_000469385.1	0.85-0.9	88.3261	85.91
NZ_KE384547.1	NBMF01000053.1	90.9247	90.9247	0.0386	0.0982	0.78169	6	0.1364	171	inf	0.3728	91.3668	88.3083	8.7116	5.08	AlfI:96.15,AloI:90.63,BcgI:87.44,FalI:90.45	201	6	85	6	5.5	ok	GCF_000426625.1	GCA_002084825.1	0.85-0.9	88.077	86.7
NC_013192.1	NZ_AP019846.1	94.3805	95.1937	0.0578	0.0654	0.45351	11	0.1596	337	2.239	0.6752	94.4467	96.2696	1.5213	0.25	AlfI:95.59,AloI:95.65,BcgI:94.13,FalI:95.21	402	11	121	15	6.818181818181818	ok	GCF_000023905.1	GCF_007990635.1	0.85-0.9	89.6018	88.33
NZ_KI272822.1	NZ_CP012410.1	90.7692	91.5196	0.5761	0.5688	0.21968	22	0.749	130	5.791	0.4197	91.1073	93.2397	3.4517	3.96	AlfI:91.66,AloI:91.03,BcgI:88.41,FalI:91.86	550	22	1058	59	18.636363636363637	INCONSISTENT	GCF_000469505.1	GCF_001274535.1	0.85-0.9	89.5665	89.31
NZ_KI519443.1	NZ_AP019846.1	94.6581	94.6581	0.0736	0.0904	0.40098	15	0.2371	280	inf	0.6307	94.5925	94.8753	1.8875	0.88	AlfI:94.17,AloI:94.52,BcgI:93.30,FalI:95.19	409	15	163	17	6.8	ok	GCF_000482505.1	GCF_007990635.1	0.85-0.9	90.1228	88.4
JABFXM010000205.1	JABFXC010000077.1	93.1119	93.1119	0.1401	0.1054	0.18445	82	0.5019	401	inf	0.4896	93.2023	92.8945	3.355	6.74	AlfI:91.03,AloI:92.47,BcgI:93.21,FalI:94.38	1224	82	981	11	5.926829268292683	ok	GCA_013361745.1	GCA_013361935.1	0.85-0.9	87.3163	88.8
MPMR01000028.1	JAAXGM010000125.1	91.6639	91.9461	0.2141	0.4705	0.15587	57	0.7109	257	11.907	0.4042	91.7144	93.0235	1.5138	2.7	AlfI:92.32,AloI:91.75,BcgI:91.70,FalI:93.22	922	57	1781	61	12.087719298245617	INCONSISTENT	GCA_002238605.1	GCA_012267435.1	0.85-0.9	88.6863	88.74
VXNP01000116.1	MPMR01000028.1	90.9982	91.5063	0.6139	0.5601	0.10415	98	0.8357	283	8.675	0.3742	91.2401	92.8559	1.6627	7.56	AlfI:92.16,AloI:90.72,BcgI:91.31,FalI:92.38	1860	98	4333	77	15.683673469387756	INCONSISTENT	GCA_009840525.1	GCA_002238605.1	0.85-0.9	88.2996	87.91
VXQX01000092.1	JAAXHJ010000089.1	91.2679	91.5018	0.5474	0.5687	0.11913	94	0.8068	266	14.363	0.3772	91.3164	92.5088	2.266	5.52	AlfI:90.46,AloI:91.50,BcgI:91.59,FalI:92.72	1461	94	3335	56	12.819148936170214	INCONSISTENT	GCA_009838765.1	GCA_012270965.1	0.85-0.9	88.7317	87.4
JADGQU010000001.1	JADGQV010000069.1	91.9879	91.9879	0.1316	0.1499	0.2303	46	0.4668	313	inf	0.4075	91.9075	92.3756	0.9922	0.47	AlfI:91.73,AloI:92.72,BcgI:91.90,FalI:92.21	861	46	796	21	6.956521739130435	ok	GCA_017881545.1	GCA_017881465.1	0.85-0.9	87.4992	87.14
JADJRJ010000001.1	JAEUJL010000759.1	91.9714	92.2016	0.1639	0.2135	0.14732	105	0.3859	1060	12.781	0.422	92.0035	93.1137	1.7611	3.98	AlfI:92.01,AloI:91.92,BcgI:92.09,FalI:93.68	1740	105	1891	22	7.3428571428571425	INCONSISTENT	GCA_016712265.1	GCA_016794835.1	0.85-0.9	87.0737	88.16000000000001
MPMR01000028.1	VYDD01000451.1	92.262	92.7364	0.2735	0.2939	0.12677	120	0.5292	798	6.985	0.4602	92.4173	93.8984	1.2024	3.24	AlfI:93.26,AloI:92.35,BcgI:92.53,FalI:93.55	1739	120	2329	30	8.475	INCONSISTENT	GCA_002238605.1	GCA_009843625.1	0.85-0.9	88.45	88.57000000000001
PBPC01000001.1	DLRL01000108.1	90.6388	91.0495	0.4571	0.4578	0.19358	42	0.7273	162	10.774	0.358	90.8059	92.3012	1.8767	3.29	AlfI:90.82,AloI:91.89,BcgI:91.35,FalI:90.01	665	42	1387	42	11.285714285714286	INCONSISTENT	GCA_002724575.1	GCA_002501085.1	0.85-0.9	88.2522	87.53
PLMM01000324.1	JACCWE010000070.1	91.3394	91.3394	0.1994	0.1706	0.16822	77	0.5884	363	inf	0.3599	91.3588	91.2711	2.2387	1.63	AlfI:91.28,AloI:90.03,BcgI:91.32,FalI:92.26	1194	77	1653	17	7.740259740259741	ok	GCA_003142495.1	GCA_013697785.1	0.85-0.9	86.455	86.50999999999999
JAAXHJ010000089.1	VXOJ01000061.1	91.4255	92.0507	0.5942	0.5932	0.11164	83	0.8276	265	6.507	0.4143	91.7348	93.4754	1.4017	4.12	AlfI:91.11,AloI:92.51,BcgI:92.07,FalI:92.33	1603	83	3466	52	16.325301204819276	INCONSISTENT	GCA_012270965.1	GCA_009840115.1	0.85-0.9	89.3779	88.12
PGYV01000003.1	JAFGWA010000012.1	92.1731	92.5606	0.5244	0.5719	0.14799	72	0.7165	309	7.624	0.4782	92.3367	93.4207	2.2227	8.65	AlfI:92.32,AloI:91.43,BcgI:90.88,FalI:93.10	1107	72	1856	37	11.84722222222222	INCONSISTENT	GCA_002839855.1	GCA_016937715.1	0.85-0.9	89.1704	89.49000000000001
QLUP01000001.1	QLTX01000001.1	90.834	90.834	0.0599	0.0445	0.79701	6	0.3684	48	inf	0.3758	91.3892	87.489	3.8222	0.64	AlfI:93.73,AloI:90.22,BcgI:89.91,FalI:90.70	140	6	83	8	5.666666666666667	ok	GCA_018725485.1	GCA_018725175.1	0.85-0.9	86.3179	86.19
LQHI01000001.1	SOKQ01000013.1	95.0158	95.0158	0.2372	0.3004	0.25649	19	0.8565	33	inf	0.6424	94.9278	95.148	2.0458	1.08	AlfI:95.54,AloI:93.50,BcgI:95.15,FalI:94.63	266	19	340	27	11.36842105263158	ok	GCA_001515185.1	GCA_004375695.1	0.85-0.9	91.1695	89.92999999999999
NC_019974.1	NZ_AOIB01000001.1	88.2439	90.0741	0.618	0.6226	0.13196	55	0.7256	340	4.219	0.2913	89.653	92.9365	1.7987	3.83	AlfI:90.72,AloI:89.78,BcgI:89.97,FalI:91.58	1241	55	3601	63	17.345454545454544	INCONSISTENT	GCF_000328685.1	GCF_000337675.1	0.85-0.9	87.7545	86.74
NZ_AOLY01000001.1	NZ_AOLQ01000001.1	88.5316	90.5656	0.6768	0.7493	0.11696	44	0.8943	138	3.497	0.3176	90.0829	93.6001	1.6407	6.52	AlfI:90.39,AloI:91.23,BcgI:90.28,FalI:91.92	1335	44	4200	145	27.522727272727273	INCONSISTENT	GCF_000336635.1	GCF_000337775.1	0.85-0.9	88.8308	88.75
PMMR01000025.1	PLGY01000008.1	91.5647	92.2259	0.6045	0.5308	0.14366	44	0.8315	156	5.962	0.4289	91.9068	93.561	1.4029	2.74	AlfI:91.71,AloI:93.12,BcgI:92.45,FalI:91.76	982	44	2008	52	18.5	INCONSISTENT	GCA_003162175.1	GCA_003139855.1	0.85-0.9	89.6673	89.13
JAFGNT010000025.1	LKUD01000001.1	90.9629	91.3822	0.6328	0.6009	0.14089	54	0.8815	107	10.163	0.367	91.1418	92.6563	1.3062	1.38	AlfI:91.40,AloI:92.02,BcgI:91.35,FalI:90.72	937	54	2417	44	15.74074074074074	INCONSISTENT	GCA_016926855.1	GCA_001412355.1	0.85-0.9	88.6754	89.27000000000001
NC_014297.1	NZ_LTAZ01000001.1	85.1023	88.6276	0.5606	0.5225	0.16841	28	0.695	237	3.258	0.2196	88.1571	92.6821	1.3846	3.76	AlfI:87.59,AloI:87.65,BcgI:88.98,FalI:88.88	782	28	2879	79	20.285714285714285	INCONSISTENT	GCF_000196895.1	GCF_001593955.1	0.85-0.9	86.081	85.52
DSDF01000022.1	JAENYT010000062.1	88.5804	89.6416	0.3962	0.369	0.19457	41	0.7563	126	7.192	0.2634	89.372	91.8452	0.5787	0.5	AlfI:90.06,AloI:89.67,BcgI:89.48,FalI:89.71	602	41	1746	34	10.53658536585366	INCONSISTENT	GCA_011048835.1	GCA_016841665.1	0.85-0.9	86.2347	85.66
NC_019974.1	PWMF01000042.1	89.2408	90.4617	0.395	0.4302	0.15842	54	0.5756	455	5.395	0.3132	90.098	92.8765	2.1804	4.71	AlfI:90.26,AloI:90.81,BcgI:90.19,FalI:92.37	1074	54	2320	36	12.425925925925926	INCONSISTENT	GCF_000328685.1	GCA_003559215.1	0.85-0.9	87.5196	87.01
WNEG01000083.1	CAJHIR010000001.1	94.3196	94.3196	0.0332	0.0432	0.61771	6	0.1674	179	inf	0.5925	94.6384	93.7381	1.3209	0.13	AlfI:94.53,AloI:95.39,BcgI:94.14,FalI:94.07	295	6	68	9	7.0	ok	GCA_012910725.1	GCA_905067535.1	0.85-0.9	91.3568	88.11
NZ_BMOO01000001.1	NZ_BMOQ01000001.1	89.9739	92.0761	0.754	0.6559	0.12799	26	0.8637	155	2.444	0.4159	91.3955	94.8444	3.9433	19.06	AlfI:90.85,AloI:91.91,BcgI:91.91,FalI:94.79	1158	26	2712	122	38.76923076923077	INCONSISTENT	GCF_014647115.1	GCF_014647155.1	0.85-0.9	89.9886	89.89
NZ_AOLW01000001.1	NZ_LIUF01000014.1	89.2247	91.053	0.7247	0.773	0.10934	41	0.9057	141	3.454	0.3473	90.539	93.851	1.266	4.05	AlfI:91.15,AloI:91.51,BcgI:90.82,FalI:92.09	1536	41	4406	184	34.048780487804876	INCONSISTENT	GCF_000336615.1	GCF_001280425.1	0.85-0.9	89.3664	89.22
JAFGOO010000163.1	JAFGQV010000128.1	93.3022	93.3022	0.0122	0.0106	0.87517	5	0.0995	172	inf	0.5146	94.6164	88.9563	3.4848	0.47	AlfI:90.68,AloI:94.16,BcgI:93.74,FalI:93.67	319	5	39	6	4.8	INCONSISTENT	GCA_016926455.1	GCA_016935475.1	0.85-0.9	87.6326	85.61999999999999
WAQS01000001.1	NC_013849.1	90.6718	90.6718	0.0617	0.0476	0.57967	11	0.2703	135	inf	0.3541	91.0089	88.758	0.8804	0.16	AlfI:90.43,AloI:90.18,BcgI:90.27,FalI:91.07	369	11	163	9	5.545454545454546	ok	GCA_015520115.1	GCF_000025505.1	0.85-0.9	86.7118	86.9
NZ_CP058910.1	NZ_AOIU01000001.1	91.5613	92.9236	0.5311	0.5459	0.11281	77	0.7211	458	2.863	0.4774	92.2981	94.8947	1.8156	5.42	AlfI:93.24,AloI:92.20,BcgI:92.98,FalI:94.02	1643	77	2960	110	16.376623376623378	INCONSISTENT	GCF_013415885.1	GCF_000337455.1	0.85-0.9	89.3622	89.62
NZ_CP065856.1	NZ_AOIU01000001.1	88.9714	91.7724	0.8057	0.7191	0.10505	49	0.8468	255	2.086	0.395	91.024	94.9551	1.8903	8.17	AlfI:92.25,AloI:91.55,BcgI:91.61,FalI:93.44	1666	49	4279	134	29.77551020408163	INCONSISTENT	GCF_016065055.1	GCF_000337455.1	0.85-0.9	89.3158	89.56
CAJHIS010000001.1	WNEG01000083.1	94.6063	94.6063	0.0449	0.046	0.48967	10	0.2143	209	inf	0.618	95.4443	93.1497	1.626	0.69	AlfI:94.84,AloI:94.01,BcgI:93.73,FalI:95.36	323	10	98	13	6.7	ok	GCA_905067555.1	GCA_012910725.1	0.85-0.9	91.2831	87.64999999999999
NZ_NTMG01000006.1	CAJPFJ010000001.1	94.7215	95.1988	0.0883	0.0957	0.21755	31	0.3479	536	3.165	0.6673	94.9744	95.5261	0.8741	0.9	AlfI:95.60,AloI:95.82,BcgI:94.98,FalI:94.94	895	31	480	114	10.225806451612904	ok	GCF_002487355.1	GCA_905339155.1	0.85-0.9	89.26	86.21
PXSU01000001.1	JAHENO010000001.1	93.3092	93.3092	0.0434	0.0263	0.46462	13	0.1773	297	inf	0.5045	93.4694	92.7717	3.3721	1.72	AlfI:94.65,AloI:92.41,BcgI:92.99,FalI:95.78	506	13	149	8	5.923076923076923	ok	GCA_003022745.1	GCA_018609945.1	0.85-0.9	87.5665	86.17
NZ_RJJW01000022.1	NZ_CVRT01000001.1	90.6376	92.2658	0.1406	0.1601	0.25696	34	0.3161	476	2.863	0.4321	91.6682	94.541	1.9162	0.68	AlfI:90.92,AloI:92.19,BcgI:92.37,FalI:92.83	716	34	651	20	7.470588235294118	INCONSISTENT	GCF_003781945.1	GCF_001261915.1	0.85-0.9	88.1927	86.56
NZ_JOMF01000001.1	JAFZMT010000053.1	92.8249	92.8249	0.2486	0.2971	0.20586	53	0.4854	369	inf	0.4717	92.7474	93.1466	0.8923	0.9	AlfI:93.47,AloI:92.91,BcgI:92.58,FalI:92.94	725	53	854	18	7.566037735849057	ok	GCF_000711215.1	GCA_017553245.1	0.85-0.9	88.221	89.08
NZ_ML660182.1	NZ_CP026309.1	86.7056	89.3897	0.5127	0.4773	0.15773	34	0.7217	241	3.497	0.2567	88.9264	93.1114	3.4897	8.43	AlfI:88.33,AloI:89.58,BcgI:89.14,FalI:91.82	876	34	2876	113	19.38235294117647	INCONSISTENT	GCF_007004735.1	GCF_002906575.1	0.85-0.9	86.9653	85.49
JAAZGM010000018.1	NZ_JXOJ01000001.1	90.7527	90.7527	0.1454	0.1384	0.28196	31	0.4794	202	inf	0.3288	90.6213	91.7993	2.5494	1.82	AlfI:89.70,AloI:91.21,BcgI:90.66,FalI:92.25	590	31	676	12	7.0	ok	GCA_012511245.1	GCF_001017125.1	0.85-0.9	86.7546	86.59
SKXI01000206.1	SKWB01000011.1	95.3684	95.3684	0.0479	0.0439	0.30837	27	0.2816	296	inf	0.6677	95.1852	95.625	2.3634	1.65	AlfI:97.35,AloI:94.99,BcgI:95.30,FalI:95.19	738	27	219	7	5.296296296296297	ok	GCA_007128515.1	GCA_007129135.1	0.85-0.9	88.9297	89.87
JAENYU010000015.1	JAENZL010000010.1	90.5663	91.6573	0.4798	0.5079	0.13848	70	0.6964	378	4.472	0.4042	91.1981	93.5433	0.9553	2.98	AlfI:91.99,AloI:91.87,BcgI:91.94,FalI:91.04	1301	70	2502	46	13.385714285714286	INCONSISTENT	GCA_016841625.1	GCA_016841265.1	0.85-0.9	89.0817	87.1
NZ_CP009505.1	JAENYU010000015.1	90.0596	91.1226	0.5263	0.5554	0.13326	60	0.6864	434	5.089	0.3705	90.7346	92.9269	1.5547	5.93	AlfI:91.92,AloI:91.34,BcgI:91.33,FalI:90.37	1385	60	2954	77	16.833333333333332	INCONSISTENT	GCF_000970045.1	GCA_016841625.1	0.85-0.9	88.8338	86.99
MPOY01000017.1	JAGVUK010000243.1	93.4397	93.4397	0.0942	0.1148	0.24696	42	0.4064	336	inf	0.5154	93.4264	93.5608	1.8714	1.23	AlfI:94.03,AloI:93.98,BcgI:93.30,FalI:92.15	818	42	523	13	6.476190476190476	ok	GCA_001896715.1	GCA_019136335.1	0.85-0.9	89.4453	89.4
JAHENN010000001.1	PXRL01000001.1	94.2392	94.6038	0.1603	0.1422	0.19141	55	0.4908	359	5.395	0.6063	94.2205	95.3802	0.4466	0.1	AlfI:94.51,AloI:94.68,BcgI:94.56,FalI:94.96	973	55	700	18	7.290909090909091	INCONSISTENT	GCA_018609665.1	GCA_003020965.1	0.85-0.9	90.3003	89.9
NZ_LOPU01000001.1	NZ_QQRR01000001.1	83.9445	88.6923	0.7367	0.7658	0.13301	17	0.8721	126	2.548	0.2204	88.1168	93.6287	0.8568	0.79	AlfI:88.46,AloI:89.06,BcgI:88.65,FalI:88.20	1007	17	4599	240	51.52941176470589	INCONSISTENT	GCF_001469955.1	GCF_003439925.1	0.85-0.9	87.4469	86.02
NZ_FOCX01000121.1	NZ_RDFA01000010.1	88.7071	91.1142	0.5577	0.6909	0.12035	44	0.8631	174	2.701	0.3521	90.5275	94.1891	1.6578	5.96	AlfI:91.45,AloI:91.66,BcgI:90.78,FalI:92.43	1322	44	3634	160	25.931818181818183	INCONSISTENT	GCF_900110215.1	GCF_004118325.1	0.85-0.9	89.1657	89.09
NC_019974.1	NZ_AOIA01000001.1	87.6649	90.2521	0.4941	0.4467	0.14529	51	0.6314	425	3.074	0.301	89.7245	93.5073	1.9911	3.39	AlfI:90.20,AloI:89.46,BcgI:90.37,FalI:91.45	1155	51	2896	60	15.27450980392157	INCONSISTENT	GCF_000328685.1	GCF_000337695.1	0.85-0.9	88.5565	87.98
DUKF01000204.1	DAQG01000119.1	92.4728	92.4728	0.0339	0.0287	0.56642	10	0.1767	219	inf	0.4564	92.6793	91.7215	6.8015	1.5	AlfI:86.65,AloI:90.75,BcgI:92.74,FalI:93.45	450	10	121	7	5.7	ok	GCA_013329455.1	GCA_002502785.1	0.85-0.9	86.9179	86.6
NZ_JAGGLH010000001.1	NZ_BMOO01000001.1	88.9462	92.0028	0.5254	0.5248	0.14508	58	0.7529	234	1.833	0.4099	91.2051	95.2839	2.9113	13.66	AlfI:92.53,AloI:92.48,BcgI:91.54,FalI:94.45	1011	58	2155	45	13.29310344827586	INCONSISTENT	GCF_017874335.1	GCF_014647115.1	0.85-0.9	88.7757	88.73
NZ_SRIF01000001.1	NZ_WRXM01000001.1	90.033	91.3543	0.6496	0.8363	0.10389	24	0.9144	143	4.166	0.3672	90.9157	93.746	1.8297	21.06	AlfI:90.94,AloI:92.69,BcgI:90.86,FalI:92.56	1688	24	4606	368	64.66666666666667	INCONSISTENT	GCF_004681185.1	GCF_010119205.1	0.85-0.9	89.6362	89.73
QENH01000201.1	WSZT01000205.1	94.511	94.511	0.0703	0.1004	0.2663	35	0.1964	757	inf	0.6071	94.7825	93.943	0.7443	0.41	AlfI:94.75,AloI:94.62,BcgI:94.66,FalI:94.01	1072	35	350	13	6.285714285714286	ok	GCA_003336485.1	GCA_013139985.1	0.85-0.9	91.1037	89.60000000000001
NZ_BMOQ01000001.1	NZ_JAGGLH010000001.1	90.2692	91.9692	0.3773	0.4285	0.17364	46	0.6084	325	2.948	0.4101	91.3968	94.3844	1.7415	2.85	AlfI:91.52,AloI:92.28,BcgI:91.73,FalI:93.26	850	46	1491	42	11.978260869565217	INCONSISTENT	GCF_014647155.1	GCF_017874335.1	0.85-0.9	88.288	87.3
NZ_CP031311.1	NZ_BBJO01000081.1	84.6712	89.8431	0.4493	0.4093	0.17665	36	0.6667	239	1.911	0.2822	89.0756	94.4773	2.8141	7.1	AlfI:89.47,AloI:88.36,BcgI:90.21,FalI:91.17	721	36	2160	65	14.27777777777778	INCONSISTENT	GCF_004799685.1	GCF_000739575.1	0.85-0.9	87.2565	85.14
NZ_FOZS01000013.1	NZ_CP007055.1	88.4988	90.8471	0.5661	0.5703	0.13038	35	0.8089	223	2.948	0.3359	90.2673	94.0145	0.4383	0.29	AlfI:91.07,AloI:90.88,BcgI:90.78,FalI:91.22	1179	35	3244	131	27.97142857142857	INCONSISTENT	GCF_900116205.1	GCF_000517625.1	0.85-0.9	88.4509	87.24
LUYE01000001.1	NC_017527.1	90.723	92.4128	0.4887	0.5091	0.17773	45	0.729	187	2.591	0.453	91.771	94.6974	1.2381	2.86	AlfI:91.76,AloI:92.92,BcgI:91.96,FalI:93.00	753	45	1348	29	12.177777777777775	INCONSISTENT	GCA_001602645.1	GCF_000235565.1	0.85-0.9	89.3699	89.47
NZ_CP054587.1	NZ_BBJN01000071.1	86.8032	89.9885	0.4693	0.5049	0.16308	38	0.6577	304	2.701	0.2881	89.4275	93.7932	2.7492	5.6	AlfI:89.66,AloI:90.49,BcgI:89.64,FalI:92.39	892	38	2441	43	16.36842105263158	INCONSISTENT	GCF_002025255.2	GCF_000739555.1	0.85-0.9	87.5824	86.98
JACWML010000033.1	PMIN01000117.1	93.6628	93.6628	0.2377	0.2399	0.17339	65	0.5908	329	inf	0.5354	93.4253	94.2873	0.8686	1.44	AlfI:93.04,AloI:93.08,BcgI:93.91,FalI:93.80	882	65	1027	27	8.307692307692308	ok	GCA_015661395.1	GCA_003158275.1	0.85-0.9	89.8954	88.96
NZ_CP019154.1	NZ_AOLQ01000001.1	89.4279	90.8689	0.833	0.7964	0.10793	30	0.9416	87	4.344	0.3355	90.4556	93.352	1.1288	6.0	AlfI:90.71,AloI:91.65,BcgI:90.61,FalI:91.74	1494	30	4633	215	47.766666666666666	INCONSISTENT	GCF_002844335.1	GCF_000337775.1	0.85-0.9	89.3703	89.78
PUOI01000574.1	SKRY01000006.1	95.2705	95.2705	0.0292	0.0343	0.29236	29	0.2509	409	inf	0.6635	95.8087	94.4448	0.9	0.34	AlfI:94.80,AloI:95.21,BcgI:95.41,FalI:95.70	888	29	235	19	5.724137931034483	ok	GCA_003552765.1	GCA_007118235.1	0.85-0.9	89.0601	88.18
DTIO01000270.1	AWNW01000001.1	93.2925	93.2925	0.1595	0.2309	0.23958	45	0.5316	237	inf	0.5269	93.1354	93.7205	1.0491	0.75	AlfI:94.14,AloI:93.22,BcgI:93.24,FalI:93.10	706	45	611	15	6.977777777777778	ok	GCA_011338105.1	GCA_000493945.1	0.85-0.9	90.3322	89.61
QIDD01000001.1	BDTI01000001.1	95.4647	95.4647	0.0162	0.0127	0.69599	5	0.1935	100	inf	0.6854	96.2088	94.5128	0.8643	0.13	AlfI:95.93,BcgI:95.06,FalI:95.75	238	5	39	8	5.8	ok	GCA_003230355.1	GCA_002923215.1	0.85-0.9	86.9848	87.87
WANG01000001.1	JAADFH010000001.1	93.1188	93.1188	0.0153	0.0242	0.859	4	0.2247	69	inf	0.497	93.7563	91.2169	4.7563	1.39	AlfI:92.49,AloI:96.30,BcgI:91.54,FalI:94.16	160	4	44	8	6.0	ok	GCA_015521945.1	GCA_013152995.1	0.85-0.9	84.6433	86.76
JACPJC010000005.1	JAGVWD010000066.1	93.1405	93.1405	0.1683	0.2538	0.35353	15	0.45	143	inf	0.4968	93.0855	93.3175	2.2099	1.41	AlfI:93.30,AloI:93.08,BcgI:91.97,FalI:94.18	269	15	272	27	8.8	ok	GCA_016187745.1	GCA_018304445.1	0.85-0.9	88.4013	89.09
